t,ang,vel,E,tou,act,fac,opt,power,coord,spT,spP
0,-1.5708,0,0.0384917,0,0,1,406.088,0,q1,0,0
0.005,-1.57131,-0.182404,0.0151368,3.89547,0.00942805,1.0174,406.113,-0.710547,q1,0,0
0.01,-1.57242,-0.24911,0.0021178,4.0423,0.0097214,1.02376,406.164,-1.00698,q1,0,0
0.015,-1.57367,-0.236885,0.00273367,3.82559,0.00920943,1.02259,406.221,-0.906222,q1,0,0
0.02,-1.57465,-0.142477,0.00169377,3.58324,0.00870171,1.01359,406.264,-0.510529,q1,0,0
0.025,-1.57497,0.0276928,0.00360984,3.35907,0.00828981,0.997358,406.278,0.0930221,q1,0,-0
0.03,-1.57428,0.259468,0.00193973,3.12499,0.00788751,0.975254,406.248,0.810835,q1,0,-0
0.035,-1.5723,0.53694,0.00262585,2.88439,0.00748468,0.948824,406.159,1.54875,q1,0,-0
0.04,-1.56885,0.845014,0.00445093,2.68875,0.00720196,0.919561,405.993,2.27203,q1,0,-0
0.045,-1.56382,1.17055,0.00651768,2.5569,0.00709057,0.888785,405.729,2.99298,q1,0,-0
0.05,-1.55714,1.50248,0.0068736,2.45949,0.00707512,0.857613,405.341,3.69534,q1,0,-0
0.055,-1.5488,1.83101,0.00533537,2.3495,0.00701798,0.827024,404.804,4.30194,q1,0,-0
0.06,-1.53885,2.14616,0.0029222,2.19249,0.00679924,0.797972,404.101,4.70544,q1,0,-0
0.065,-1.52738,2.43926,0.00196093,2.01719,0.00648653,0.771249,403.218,4.92045,q1,0,-0
0.07,-1.51454,2.68296,0.00148437,1.84909,0.00614456,0.74927,401.634,4.96105,q1,0,-0
0.075,-1.50067,2.85767,0.00137263,1.70108,0.00580997,0.733658,399.078,4.86113,q1,0,-0
0.08,-1.48604,2.98527,0.00130679,1.56981,0.0054924,0.722335,395.682,4.68631,q1,0,-0
0.085,-1.47088,3.07346,0.00126678,1.45389,0.00519475,0.71455,391.683,4.46848,q1,0,-0
0.09,-1.45536,3.12893,0.00115391,1.3507,0.004913,0.709672,387.395,4.22623,q1,0,-0
0.095,-1.43965,3.15065,0.000944016,1.25816,0.00463989,0.707765,383.123,3.964,q1,0,-0
0.1,-1.42391,3.13983,0.000758612,1.17236,0.00436963,0.708714,378.569,3.68101,q1,0,-0
0.105,-1.40833,3.07975,0.000755355,1.09715,0.00411198,0.713996,373.696,3.37895,q1,0,-0
0.11,-1.39323,2.94807,0.000873669,1.03734,0.00387772,0.725629,368.662,3.05813,q1,0,-0
0.115,-1.37898,2.74035,0.00104775,0.993305,0.00367059,0.744128,363.663,2.72201,q1,0,-0
0.12,-1.36597,2.44625,0.00130351,0.966099,0.00349288,0.770616,358.922,2.36332,q1,0,-0
0.125,-1.35459,2.10543,0.00170137,0.952633,0.00335053,0.801709,354.646,2.0057,q1,0,-0
0.13,-1.34494,1.75221,0.00242259,0.953334,0.00325586,0.834334,350.945,1.67044,q1,0,-0
0.135,-1.33707,1.39375,0.00300219,0.972646,0.00322185,0.867797,347.881,1.35563,q1,0,-0
0.14,-1.33101,1.03264,0.00316652,1.00165,0.00321498,0.901801,345.484,1.03435,q1,0,-0
0.145,-1.32675,0.67078,0.00340554,1.04144,0.00323643,0.936098,343.753,0.698577,q1,0,-0
0.15,-1.3243,0.309341,0.00443902,1.15177,0.00346264,0.9705,342.737,0.356288,q1,0,-0
0.155,-1.32367,-0.0805477,0.0113206,1.68625,0.00488615,1.00768,342.476,-0.135824,q1,0,0
0.16,-1.32579,-0.866624,0.732832,42.8686,0.115337,1.08249,343.358,-37.1509,q1,0,0
0.165,-1.33312,-2.08494,0.990696,175.198,0.422829,1.19641,346.326,-365.276,q1,0,0
0.17,-1.34625,-3.0914,0.997201,285.921,0.632108,1.28703,351.452,-883.898,q1,0,0
0.175,-1.36315,-3.58268,0.998359,364.385,0.765728,1.32971,357.873,-1305.48,q1,0,0
0.18,-1.38133,-3.62625,0.998856,413.531,0.85081,1.33344,364.504,-1499.57,q1,0,0
0.185,-1.39895,-3.38755,0.999115,440.308,0.904941,1.31289,370.601,-1491.57,q1,0,0
0.19,-1.41497,-3.0082,0.999271,451.77,0.939371,1.27969,375.816,-1359.02,q1,0,0
0.195,-1.42895,-2.57871,0.999375,453.53,0.961272,1.24136,380.07,-1169.52,q1,0,0
0.2,-1.44076,-2.1472,0.999448,449.5,0.975204,1.20212,383.429,-965.164,q1,0,0
0.205,-1.45045,-1.73481,0.999502,442.222,0.98407,1.16405,386.049,-767.171,q1,0,0
0.21,-1.45815,-1.34719,0.999543,433.284,0.989715,1.12783,388.166,-583.716,q1,0,0
0.215,-1.46397,-0.984176,0.999574,423.417,0.993311,1.09362,389.779,-416.717,q1,0,0
0.22,-1.46803,-0.644232,0.999596,413.07,0.995603,1.06138,390.901,-266.113,q1,0,0
0.225,-1.47044,-0.325193,0.999612,402.522,0.997065,1.03101,391.564,-130.897,q1,0,0
0.23,-1.47131,-0.0247344,0.999623,391.939,0.997997,1.00236,391.801,-9.69437,q1,0,0
0.235,-1.47072,0.259336,0.999631,381.415,0.998593,0.975266,391.639,98.9147,q1,0,-0
0.24,-1.46874,0.528955,0.999638,370.998,0.998973,0.949584,391.097,196.241,q1,0,-0
0.245,-1.46545,0.78579,0.999646,360.712,0.999218,0.925178,390.189,283.444,q1,0,-0
0.25,-1.4609,1.03129,0.999659,350.568,0.999377,0.901928,388.929,361.539,q1,0,-0
0.255,-1.45515,1.26681,0.999678,340.573,0.999483,0.879721,387.338,431.441,q1,0,-0
0.26,-1.44825,1.49368,0.999703,330.739,0.999559,0.858437,385.451,494.018,q1,0,-0
0.265,-1.44023,1.71331,0.999735,321.049,0.999617,0.83795,383.283,550.055,q1,0,-0
0.27,-1.43113,1.92621,0.999773,311.396,0.999668,0.818215,380.706,599.815,q1,0,-0
0.275,-1.42098,2.1327,0.999815,301.757,0.999714,0.799207,377.679,643.557,q1,0,-0
0.28,-1.40981,2.33344,0.99986,292.107,0.99976,0.780862,374.173,681.615,q1,0,-0
0.285,-1.39765,2.52889,0.999897,282.432,0.999805,0.763139,370.165,714.241,q1,0,-0
0.29,-1.38453,2.71942,0.99975,272.72,0.999832,0.746002,365.637,741.64,q1,0,-0
0.295,-1.37046,2.90532,0.999505,262.964,0.999813,0.729422,360.578,763.995,q1,0,-0
0.3,-1.35548,3.0871,0.999552,253.177,0.999794,0.71335,354.986,781.583,q1,0,-0
0.305,-1.3396,3.26603,0.999519,243.342,0.999776,0.697672,348.869,794.76,q1,0,-0
0.31,-1.32282,3.44374,0.999403,233.353,0.999755,0.682246,342.12,803.606,q1,0,-0
0.315,-1.30516,3.62036,0.999554,222.996,0.999728,0.667063,334.386,807.327,q1,0,-0
0.32,-1.28662,3.79681,0.999883,212.366,0.999761,0.652046,325.77,806.315,q1,0,-0
0.325,-1.26719,3.97636,0.999909,201.526,0.999812,0.636926,316.463,801.339,q1,0,-0
0.33,-1.24684,4.16449,0.999927,190.526,0.999851,0.621262,306.722,793.444,q1,0,-0
0.335,-1.22552,4.36854,0.999941,179.236,0.999882,0.604482,296.546,782.998,q1,0,-0
0.34,-1.20312,4.59552,0.999781,167.422,0.999893,0.58608,285.695,769.391,q1,0,-0
0.345,-1.17951,4.85388,0.9997,154.919,0.999879,0.565477,273.994,751.957,q1,0,-0
0.35,-1.15451,5.15562,0.999694,141.528,0.999867,0.541887,261.211,729.665,q1,0,-0
0.355,-1.12786,5.51649,0.99965,126.905,0.999854,0.514354,246.764,700.072,q1,0,-0
0.36,-1.09921,5.95776,0.999582,111.048,0.999837,0.481706,230.568,661.597,q1,0,-0
0.365,-1.06809,6.51502,0.999464,94.2454,0.999815,0.44209,213.221,614.011,q1,0,-0
0.37,-1.03378,7.24141,0.999248,76.8259,0.999783,0.393146,195.455,556.328,q1,0,-0
0.375,-0.995271,8.20948,0.998787,58.7026,0.999731,0.332564,176.563,481.918,q1,0,-0
0.38,-0.951118,9.51863,0.997571,40.1175,0.999626,0.25866,155.156,381.863,q1,0,-0
0.385,-0.899284,11.3105,0.993359,22.2518,0.99935,0.171052,130.172,251.678,q1,0,-0
