t,ang,vel,E,tou,act,fac,opt,power,coord,spT,spP
0,0.436332,0,1,0,0,1,335.641,0,q2,0,0
0.005,0.439018,1.52397,1,106.983,0.365264,0.871468,336.091,163.038,q2,0,0
0.01,0.453988,4.50819,0.675224,115.667,0.53855,0.63434,338.581,521.45,q2,0,0
0.015,0.48339,7.1296,0.156035,84.0302,0.538421,0.45452,343.368,599.101,q2,0,0
0.02,0.524068,9.03042,1.71638e-07,60.2918,0.501745,0.343584,349.737,544.46,q2,0,0
0.025,0.57271,10.3357,1.39211e-07,46.0089,0.466176,0.276528,356.905,475.535,q2,0,0
0.03,0.626573,11.1135,1.15973e-07,37.8532,0.433128,0.23986,364.358,420.68,q2,0,0
0.035,0.682325,11.0127,1.05356e-07,36.5476,0.402423,0.244479,371.479,402.487,q2,0,0
0.04,0.735912,10.4217,9.98359e-08,38.4137,0.373895,0.272358,377.222,400.336,q2,0,0
0.045,0.7866,9.85755,9.7259e-08,39.8402,0.347389,0.300269,381.941,392.727,q2,0,0
0.05,0.834509,9.30592,9.56427e-08,40.9599,0.322762,0.328833,385.923,381.17,q2,0,0
0.055,0.879405,8.58722,9.36376e-08,42.9577,0.299881,0.368006,389.257,368.887,q2,0,0
0.06,0.919821,7.57919,9.03271e-08,46.6328,0.278622,0.426806,392.143,353.439,q2,0,0
0.065,0.955453,6.70125,8.41258e-08,49.2372,0.25887,0.481785,394.782,329.951,q2,0,0
0.07,0.98708,5.97179,7.41451e-08,50.6224,0.240519,0.530151,397.003,302.306,q2,0,0
0.075,1.01537,5.36107,6.13537e-08,51.013,0.223468,0.572491,398.746,273.484,q2,0,0
0.08,1.04084,4.84045,4.65337e-08,50.6523,0.207626,0.609879,400.012,245.18,q2,0,0
0.085,1.06389,4.38801,3.66431e-08,49.7423,0.192907,0.643299,400.833,218.269,q2,0,0
0.09,1.08477,3.96335,3.23324e-08,48.5742,0.179232,0.675416,401.254,192.516,q2,0,0
0.095,1.10354,3.54864,2.96924e-08,47.2909,0.166526,0.70744,401.426,167.819,q2,0,0
0.1,1.1203,3.16446,2.72316e-08,45.8308,0.154721,0.73765,401.567,145.03,q2,0,0
0.105,1.13527,2.83432,2.7197e-08,44.1155,0.143752,0.763997,401.684,125.038,q2,0,0
0.11,1.14878,2.58409,5.19588e-08,42.0816,0.133562,0.784184,401.783,108.743,q2,0,0
0.115,1.16125,2.41575,0.00477975,39.79,0.124097,0.797865,401.869,96.1226,q2,0,0
0.12,1.17306,2.31805,0.136577,39.1096,0.120745,0.805838,401.944,90.6583,q2,0,0
0.125,1.18454,2.28879,0.177474,44.0093,0.135447,0.808232,402.012,100.728,q2,0,0
0.13,1.19605,2.32436,0.209344,50.8851,0.15715,0.805323,402.075,118.275,q2,0,0
0.135,1.20788,2.41447,0.235214,58.2499,0.181526,0.797969,402.135,140.643,q2,0,0
0.14,1.22027,2.54774,0.257812,65.1095,0.205667,0.787132,402.191,165.882,q2,0,0
0.145,1.23341,2.71398,0.275151,71.1008,0.228467,0.773683,402.243,192.966,q2,0,0
0.15,1.24745,2.9042,0.292013,75.8313,0.248551,0.758392,402.291,220.229,q2,0,0
0.155,1.26248,3.11161,0.271619,79.1102,0.265054,0.741845,402.332,246.16,q2,0,0
0.16,1.27857,3.32302,0.154971,76.5017,0.262204,0.725121,402.365,254.217,q2,0,0
0.165,1.2957,3.52641,6.12808e-08,70.76,0.247965,0.709175,402.387,249.529,q2,0,0
0.17,1.31381,3.7155,3.59086e-08,64.3827,0.230386,0.694479,402.395,239.214,q2,0,0
0.175,1.33284,3.90042,2.1006e-08,58.5751,0.214054,0.680234,402.283,228.468,q2,0,0
0.18,1.35286,4.11187,1.37788e-08,53.0871,0.19888,0.664103,401.942,218.288,q2,0,0
0.185,1.37398,4.33217,9.09893e-09,48.0222,0.184781,0.647482,401.382,208.04,q2,0,0
0.19,1.39611,4.51014,5.90129e-09,43.6198,0.171681,0.634195,400.625,196.731,q2,0,0
0.195,1.41895,4.61149,3.60401e-09,39.9573,0.159511,0.626686,399.72,184.262,q2,0,0
0.2,1.44209,4.63125,1.88235e-09,36.9472,0.148203,0.625226,398.739,171.112,q2,0,0
0.205,1.46515,4.585,5.45653e-10,34.4308,0.137697,0.628644,397.758,157.865,q2,0,0
0.21,1.48787,4.49721,0,32.2437,0.127935,0.635156,396.804,145.007,q2,0,0
0.215,1.5101,4.39254,0,30.246,0.118866,0.64296,395.756,132.857,q2,0,0
0.22,1.5318,4.29158,0,28.3514,0.110439,0.65053,394.625,121.672,q2,0,0
0.225,1.55305,4.20953,0,26.5109,0.10261,0.656711,393.424,111.598,q2,0,0
0.23,1.57395,4.15634,0,24.7028,0.0953358,0.660733,392.161,102.673,q2,0,0
0.235,1.5945,4.01431,0,23.2485,0.0885773,0.671524,390.851,93.3269,q2,0,0
0.24,1.61331,3.43596,0,22.9653,0.082298,0.716249,389.6,78.9079,q2,0,0
0.245,1.62831,2.52565,0,23.4403,0.0764638,0.788925,388.572,59.202,q2,0,0
0.25,1.63829,1.44637,0,24.1926,0.0710431,0.877948,387.875,34.9914,q2,0,0
0.255,1.64266,0.297477,0,24.9369,0.0660068,0.974781,387.566,7.41815,q2,0,0
0.26,1.64124,-0.863548,0,25.5124,0.0613275,1.0731,387.666,-22.0312,q2,0,-0
0.265,1.63407,-1.98259,0,25.8028,0.0569799,1.1666,388.17,-51.1566,q2,0,-0
0.27,1.62225,-2.61122,0,25.083,0.0529406,1.21801,388.99,-65.4971,q2,0,-0
0.275,1.60917,-2.53528,0,23.24,0.0491875,1.21186,389.879,-58.92,q2,0,-0
0.28,1.59744,-2.13005,0,21.0446,0.0457006,1.17875,390.659,-44.8261,q2,0,-0
0.285,1.58791,-1.70827,0,19.0044,0.0424608,1.14388,391.278,-32.4648,q2,0,-0
0.29,1.5799,-1.5408,0,17.4647,0.0394507,1.12994,391.788,-26.9096,q2,0,-0
0.295,1.57211,-1.6053,0,16.324,0.036654,1.13531,392.275,-26.2049,q2,0,-0
0.3,1.5636,-1.8215,0,15.4273,0.0340556,1.15328,392.796,-28.1008,q2,0,-0
0.305,1.55376,-2.12476,0,14.6666,0.0316413,1.17831,393.382,-31.163,q2,0,-0
0.31,1.54227,-2.47306,0,13.9798,0.0293982,1.2068,394.043,-34.5729,q2,0,-0
0.315,1.52899,-2.84205,0,13.3345,0.0273142,1.23662,394.777,-37.8974,q2,0,-0
0.32,1.51384,-3.21899,0,12.7156,0.0253778,1.26667,395.568,-40.9315,q2,0,-0
0.325,1.4968,-3.59831,0,12.1171,0.0235788,1.29643,396.397,-43.6012,q2,0,-0
0.33,1.47786,-3.97881,0,11.5373,0.0219072,1.32577,397.236,-45.9046,q2,0,-0
0.335,1.45701,-4.3608,0,10.9769,0.0203542,1.35466,398.101,-47.868,q2,0,-0
0.34,1.43424,-4.74709,0,10.4397,0.0189113,1.38329,399.075,-49.5584,q2,0,-0
0.345,1.40952,-5.14386,0,9.92687,0.0175706,1.41205,400.105,-51.0624,q2,0,-0
0.35,1.38278,-5.55447,0,9.43622,0.016325,1.4411,401.099,-52.4132,q2,0,-0
0.355,1.35394,-5.98292,0,8.96508,0.0151677,1.47061,401.918,-53.6373,q2,0,-0
0.36,1.32291,-6.43378,0,8.50557,0.0140925,1.5,402.369,-54.7229,q2,0,-0
0.365,1.28957,-6.90955,0,7.90282,0.0130934,1.5,402.381,-54.6049,q2,0,-0
0.37,1.25377,-7.41606,0,7.34127,0.0121652,1.5,402.309,-54.4433,q2,0,-0
0.375,1.21534,-7.95839,0,6.81847,0.0113028,1.5,402.169,-54.264,q2,0,-0
0.38,1.17412,-8.53969,0,6.33165,0.0105015,1.5,401.95,-54.0703,q2,0,-0
0.385,1.12987,-9.1679,0,5.87829,0.00975708,1.5,401.643,-53.8916,q2,0,-0
0.39,1.08235,-9.84946,0,5.45586,0.00906539,1.5,401.222,-53.7372,q2,0,-0
0.395,1.03127,-10.5918,0,5.04828,0.00842273,1.5,399.576,-53.4704,q2,0,-0
0.4,0.976314,-11.4049,0,4.65161,0.00782564,1.5,396.271,-53.0513,q2,0,-0
0.405,0.917082,-12.3034,0,4.27462,0.00727087,1.5,391.94,-52.5924,q2,0,-0
0.41,0.853107,-13.3058,0,3.92506,0.00675543,1.5,387.349,-52.2263,q2,0,-0
0.415,0.783806,-14.4391,0,3.59357,0.00627653,1.5,381.694,-51.888,q2,0,-0
0.42,0.708432,-15.7411,0,3.27524,0.00583158,1.5,374.426,-51.5557,q2,0,-0
0.425,0.626027,-17.2707,0,2.96063,0.00541817,1.5,364.284,-51.1321,q2,0,-0
0.43,0.534991,-19.2646,0,2.6534,0.00503407,1.5,351.392,-51.1165,q2,0,-0
0.435,0.431518,-22.3947,1.47642e-08,2.34911,0.0046772,1.5,334.832,-52.6076,q2,0,-0
