t,ang,vel,E,tou,act,fac,opt,power,coord
0,-0.436332,0,-1,0,0,1,239.463,0,q3
0.005,-0.439463,-1.60204,-1,-76.8427,-0.365264,0.878327,239.519,123.105,q3
0.01,-0.454233,-4.34283,-1,-97.2714,-0.59711,0.679611,239.701,422.434,q3
0.015,-0.482382,-6.82507,-1,-92.5266,-0.744271,0.51861,239.715,631.501,q3
0.02,-0.521568,-8.76455,-1,-81.9039,-0.837679,0.4083,239.468,717.851,q3
0.025,-0.569273,-10.2471,-0.427573,-68.4493,-0.859823,0.333272,238.87,701.406,q3
0.03,-0.623364,-11.3152,-3.24189e-07,-54.4316,-0.805756,0.283974,237.886,615.906,q3
0.035,-0.681315,-11.7397,-2.55266e-07,-47.0133,-0.748635,0.265436,236.587,551.922,q3
0.04,-0.740184,-11.8057,-1.75231e-07,-42.7853,-0.695563,0.262606,234.236,505.111,q3
0.045,-0.799392,-11.8782,-1.47992e-07,-38.6332,-0.646254,0.259514,230.354,458.893,q3
0.05,-0.858957,-11.9451,-1.29461e-07,-34.7855,-0.60044,0.256675,225.706,415.515,q3
0.055,-0.918462,-11.7575,-1.17604e-07,-32.6388,-0.557874,0.264674,221.048,383.75,q3
0.06,-0.975541,-11.0464,-1.09523e-07,-33.1809,-0.518326,0.296022,216.252,366.528,q3
0.065,-1.02903,-10.3665,-1.04287e-07,-33.3321,-0.481581,0.327567,211.297,345.538,q3
0.07,-1.07935,-9.77525,-1.00664e-07,-32.8807,-0.447441,0.356299,206.248,321.417,q3
0.075,-1.12689,-9.24964,-9.76546e-08,-32.0087,-0.415722,0.382881,201.095,296.069,q3
0.08,-1.17192,-8.76451,-9.40685e-08,-30.859,-0.386251,0.408303,195.672,270.463,q3
0.085,-1.21457,-8.29947,-8.96124e-08,-29.5819,-0.358869,0.433481,190.16,245.514,q3
0.09,-1.2549,-7.8267,-8.38672e-08,-28.3294,-0.333428,0.459899,184.745,221.725,q3
0.095,-1.29281,-7.33677,-7.70277e-08,-27.1571,-0.309791,0.488152,179.581,199.246,q3
0.1,-1.32826,-6.84128,-7.00294e-08,-26.0233,-0.28783,0.517631,174.665,178.032,q3
0.105,-1.36125,-6.36172,-6.3516e-08,-24.8627,-0.267425,0.547022,169.958,158.17,q3
0.11,-1.39195,-5.92629,-5.79622e-08,-23.6176,-0.248467,0.574431,165.474,139.965,q3
0.115,-1.4206,-5.54211,-5.38254e-08,-22.2979,-0.230853,0.599172,161.205,123.578,q3
0.12,-1.44745,-5.20512,-4.72467e-08,-20.9399,-0.214488,0.621294,157.136,108.995,q3
0.125,-1.47274,-4.92076,-4.18685e-08,-19.5533,-0.199282,0.64026,153.248,96.217,q3
0.13,-1.49675,-4.69526,-3.74162e-08,-18.1454,-0.185155,0.655488,149.509,85.1974,q3
0.135,-1.51979,-4.52682,-3.35419e-08,-16.735,-0.172029,0.66697,145.854,75.7563,q3
0.14,-1.54211,-4.40973,-3.0227e-08,-15.3464,-0.159834,0.675002,142.243,67.6734,q3
0.145,-1.56396,-4.33682,-2.69831e-08,-14.0019,-0.148503,0.680026,138.652,60.7236,q3
0.15,-1.58554,-4.30061,-2.38568e-08,-12.7185,-0.137975,0.682527,135.056,54.6972,q3
0.155,-1.60701,-4.29408,-2.08944e-08,-11.5078,-0.128194,0.682978,131.437,49.4153,q3
0.16,-1.62852,-4.31135,-1.78642e-08,-10.3763,-0.119106,0.681785,127.779,44.7357,q3
0.165,-1.65016,-4.34766,-1.5124e-08,-9.32652,-0.110663,0.679278,124.071,40.5486,q3
0.17,-1.67202,-4.39896,-1.28805e-08,-8.35743,-0.102818,0.675744,120.288,36.764,q3
0.175,-1.69398,-4.32468,-1.09323e-08,-7.57326,-0.0955289,0.680864,116.436,32.7519,q3
0.18,-1.71441,-3.76332,-9.28916e-09,-7.21019,-0.0887567,0.720091,112.813,27.1343,q3
0.185,-1.73095,-2.80949,-7.91031e-09,-7.14487,-0.0824646,0.788691,109.855,20.0734,q3
0.19,-1.74227,-1.71072,-6.73515e-09,-7.18841,-0.0766186,0.870159,107.82,12.2974,q3
0.195,-1.74806,-0.613571,-5.72075e-09,-7.24542,-0.071187,0.95321,106.776,4.44558,q3
0.2,-1.74852,0.416452,-4.83393e-09,-7.28097,-0.0661405,1.03177,106.694,-3.03217,q3
0.205,-1.74406,1.35108,-4.0496e-09,-7.28473,-0.0614517,1.10275,107.498,-9.84227,q3
0.21,-1.73518,2.18136,-3.34869e-09,-7.25659,-0.0570953,1.165,109.095,-15.8293,q3
0.215,-1.72241,2.90922,-2.71629e-09,-7.20019,-0.0530478,1.21859,111.383,-20.947,q3
0.22,-1.70625,3.54222,-2.14032e-09,-7.11975,-0.0492872,1.26421,114.264,-25.2197,q3
0.225,-1.68713,4.0907,-1.61058e-09,-7.01897,-0.0457931,1.3029,117.642,-28.7125,q3
0.23,-1.66546,4.56621,-1.11836e-09,-6.90088,-0.0425468,1.33572,121.428,-31.5109,q3
0.235,-1.6415,5.03081,-6.56153e-10,-6.78542,-0.0395306,1.36711,125.556,-34.1361,q3
0.24,-1.6149,5.63319,-2.22019e-10,-6.72181,-0.0367282,1.40674,130.098,-37.8653,q3
0.245,-1.58504,6.31722,0,-6.68773,-0.0341245,1.45021,135.139,-42.2478,q3
0.25,-1.55172,7.00438,0,-6.65505,-0.0317054,1.49217,140.669,-46.6145,q3
0.255,-1.51507,7.64905,0,-6.47815,-0.0294578,1.5,146.609,-49.5517,q3
0.26,-1.47534,8.22767,0,-6.2749,-0.0273695,1.5,152.844,-51.6278,q3
0.265,-1.43294,8.69784,0,-6.07793,-0.0254292,1.5,159.342,-52.8649,q3
0.27,-1.38954,8.48702,0,-5.87696,-0.0236265,1.5,165.829,-49.8778,q3
0.275,-1.34945,7.4695,0,-5.65218,-0.0219516,1.5,171.656,-42.219,q3
0.28,-1.31521,6.21957,0,-5.19822,-0.0203954,1.44411,176.491,-32.3307,q3
0.285,-1.28705,5.10236,0,-4.68892,-0.0189496,1.37188,180.367,-23.9245,q3
0.29,-1.26347,4.3937,0,-4.279,-0.0176062,1.32389,183.579,-18.8007,q3
0.295,-1.24254,4.02829,0,-3.95983,-0.0163581,1.29854,186.418,-15.9513,q3
0.3,-1.22281,3.89283,0,-3.70407,-0.0151984,1.28904,189.066,-14.4193,q3
