t,ang,vel,E,tou,act,fac,opt,power,coord
0,0.436332,0,-1.4022e-08,0,0,1,455.257,0,q2
0.005,0.439018,1.52397,-5.96692e-09,-1.8217e-06,-3.53954e-09,1.12853,456.055,-2.77621e-06,q2
0.01,0.453988,4.50819,-2.3237e-09,-2.36198e-06,-3.75664e-09,1.36566,460.399,-1.06483e-05,q2
0.015,0.48339,7.1296,-1.12046e-08,-3.31151e-06,-4.71371e-09,1.5,468.351,-2.36097e-05,q2
0.02,0.524068,9.03042,-2.38653e-08,-6.83086e-06,-9.52175e-09,1.5,478.264,-6.16856e-05,q2
0.025,0.57271,10.3357,-4.72064e-08,-1.36822e-05,-1.86589e-08,1.5,488.855,-0.000141416,q2
0.03,0.626573,11.1135,-0.162385,-13.566,-0.0181217,1.5,499.068,-150.765,q2
0.035,0.682325,11.0127,-0.199818,-80.6252,-0.10572,1.5,508.419,-887.9,q2
0.04,0.735912,10.4217,-0.000313722,-83.1531,-0.107524,1.5,515.564,-866.596,q2
0.045,0.7866,9.85755,-6.25296e-08,-78.1469,-0.0999095,1.5,521.451,-770.337,q2
0.05,0.834509,9.30592,-5.29841e-08,-73.2399,-0.0928268,1.5,525.997,-681.565,q2
0.055,0.879405,8.58722,-4.64842e-08,-68.3941,-0.0862462,1.5,528.673,-587.315,q2
0.06,0.919821,7.57919,-4.13216e-08,-63.7448,-0.0801321,1.5,530.331,-483.134,q2
0.065,0.955453,6.70125,-3.77168e-08,-59.3627,-0.0744514,1.5,531.557,-397.805,q2
0.07,0.98708,5.97179,-4.01275e-08,-54.1259,-0.0691735,1.46985,532.345,-323.228,q2
0.075,1.01537,5.36107,-4.2899e-08,-48.8755,-0.0642697,1.42751,532.729,-262.025,q2
0.08,1.04084,4.84045,-0.0177671,-44.5512,-0.0601573,1.39012,532.744,-215.648,q2
0.085,1.06389,4.38801,-0.0800059,-43.2023,-0.0598123,1.3567,532.393,-189.572,q2
0.09,1.08477,3.96335,-0.127409,-56.3955,-0.0800572,1.32458,531.82,-223.515,q2
0.095,1.10354,3.54864,-0.139368,-68.1946,-0.0993303,1.29256,531.151,-241.999,q2
0.1,1.1203,3.16446,-0.143648,-77.9475,-0.116403,1.26235,530.468,-246.662,q2
0.105,1.13527,2.83432,-0.100189,-79.6404,-0.121615,1.236,529.817,-225.726,q2
0.11,1.14878,2.58409,-2.39688e-08,-74.6612,-0.116037,1.21582,529.216,-192.932,q2
0.115,1.16125,2.41575,-4.70215e-09,-68.5155,-0.107811,1.20214,528.657,-165.516,q2
0.12,1.17306,2.31805,-3.4289e-09,-63.1638,-0.100168,1.19416,528.052,-146.417,q2
0.125,1.18454,2.28879,-2.45246e-09,-58.4934,-0.0930667,1.19177,527.376,-133.879,q2
0.13,1.19605,2.32436,-1.70532e-09,-54.4013,-0.0864691,1.19468,526.621,-126.448,q2
0.135,1.20788,2.41447,-1.12131e-09,-50.7739,-0.0803392,1.20203,525.772,-122.592,q2
0.14,1.22027,2.54774,-1.75097e-10,-47.5129,-0.0746439,1.21287,524.812,-121.051,q2
0.145,1.23341,2.71398,0,-44.5421,-0.0693523,1.22632,523.729,-120.886,q2
0.15,1.24745,2.9042,0,-41.8029,-0.0644358,1.24161,522.51,-121.404,q2
0.155,1.26248,3.11161,0,-39.2548,-0.0598679,1.25815,521.152,-122.145,q2
0.16,1.27857,3.32302,0,-36.8508,-0.0556238,1.27488,519.658,-122.456,q2
0.165,1.2957,3.52641,0,-34.5591,-0.0516805,1.29083,518.046,-121.87,q2
0.17,1.31381,3.7155,-8.32255e-12,-32.3673,-0.0480168,1.30552,516.332,-120.261,q2
0.175,1.33284,3.90042,-7.12458e-10,-30.2892,-0.0446129,1.31977,514.436,-118.141,q2
0.18,1.35286,4.11187,-2.38528e-09,-28.3689,-0.0414502,1.3359,512.322,-116.649,q2
0.185,1.37398,4.33217,-4.74731e-09,-26.5629,-0.0385118,1.35252,509.963,-115.075,q2
0.19,1.39611,4.51014,-8.14938e-09,-24.7946,-0.0357816,1.36581,507.351,-111.827,q2
0.195,1.41895,4.61149,-1.31471e-08,-23.0339,-0.033245,1.37331,504.512,-106.221,q2
0.2,1.44209,4.63125,-2.06826e-08,-21.2954,-0.0308882,1.37477,501.49,-98.6244,q2
0.205,1.46515,4.585,-3.25213e-08,-19.6112,-0.0286985,1.37136,498.304,-89.9175,q2
0.21,1.48787,4.49721,-5.2111e-08,-18.011,-0.0266641,1.36484,494.912,-80.999,q2
0.215,1.5101,4.39254,-8.894e-08,-16.5197,-0.0247738,1.35704,491.378,-72.5633,q2
0.22,1.5318,4.29158,-1.58813e-07,-15.1506,-0.0230176,1.34947,487.76,-65.0199,q2
0.225,1.55305,4.20953,-0.000593636,-13.909,-0.0213894,1.34329,484.093,-58.5504,q2
0.23,1.57395,4.15634,-0.0699755,-13.3652,-0.0207734,1.33927,480.395,-55.5502,q2
0.235,1.5945,4.01431,-0.980887,-137.865,-0.217697,1.32848,476.704,-553.434,q2
0.24,1.61331,3.43596,-1,-305.897,-0.503448,1.28375,473.303,-1051.05,q2
0.245,1.62831,2.52565,-1,-390.293,-0.684821,1.21108,470.59,-985.746,q2
0.25,1.63829,1.44637,-1,-420.779,-0.799944,1.12205,468.794,-608.601,q2
0.255,1.64266,0.297477,-1,-418.883,-0.873017,1.02522,468.008,-124.608,q2
0.26,1.64124,-0.863548,-1,-399.051,-0.919399,0.926904,468.263,344.6,q2
0.265,1.63407,-1.98259,-1,-371.302,-0.94884,0.833396,469.552,736.142,q2
0.27,1.62225,-2.61122,-1,-356.874,-0.967527,0.781988,471.685,931.876,q2
0.275,1.60917,-2.53528,-1,-365.92,-0.979388,0.788143,474.052,927.71,q2
0.28,1.59744,-2.13005,-1,-385.941,-0.986917,0.82125,476.173,822.073,q2
0.285,1.58791,-1.70827,-1,-405.734,-0.991696,0.856118,477.891,693.105,q2
0.29,1.5799,-1.5408,-1,-414.849,-0.994729,0.870063,479.33,639.201,q2
0.295,1.57211,-1.6053,-1,-414.283,-0.996654,0.864687,480.722,665.047,q2
0.3,1.5636,-1.8215,-1,-407.452,-0.997876,0.846721,482.236,742.173,q2
0.305,1.55376,-2.12476,-1,-397.134,-0.998652,0.821685,483.969,843.813,q2
0.31,1.54227,-2.47306,-1,-385.138,-0.999144,0.793199,485.966,952.47,q2
0.315,1.52899,-2.84205,-1,-372.506,-0.999457,0.763376,488.237,1058.68,q2
0.32,1.51384,-3.21899,-1,-359.77,-0.999655,0.733333,490.765,1158.09,q2
0.325,1.4968,-3.59831,-1,-347.148,-0.999781,0.703572,493.516,1249.15,q2
0.33,1.47786,-3.97881,-1,-334.668,-0.999861,0.674234,496.437,1331.58,q2
0.335,1.45701,-4.3608,-1,-322.29,-0.999912,0.645335,499.459,1405.44,q2
0.34,1.43424,-4.74709,-1,-309.896,-0.999944,0.616705,502.531,1471.1,q2
0.345,1.40952,-5.14386,-1,-297.316,-0.999964,0.587948,505.702,1529.35,q2
0.35,1.38278,-5.55447,-1,-284.443,-0.999977,0.558904,508.941,1579.93,q2
0.355,1.35394,-5.98292,-1,-271.154,-0.999986,0.529395,512.204,1622.29,q2
0.36,1.32291,-6.43378,-1,-257.324,-0.999991,0.499238,515.439,1655.57,q2
0.365,1.28957,-6.90955,-1,-242.933,-0.999994,0.468422,518.624,1678.56,q2
0.37,1.25377,-7.41606,-1,-227.962,-0.999996,0.436755,521.945,1690.58,q2
0.375,1.21534,-7.95839,-1,-212.26,-0.999998,0.40415,525.201,1689.24,q2
0.38,1.17412,-8.53969,-1,-195.714,-0.999999,0.370676,527.994,1671.34,q2
0.385,1.12987,-9.1679,-1,-178.195,-0.999999,0.336182,530.055,1633.67,q2
0.39,1.08235,-9.84946,-1,-159.93,-0.999999,0.300678,531.896,1575.22,q2
0.395,1.03127,-10.5918,-1,-140.758,-1,0.264193,532.785,1490.88,q2
0.4,0.976314,-11.4049,-1,-120.639,-1,0.226716,532.115,1375.88,q2
0.405,0.917082,-12.3034,-1,-99.7616,-1,0.188149,530.225,1227.41,q2
0.41,0.853107,-13.3058,-1,-78.2508,-1,0.148392,527.325,1041.19,q2
0.415,0.783806,-14.4391,-1,-55.8917,-1,0.107247,521.148,807.026,q2
0.42,0.708432,-15.7411,-1,-33.0115,-1,0.064457,512.149,519.636,q2
0.425,0.626027,-17.2707,-0.999998,-9.76752,-1,0.0195754,498.97,168.691,q2
0.43,0.534991,-19.2646,-0.531921,-0,-0.988056,0,-nan,0,q2
0.435,0.431518,-22.3947,-0.404154,-0,-0.943789,0,-nan,0,q2
