t,ang,vel,E,tou,act,fac,opt,power,coord,spT,spP
0,-0.349066,0,0.0018239,0,0,1,394.349,0,q3,0,0
0.0005,-0.349068,-0.00906825,0.00169558,0.03085,7.81759e-05,1.00069,394.349,-0.000279755,q3,0,0
0.001,-0.349077,-0.0277542,0.00156727,0.058162,0.000147176,1.00212,394.351,-0.00161424,q3,0,0
0.0015,-0.349097,-0.0556615,0.00143896,0.0821399,0.000207408,1.00425,394.355,-0.00457203,q3,0,0
0.002,-0.349134,-0.0923882,0.00131065,0.102964,0.000259262,1.00705,394.361,-0.00951265,q3,0,0
0.0025,-0.349191,-0.137528,0.00118234,0.120793,0.00030311,1.01049,394.372,-0.0166124,q3,0,0
0.003,-0.349273,-0.190674,0.00105402,0.135766,0.000339308,1.01455,394.387,-0.025887,q3,0,0
0.0035,-0.349383,-0.251418,0.000925712,0.148005,0.000368195,1.01918,394.407,-0.037211,q3,0,0
0.004,-0.349525,-0.319353,0.0007974,0.157616,0.000390097,1.02437,394.433,-0.0503352,q3,0,0
0.0045,-0.349703,-0.394075,0.000669089,0.164693,0.000405324,1.03006,394.465,-0.0649015,q3,0,0
0.005,-0.34992,-0.475186,0.000550935,0.169295,0.000414123,1.03625,394.505,-0.0804467,q3,0,0
0.0055,-0.350179,-0.562247,0.0005298,0.172685,0.000419676,1.04288,394.552,-0.0970914,q3,0,0
0.006,-0.350483,-0.654709,0.000508664,0.175706,0.000424097,1.04992,394.608,-0.115037,q3,0,0
0.0065,-0.350835,-0.75202,0.000487529,0.178345,0.000427381,1.05733,394.672,-0.134119,q3,0,0
0.007,-0.351236,-0.853654,0.000466394,0.180607,0.000429581,1.06506,394.745,-0.154176,q3,0,0
0.0075,-0.351689,-0.959104,0.000445258,0.182496,0.000430744,1.07307,394.827,-0.175032,q3,0,0
0.008,-0.352196,-1.06789,0.000424123,0.184036,0.000430964,1.08132,394.919,-0.19653,q3,0,0
0.0085,-0.352758,-1.17955,0.000402987,0.185469,0.000430836,1.08978,395.021,-0.218771,q3,0,0
0.009,-0.353376,-1.29366,0.000381852,0.18687,0.000430555,1.09841,395.134,-0.241745,q3,0,0
0.0095,-0.354052,-1.40979,0.000360716,0.18823,0.00043012,1.10719,395.256,-0.265366,q3,0,0
0.01,-0.354786,-1.52758,0.000342978,0.189547,0.000429537,1.11607,395.389,-0.289547,q3,0,0
0.0105,-0.355579,-1.64644,0.000339762,0.190848,0.000428891,1.12501,395.533,-0.314219,q3,0,0
0.011,-0.356432,-1.76543,0.000336546,0.19214,0.000428226,1.13395,395.687,-0.33921,q3,0,0
0.0115,-0.357345,-1.88361,0.00033333,0.193411,0.000427543,1.1428,395.852,-0.364311,q3,0,0
0.012,-0.358316,-2.00011,0.000330114,0.194651,0.000426841,1.15151,396.027,-0.389324,q3,0,0
0.0125,-0.359344,-2.11444,0.000326898,0.195852,0.00042612,1.16003,396.212,-0.414117,q3,0,0
0.013,-0.36043,-2.22647,0.000323682,0.197013,0.000425381,1.16836,396.407,-0.438643,q3,0,0
0.0135,-0.36157,-2.33611,0.000320466,0.198133,0.000424625,1.17648,396.611,-0.46286,q3,0,0
0.014,-0.362765,-2.44328,0.00031725,0.199211,0.00042385,1.18441,396.825,-0.486728,q3,0,0
0.0145,-0.364013,-2.54792,0.000314033,0.200246,0.000423057,1.19212,397.048,-0.510211,q3,0,0
0.015,-0.365313,-2.64996,0.000306094,0.201236,0.000422244,1.19963,397.28,-0.533268,q3,0,0
0.0155,-0.366663,-2.74936,0.000286269,0.202138,0.000421321,1.20691,397.52,-0.555752,q3,0,0
0.016,-0.368062,-2.84618,0.000266444,0.202938,0.000420259,1.21399,397.769,-0.577597,q3,0,0
0.0165,-0.369509,-2.94045,0.000246618,0.203635,0.00041906,1.22086,398.025,-0.598779,q3,0,0
0.017,-0.371002,-3.03223,0.000226793,0.20423,0.000417723,1.22753,398.29,-0.619273,q3,0,0
0.0175,-0.37254,-3.12155,0.000206967,0.204723,0.000416252,1.234,398.562,-0.639054,q3,0,0
0.018,-0.374123,-3.20846,0.000187142,0.205115,0.000414646,1.24028,398.841,-0.658101,q3,0,0
0.0185,-0.375748,-3.29299,0.000167317,0.205404,0.000412907,1.24637,399.127,-0.676395,q3,0,0
0.019,-0.377416,-3.3752,0.000147491,0.205592,0.000411035,1.25227,399.42,-0.693915,q3,0,0
0.0195,-0.379123,-3.45512,0.000127666,0.205679,0.000409031,1.258,399.719,-0.710646,q3,0,0
0.02,-0.38087,-3.53278,0.000121849,0.205675,0.000406917,1.26354,400.025,-0.726607,q3,0,0
0.0205,-0.382656,-3.60824,0.000138973,0.205682,0.000404891,1.26892,400.337,-0.742151,q3,0,0
0.021,-0.384478,-3.68154,0.000156096,0.205727,0.000403006,1.27412,400.654,-0.757393,q3,0,0
0.0215,-0.386337,-3.75273,0.00017322,0.205812,0.00040126,1.27916,400.977,-0.772357,q3,0,0
0.022,-0.388231,-3.82185,0.000190344,0.205938,0.000399652,1.28404,401.306,-0.787064,q3,0,0
0.0225,-0.390158,-3.88895,0.000207467,0.206107,0.000398182,1.28877,401.639,-0.801538,q3,0,0
0.023,-0.392119,-3.95407,0.000224591,0.206319,0.000396847,1.29334,401.978,-0.815799,q3,0,0
0.0235,-0.394112,-4.01726,0.000241714,0.206576,0.000395648,1.29777,402.322,-0.829867,q3,0,0
0.024,-0.396136,-4.07855,0.000258838,0.206878,0.000394583,1.30205,402.67,-0.843763,q3,0,0
0.0245,-0.39819,-4.13798,0.000275962,0.207228,0.000393651,1.30619,403.022,-0.857506,q3,0,0
0.025,-0.400274,-4.19561,0.000281806,0.207617,0.000392837,1.3102,403.379,-0.871079,q3,0,0
0.0255,-0.402386,-4.25146,0.000275131,0.207973,0.000391999,1.31407,403.74,-0.884187,q3,0,0
0.026,-0.404525,-4.30558,0.000268456,0.208285,0.000391118,1.31782,404.105,-0.896786,q3,0,0
0.0265,-0.406691,-4.35801,0.00026178,0.208554,0.000390195,1.32144,404.473,-0.90888,q3,0,0
0.027,-0.408883,-4.4088,0.000255105,0.208781,0.00038923,1.32493,404.846,-0.920472,q3,0,0
0.0275,-0.4111,-4.45798,0.000248429,0.208965,0.000388223,1.32831,405.221,-0.931564,q3,0,0
0.028,-0.41334,-4.5056,0.000241754,0.209108,0.000387174,1.33158,405.6,-0.942159,q3,0,0
0.0285,-0.415605,-4.55169,0.000235079,0.209211,0.000386085,1.33473,405.982,-0.952261,q3,0,0
0.029,-0.417892,-4.59629,0.000228403,0.209272,0.000384954,1.33778,406.368,-0.961875,q3,0,0
0.0295,-0.420201,-4.63943,0.000221728,0.209293,0.000383782,1.34072,406.756,-0.971003,q3,0,0
0.03,-0.422531,-4.68116,0.000218209,0.209279,0.000382577,1.34355,407.146,-0.979667,q3,0,0
0.0305,-0.424882,-4.7215,0.000217083,0.209245,0.000381369,1.34629,407.54,-0.987949,q3,0,0
0.031,-0.427252,-4.76048,0.000215958,0.209195,0.000380161,1.34893,407.936,-0.995867,q3,0,0
0.0315,-0.429642,-4.79814,0.000214832,0.209128,0.000378954,1.35148,408.335,-1.00343,q3,0,0
0.032,-0.43205,-4.83451,0.000213706,0.209046,0.000377748,1.35393,408.736,-1.01064,q3,0,0
0.0325,-0.434476,-4.86961,0.000212581,0.208949,0.000376542,1.3563,409.139,-1.0175,q3,0,0
0.033,-0.43692,-4.90348,0.000211455,0.208836,0.000375337,1.35858,409.544,-1.02402,q3,0,0
0.0335,-0.43938,-4.93613,0.000210329,0.20871,0.000374132,1.36077,409.951,-1.03022,q3,0,0
0.034,-0.441856,-4.96761,0.000209204,0.208569,0.000372928,1.36288,410.361,-1.03609,q3,0,0
0.0345,-0.444347,-4.99793,0.000208078,0.208414,0.000371724,1.36491,410.772,-1.04164,q3,0,0
0.035,-0.446853,-5.02713,0.000207201,0.208246,0.000370522,1.36687,411.185,-1.04688,q3,0,0
0.0355,-0.449374,-5.05527,0.000206451,0.208067,0.000369323,1.36874,411.599,-1.05183,q3,0,0
0.036,-0.451909,-5.08246,0.000205701,0.207878,0.000368127,1.37056,412.016,-1.05653,q3,0,0
0.0365,-0.454456,-5.10878,0.00020495,0.20768,0.000366934,1.37231,412.434,-1.06099,q3,0,0
0.037,-0.457017,-5.13433,0.0002042,0.207474,0.000365744,1.37401,412.853,-1.06524,q3,0,0
0.0375,-0.459591,-5.1592,0.000203449,0.207261,0.000364558,1.37566,413.274,-1.0693,q3,0,0
0.038,-0.462176,-5.18355,0.000202699,0.207042,0.000363375,1.37728,413.697,-1.07321,q3,0,0
0.0385,-0.464774,-5.20779,0.000201949,0.206822,0.000362195,1.37888,414.12,-1.07709,q3,0,0
0.039,-0.467384,-5.23234,0.000201198,0.206605,0.000361019,1.38051,414.546,-1.08103,q3,0,0
0.0395,-0.470007,-5.25757,0.000200448,0.206394,0.000359845,1.38217,414.973,-1.08513,q3,0,0
0.04,-0.472642,-5.28384,0.000203379,0.2062,0.000358685,1.38391,415.401,-1.08953,q3,0,0
0.0405,-0.475291,-5.3113,0.000207484,0.206036,0.000357562,1.38572,415.832,-1.09432,q3,0,0
0.041,-0.477953,-5.34004,0.000211589,0.205906,0.000356478,1.38761,416.264,-1.09954,q3,0,0
0.0415,-0.480631,-5.37013,0.000215694,0.205808,0.000355431,1.38959,416.698,-1.10522,q3,0,0
0.042,-0.483324,-5.40163,0.000219799,0.205745,0.000354423,1.39165,417.135,-1.11136,q3,0,0
0.0425,-0.486033,-5.4346,0.000223904,0.205715,0.000353451,1.39381,417.573,-1.11798,q3,0,0
0.043,-0.488759,-5.46908,0.000228009,0.205721,0.000352517,1.39607,418.014,-1.1251,q3,0,0
0.0435,-0.491502,-5.50511,0.000232114,0.205761,0.00035162,1.39842,418.458,-1.13274,q3,0,0
0.044,-0.494264,-5.54273,0.000236219,0.205836,0.00035076,1.40087,418.905,-1.1409,q3,0,0
0.0445,-0.497045,-5.58195,0.000240324,0.205948,0.000349936,1.40342,419.354,-1.14959,q3,0,0
0.045,-0.499846,-5.62277,0.00023771,0.206082,0.000349128,1.40607,419.806,-1.15875,q3,0,0
0.0455,-0.502668,-5.66508,0.000233938,0.206216,0.000348298,1.4088,420.262,-1.16823,q3,0,0
0.046,-0.505511,-5.70868,0.000230167,0.206348,0.000347447,1.41162,420.721,-1.17797,q3,0,0
0.0465,-0.508377,-5.75342,0.000226396,0.206476,0.000346574,1.4145,421.183,-1.18795,q3,0,0
0.047,-0.511265,-5.79916,0.000222625,0.2066,0.000345679,1.41744,421.65,-1.1981,q3,0,0
0.0475,-0.514176,-5.84574,0.000218853,0.206717,0.000344764,1.42043,422.119,-1.20841,q3,0,0
0.048,-0.517111,-5.89303,0.000215082,0.206826,0.000343828,1.42345,422.593,-1.21883,q3,0,0
0.0485,-0.520069,-5.9409,0.000211311,0.206926,0.000342871,1.4265,423.071,-1.22933,q3,0,0
0.049,-0.523052,-5.98924,0.00020754,0.207016,0.000341893,1.42957,423.552,-1.23987,q3,0,0
0.0495,-0.526059,-6.03792,0.000203768,0.207095,0.000340895,1.43266,424.038,-1.25042,q3,0,0
0.05,-0.52909,-6.08686,0.000193765,0.207148,0.000339855,1.43576,424.528,-1.26088,q3,0,0
0.0505,-0.532146,-6.13596,0.000183419,0.207158,0.000338747,1.43885,425.022,-1.27112,q3,0,0
0.051,-0.535226,-6.18512,0.000173072,0.207125,0.000337571,1.44194,425.52,-1.2811,q3,0,0
0.0515,-0.538331,-6.23427,0.000162726,0.207048,0.000336328,1.44503,426.023,-1.29079,q3,0,0
0.052,-0.54146,-6.28332,0.00015238,0.206926,0.000335018,1.44809,426.53,-1.30018,q3,0,0
0.0525,-0.544614,-6.33221,0.000142034,0.206757,0.000333642,1.45114,427.042,-1.30923,q3,0,0
0.053,-0.547792,-6.38087,0.000131687,0.206542,0.0003322,1.45417,427.558,-1.31792,q3,0,0
0.0535,-0.550995,-6.42923,0.000121341,0.20628,0.000330694,1.45717,428.078,-1.32623,q3,0,0
0.054,-0.554221,-6.47725,0.000110995,0.205971,0.000329122,1.46014,428.603,-1.33412,q3,0,0
0.0545,-0.557472,-6.52486,0.000101349,0.205612,0.000327484,1.46307,429.133,-1.34159,q3,0,0
0.055,-0.560746,-6.57203,0.000107427,0.205245,0.000325849,1.46597,429.667,-1.34888,q3,0,0
