t,ang1,ang2,ang3,ang4,v1,v2,v3,v4,TA,TK,TH,TspA,TspK,TspH,PA,PK,PH,spPA,spPK,spPH,spEA,spEK,spEH,y,vx,vy,Fy,totE
0.0105,0.524444,-0.876793,0.356882,-0.355579,0.0253814,-0.759364,1.87513,-1.64644,-60.2927,-0.274566,-117.132,0,0,0,45.7841,-0.514848,192.851,0,0,0,0,0,0,1.09949,-0.00111129,-0.144524,-552.952,864.295
0.011,0.524453,-0.877181,0.357852,-0.356432,0.0127518,-0.792622,2.00324,-1.76543,-61.7638,-0.275332,-117.537,0,0,0,48.9554,-0.551556,207.503,0,0,0,0,0,0,1.09942,-0.0011433,-0.152924,-565.091,864.419
0.0115,0.524457,-0.877586,0.358886,-0.357345,0.00046504,-0.826123,2.13074,-1.88361,-63.1484,-0.275945,-117.167,0,0,0,52.1683,-0.587966,220.697,0,0,0,0,0,0,1.09934,-0.00118382,-0.161395,-575.846,864.551
0.012,0.524454,-0.878007,0.359983,-0.358316,-0.0111283,-0.860039,2.25688,-2.00011,-64.4492,-0.276377,-116.133,0,0,0,55.4288,-0.62375,232.28,0,0,0,0,0,0,1.09926,-0.00123521,-0.169929,-585.334,864.691
0.0125,0.524446,-0.878446,0.361142,-0.359344,-0.0218304,-0.894449,2.38121,-2.11444,-65.6694,-0.276612,-114.892,0,0,0,58.7379,-0.658669,242.933,0,0,0,0,0,0,1.09917,-0.00129878,-0.178519,-593.961,864.838
0.013,0.524432,-0.878902,0.362363,-0.36043,-0.0316231,-0.929325,2.50358,-2.22647,-66.8128,-0.276643,-113.572,0,0,0,62.0908,-0.692597,252.864,0,0,0,0,0,0,1.09908,-0.00137461,-0.187161,-601.863,864.991
0.0135,0.524414,-0.879375,0.363645,-0.36157,-0.0405029,-0.964634,2.6239,-2.33611,-67.8828,-0.276466,-112.176,0,0,0,65.482,-0.72542,262.055,0,0,0,0,0,0,1.09898,-0.00146268,-0.195851,-609.075,865.152
0.014,0.524392,-0.879866,0.364987,-0.362765,-0.0484657,-1.00034,2.74208,-2.44328,-68.8829,-0.276077,-110.709,0,0,0,68.9065,-0.757027,270.494,0,0,0,0,0,0,1.09888,-0.00156297,-0.204583,-615.627,865.318
0.0145,0.524366,-0.880376,0.366387,-0.364013,-0.0555066,-1.03643,2.85804,-2.54792,-69.8164,-0.275471,-109.176,0,0,0,72.3595,-0.787307,278.172,0,0,0,0,0,0,1.09878,-0.00167547,-0.213354,-621.552,865.49
0.015,0.524337,-0.880903,0.367845,-0.365313,-0.0616196,-1.07286,2.97169,-2.64996,-70.6863,-0.274646,-107.581,0,0,0,75.8365,-0.816162,285.085,0,0,0,0,0,0,1.09867,-0.00180016,-0.222161,-626.879,865.668
0.0155,0.524305,-0.881448,0.369358,-0.366663,-0.0668151,-1.10961,3.083,-2.74936,-71.4958,-0.273688,-105.997,0,0,0,79.3326,-0.84378,291.424,0,0,0,0,0,0,1.09856,-0.00193692,-0.230999,-631.693,865.85
0.016,0.52427,-0.882013,0.370927,-0.368062,-0.0711337,-1.14663,3.19197,-2.84618,-72.2479,-0.272636,-104.446,0,0,0,82.8419,-0.870246,297.273,0,0,0,0,0,0,1.09844,-0.00208543,-0.239866,-636.039,866.038
0.0165,0.524234,-0.882595,0.37255,-0.369509,-0.0746157,-1.18388,3.29864,-2.94045,-72.9455,-0.271498,-102.927,0,0,0,86.3587,-0.895573,302.653,0,0,0,0,0,0,1.09832,-0.00224534,-0.248758,-639.939,866.229
0.017,0.524196,-0.883196,0.374226,-0.371002,-0.0772989,-1.22131,3.40301,-3.03223,-73.5915,-0.270285,-101.439,0,0,0,89.8778,-0.919782,307.587,0,0,0,0,0,0,1.09819,-0.00241636,-0.257674,-643.418,866.426
0.0175,0.524156,-0.883816,0.375953,-0.37254,-0.0792184,-1.25888,3.50512,-3.12155,-74.1886,-0.269004,-99.9811,0,0,0,93.3942,-0.942892,312.096,0,0,0,0,0,0,1.09806,-0.00259819,-0.26661,-646.496,866.626
0.018,0.524116,-0.884455,0.37773,-0.374123,-0.0804071,-1.29655,3.60498,-3.20846,-74.7393,-0.267664,-98.5522,0,0,0,96.9033,-0.964926,316.2,0,0,0,0,0,0,1.09792,-0.00279054,-0.275564,-649.194,866.83
0.0185,0.524076,-0.885113,0.379557,-0.375748,-0.0808955,-1.3343,3.70263,-3.29299,-75.246,-0.266272,-97.1517,0,0,0,100.401,-0.985907,319.92,0,0,0,0,0,0,1.09778,-0.00299317,-0.284534,-651.532,867.038
0.019,0.524036,-0.88579,0.381433,-0.377416,-0.0807121,-1.37209,3.79807,-3.3752,-75.7111,-0.264835,-95.7786,0,0,0,103.883,-1.00586,323.272,0,0,0,0,0,0,1.09764,-0.00320581,-0.293517,-653.531,867.249
0.0195,0.523995,-0.886485,0.383355,-0.379123,-0.0798833,-1.4099,3.89134,-3.45512,-76.1369,-0.263359,-94.4321,0,0,0,107.346,-1.02482,326.274,0,0,0,0,0,0,1.09749,-0.00342822,-0.302512,-655.206,867.464
0.02,0.523956,-0.8872,0.385323,-0.38087,-0.0784337,-1.44771,3.98246,-3.53278,-76.5253,-0.261833,-93.1121,0,0,0,110.786,-1.04274,328.945,0,0,0,0,0,0,1.09734,-0.00366019,-0.311516,-656.577,867.682
0.0205,0.523917,-0.887933,0.387337,-0.382656,-0.0763882,-1.48548,4.07145,-3.60824,-76.8785,-0.260101,-91.8248,0,0,0,114.202,-1.05899,331.326,0,0,0,0,0,0,1.09718,-0.00390147,-0.320528,-657.666,867.903
0.021,0.52388,-0.888685,0.389395,-0.384478,-0.0737731,-1.5232,4.15836,-3.68154,-77.1984,-0.258133,-90.571,0,0,0,117.589,-1.07341,333.441,0,0,0,0,0,0,1.09702,-0.00415183,-0.329546,-658.491,868.126
0.0215,0.523843,-0.889456,0.391495,-0.386337,-0.0706129,-1.56085,4.24321,-3.75273,-77.4867,-0.255939,-89.3495,0,0,0,120.945,-1.086,335.305,0,0,0,0,0,0,1.09685,-0.00441104,-0.338569,-659.065,868.353
0.022,0.523809,-0.890246,0.393637,-0.388231,-0.0669308,-1.59841,4.32604,-3.82185,-77.7452,-0.25353,-88.1593,0,0,0,124.268,-1.09678,336.932,0,0,0,0,0,0,1.09668,-0.00467887,-0.347594,-659.404,868.581
0.0225,0.523777,-0.891054,0.395821,-0.390158,-0.062748,-1.63585,4.40688,-3.88895,-77.9756,-0.250917,-86.9993,0,0,0,127.557,-1.10576,338.336,0,0,0,0,0,0,1.0965,-0.00495512,-0.35662,-659.521,868.813
0.023,0.523746,-0.891882,0.398044,-0.392119,-0.0580844,-1.67318,4.48577,-3.95407,-78.1795,-0.248108,-85.8685,0,0,0,130.808,-1.11296,339.53,0,0,0,0,0,0,1.09632,-0.00523958,-0.365647,-659.427,869.046
0.0235,0.523719,-0.892728,0.400306,-0.394112,-0.0529586,-1.71037,4.56273,-4.01726,-78.3582,-0.245112,-84.766,0,0,0,134.021,-1.11838,340.527,0,0,0,0,0,0,1.09614,-0.00553206,-0.374673,-659.136,869.282
0.024,0.523694,-0.893592,0.402606,-0.396136,-0.0473877,-1.74741,4.6378,-4.07855,-78.5133,-0.241937,-83.6907,0,0,0,137.195,-1.12206,341.336,0,0,0,0,0,0,1.09595,-0.00583239,-0.383696,-658.658,869.52
