t,ang,vel,E,tou,act,fac,opt,power,coord
0,-0.872665,0,-0.999901,0,0,1,105.615,0,q1
0.0005,-0.872675,-0.040296,-0.999905,-4.67474,-0.0444326,0.996156,105.616,0.188374,q1
0.001,-0.872705,-0.0801395,-0.999909,-9.10695,-0.086891,0.992356,105.616,0.729826,q1
0.0015,-0.872755,-0.119522,-0.999913,-13.3088,-0.127463,0.988599,105.617,1.59069,q1
0.002,-0.872824,-0.158439,-0.999917,-17.2919,-0.166232,0.984887,105.619,2.7397,q1
0.0025,-0.872913,-0.196891,-0.999922,-21.0672,-0.203279,0.98122,105.62,4.14794,q1
0.003,-0.873021,-0.234881,-0.999926,-24.6452,-0.238679,0.977598,105.623,5.78868,q1
0.0035,-0.873148,-0.272412,-0.99993,-28.0358,-0.272507,0.97402,105.625,7.6373,q1
0.004,-0.873293,-0.309489,-0.999934,-31.2485,-0.304831,0.970486,105.628,9.67107,q1
0.0045,-0.873457,-0.346116,-0.999938,-34.2922,-0.33572,0.966995,105.632,11.8691,q1
0.005,-0.873639,-0.382294,-0.999942,-37.1754,-0.365235,0.963548,105.635,14.212,q1
0.0055,-0.87384,-0.418037,-0.999941,-39.9062,-0.39344,0.960143,105.639,16.6823,q1
0.006,-0.874057,-0.453387,-0.99994,-42.4921,-0.420391,0.956777,105.644,19.2654,q1
0.0065,-0.874293,-0.488389,-0.999939,-44.9402,-0.446144,0.953444,105.649,21.9483,q1
0.007,-0.874546,-0.52308,-0.999937,-47.2572,-0.470753,0.950143,105.654,24.7193,q1
0.0075,-0.874816,-0.557493,-0.999936,-49.4494,-0.494269,0.946868,105.659,27.5677,q1
0.008,-0.875103,-0.591655,-0.999935,-51.5229,-0.516739,0.943619,105.665,30.4838,q1
0.0085,-0.875408,-0.625588,-0.999934,-53.4834,-0.538211,0.940393,105.672,33.4586,q1
0.009,-0.875729,-0.659309,-0.999933,-55.3365,-0.558728,0.937188,105.678,36.4839,q1
0.0095,-0.876067,-0.69283,-0.999932,-57.0874,-0.578334,0.934003,105.685,39.5518,q1
0.01,-0.876422,-0.726161,-0.999931,-58.7409,-0.597068,0.930837,105.692,42.6554,q1
0.0105,-0.876793,-0.759364,-0.999931,-60.3016,-0.61497,0.927685,105.7,45.7908,q1
0.011,-0.877181,-0.792622,-0.999931,-61.7728,-0.632077,0.924529,105.708,48.9625,q1
0.0115,-0.877586,-0.826123,-0.99993,-63.1574,-0.648423,0.921352,105.716,52.1758,q1
0.012,-0.878007,-0.860039,-0.99993,-64.4584,-0.664043,0.918137,105.724,55.4367,q1
0.0125,-0.878446,-0.894449,-0.99993,-65.6787,-0.678969,0.914877,105.733,58.7462,q1
0.013,-0.878902,-0.929325,-0.999929,-66.8221,-0.693231,0.911574,105.743,62.0995,q1
0.0135,-0.879375,-0.964634,-0.999929,-67.8922,-0.70686,0.908232,105.752,65.4911,q1
0.014,-0.879866,-1.00034,-0.999929,-68.8924,-0.719883,0.904854,105.762,68.916,q1
0.0145,-0.880376,-1.03643,-0.999928,-69.8259,-0.732328,0.901443,105.773,72.3695,q1
0.015,-0.880903,-1.07286,-0.999928,-70.696,-0.744219,0.898001,105.783,75.8469,q1
0.0155,-0.881448,-1.10961,-0.999928,-71.5055,-0.755582,0.894532,105.794,79.3434,q1
0.016,-0.882013,-1.14663,-0.999927,-72.2577,-0.76644,0.891039,105.806,82.8531,q1
0.0165,-0.882595,-1.18388,-0.999927,-72.9554,-0.776815,0.887528,105.817,86.3704,q1
0.017,-0.883196,-1.22131,-0.999926,-73.6015,-0.78673,0.884003,105.83,89.89,q1
0.0175,-0.883816,-1.25888,-0.999926,-74.1986,-0.796203,0.880467,105.842,93.4068,q1
0.018,-0.884455,-1.29655,-0.999925,-74.7493,-0.805256,0.876924,105.855,96.9164,q1
0.0185,-0.885113,-1.3343,-0.999925,-75.2562,-0.813907,0.873377,105.868,100.414,q1
0.019,-0.88579,-1.37209,-0.999924,-75.7214,-0.822173,0.869829,105.882,103.897,q1
0.0195,-0.886485,-1.4099,-0.999924,-76.1472,-0.830071,0.866283,105.896,107.36,q1
0.02,-0.8872,-1.44771,-0.999923,-76.5357,-0.837619,0.86274,105.91,110.801,q1
0.0205,-0.887933,-1.48548,-0.999923,-76.889,-0.844831,0.859204,105.925,114.217,q1
0.021,-0.888685,-1.5232,-0.999922,-77.2089,-0.851723,0.855675,105.94,117.605,q1
0.0215,-0.889456,-1.56085,-0.999922,-77.4973,-0.858309,0.852158,105.955,120.962,q1
0.022,-0.890246,-1.59841,-0.999921,-77.7559,-0.864602,0.848652,105.971,124.285,q1
0.0225,-0.891054,-1.63585,-0.999921,-77.9864,-0.870615,0.84516,105.987,127.574,q1
0.023,-0.891882,-1.67318,-0.99992,-78.1903,-0.876361,0.841683,106.004,130.826,q1
0.0235,-0.892728,-1.71037,-0.99992,-78.3692,-0.881851,0.838223,106.021,134.04,q1
0.024,-0.893592,-1.74741,-0.999919,-78.5244,-0.887098,0.83478,106.038,137.214,q1
0.0245,-0.894475,-1.7843,-0.999919,-78.6572,-0.892111,0.831355,106.055,140.348,q1
0.025,-0.895376,-1.82102,-0.999918,-78.7689,-0.896902,0.827949,106.073,143.44,q1
0.0255,-0.896296,-1.85757,-0.999918,-78.8606,-0.90148,0.824563,106.092,146.49,q1
