t,ang,vel,E,tou,act,fac,opt,power,coord,spT,spP
0,-0.872665,0,0.000227254,0,0,1,118.892,0,q1,0,0
0.0005,-0.872675,-0.040296,0.000213923,0.00116966,9.80003e-06,1.00384,118.896,-4.71327e-05,q1,0,0
0.001,-0.872705,-0.0801395,0.000200591,0.00222526,1.85722e-05,1.00764,118.908,-0.000178331,q1,0,0
0.0015,-0.872755,-0.119522,0.00018726,0.00317094,2.63621e-05,1.0114,118.928,-0.000378995,q1,0,0
0.002,-0.872824,-0.158439,0.000173929,0.00401065,3.32135e-05,1.01511,118.956,-0.000635443,q1,0,0
0.0025,-0.872913,-0.196891,0.000160597,0.00474819,3.9168e-05,1.01878,118.992,-0.000934877,q1,0,0
0.003,-0.873021,-0.234881,0.000147266,0.0053872,4.42655e-05,1.0224,119.035,-0.00126535,q1,0,0
0.0035,-0.873148,-0.272412,0.000133935,0.00593113,4.85441e-05,1.02598,119.086,-0.00161571,q1,0,0
0.004,-0.873293,-0.309489,0.000120604,0.00638333,5.20402e-05,1.02951,119.145,-0.00197557,q1,0,0
0.0045,-0.873457,-0.346116,0.000107272,0.00674697,5.47885e-05,1.033,119.211,-0.00233523,q1,0,0
0.005,-0.873639,-0.382294,9.5069e-05,0.00702442,5.68167e-05,1.03645,119.285,-0.0026854,q1,0,0
0.0055,-0.87384,-0.418037,9.36391e-05,0.00725855,5.84787e-05,1.03986,119.366,-0.00303434,q1,0,0
0.006,-0.874057,-0.453387,9.22092e-05,0.00747814,6.00091e-05,1.04322,119.454,-0.00339049,q1,0,0
0.0065,-0.874293,-0.488389,9.07793e-05,0.00768302,6.14079e-05,1.04656,119.549,-0.0037523,q1,0,0
0.007,-0.874546,-0.52308,8.93494e-05,0.00787378,6.26811e-05,1.04986,119.651,-0.00411862,q1,0,0
0.0075,-0.874816,-0.557493,8.79195e-05,0.00805097,6.38342e-05,1.05313,119.76,-0.00448836,q1,0,0
0.008,-0.875103,-0.591655,8.64896e-05,0.00821513,6.48724e-05,1.05638,119.876,-0.00486053,q1,0,0
0.0085,-0.875408,-0.625588,8.50597e-05,0.00836676,6.5801e-05,1.05961,120,-0.00523415,q1,0,0
0.009,-0.875729,-0.659309,8.36298e-05,0.00850635,6.66248e-05,1.06281,120.13,-0.00560831,q1,0,0
0.0095,-0.876067,-0.69283,8.21999e-05,0.00863434,6.73484e-05,1.066,120.267,-0.00598213,q1,0,0
0.01,-0.876422,-0.726161,8.0942e-05,0.00875127,6.79771e-05,1.06916,120.411,-0.00635483,q1,0,0
0.0105,-0.876793,-0.759364,8.04196e-05,0.00886102,6.85415e-05,1.07231,120.561,-0.00672874,q1,0,0
0.011,-0.877181,-0.792622,7.98972e-05,0.00896572,6.90577e-05,1.07547,120.719,-0.00710643,q1,0,0
0.0115,-0.877586,-0.826123,7.93748e-05,0.00906574,6.95277e-05,1.07865,120.883,-0.00748941,q1,0,0
0.012,-0.878007,-0.860039,7.88524e-05,0.00916142,6.99535e-05,1.08186,121.054,-0.00787917,q1,0,0
0.0125,-0.878446,-0.894449,7.833e-05,0.00925305,7.03373e-05,1.08512,121.233,-0.00827638,q1,0,0
0.013,-0.878902,-0.929325,7.78076e-05,0.00934082,7.06808e-05,1.08843,121.418,-0.00868065,q1,0,0
0.0135,-0.879375,-0.964634,7.72852e-05,0.00942487,7.09858e-05,1.09177,121.611,-0.00909155,q1,0,0
