time,/ap
0,0.000227254
0.0024763,0.000161229
0.00495261,9.52046e-05
0.00742891,8.81228e-05
0.00990521,8.1041e-05
0.0123815,7.84538e-05
0.0148578,7.58665e-05
0.0173341,7.57255e-05
0.0198104,7.55846e-05
0.0222867,7.71543e-05
0.024763,7.87239e-05
0.0272393,8.42331e-05
0.0297156,8.97422e-05
0.0321919,8.51336e-05
0.0346683,8.05249e-05
0.0371446,7.60464e-05
0.0396209,7.15678e-05
0.0420972,7.88301e-05
0.0445735,8.60924e-05
0.0470498,8.16399e-05
0.0495261,7.71874e-05
0.0520024,8.07363e-05
0.0544787,8.42853e-05
0.056955,8.65911e-05
0.0594313,8.88969e-05
0.0619076,8.89833e-05
0.0643839,8.90697e-05
0.0668602,9.59205e-05
0.0693365,0.000102771
0.0718128,0.000112059
0.0742891,0.000121346
0.0767654,0.000136774
0.0792417,0.000152202
0.081718,0.000177377
0.0841943,0.000202551
0.0866706,0.000223526
0.0891469,0.000244501
0.0916232,0.000249004
0.0940995,0.000253507
0.0965758,0.000262553
0.0990521,0.000271599
0.101528,0.000283484
0.104005,0.00029537
0.106481,0.000310996
0.108957,0.000326621
0.111434,0.000347619
0.11391,0.000368617
0.116386,0.000398084
0.118863,0.00042755
0.121339,0.00047024
0.123815,0.000512929
0.126291,0.000576712
0.128768,0.000640495
0.131244,0.000735194
0.13372,0.000829892
0.136197,0.00101321
0.138673,0.00119653
0.141149,0.00132505
0.143626,0.00145356
0.146102,0.178553
0.148578,0.355653
0.151055,0.677235
0.153531,0.998817
0.156007,0.99906
0.158483,0.999302
0.16096,0.999426
0.163436,0.99955
0.165912,0.999616
0.168389,0.999683
0.170865,0.999723
0.173341,0.999764
0.175818,0.999789
0.178294,0.999815
0.18077,0.999831
0.183246,0.999847
0.185723,0.999858
0.188199,0.999869
0.190675,0.999877
0.193152,0.999884
0.195628,0.99989
0.198104,0.999896
0.200581,0.9999
0.203057,0.999904
0.205533,0.999907
0.20801,0.99991
0.210486,0.999912
0.212962,0.999914
0.215438,0.999916
0.217915,0.999918
0.220391,0.999919
0.222867,0.99992
0.225344,0.999921
0.22782,0.999922
0.230296,0.999922
0.232773,0.999922
0.235249,0.999922
0.237725,0.999922
0.240201,0.999922
0.242678,0.999922
0.245154,0.999922
0.24763,0.999922
0.250107,0.999923
0.252583,0.999924
0.255059,0.999925
0.257536,0.999927
0.260012,0.99993
0.262488,0.999933
0.264964,0.999937
0.267441,0.999941
0.269917,0.999946
0.272393,0.999952
0.27487,0.999957
0.277346,0.999963
0.279822,0.999969
0.282299,0.999975
0.284775,0.999977
0.287251,0.999979
0.289728,0.99993
0.292204,0.999881
0.29468,0.999894
0.297156,0.999907
0.299633,0.999905
0.302109,0.999903
0.304585,0.999902
0.307062,0.999901
0.309538,0.999897
0.312014,0.999894
0.314491,0.999891
0.316967,0.999888
0.319443,0.999861
0.321919,0.999834
0.324396,0.999902
0.326872,0.999969
0.329348,0.999973
0.331825,0.999978
0.334301,0.99998
0.336777,0.999981
0.339254,0.999984
0.34173,0.999986
0.344206,0.999987
0.346683,0.999988
0.349159,0.999959
0.351635,0.99993
0.354111,0.999936
0.356588,0.999942
0.359064,0.999939
0.36154,0.999935
0.364017,0.999932
0.366493,0.999928
0.368969,0.999922
0.371446,0.999916
0.373922,0.999905
0.376398,0.999894
0.378874,0.999874
0.381351,0.999853
0.383827,0.999807
0.386303,0.999761
0.38878,0.999617
0.391256,0.999473
0.393732,0.982563
0.396209,0.965654
time,/kp
0,0.000781358
0.0024763,0.000599172
0.00495261,0.000416986
0.00742891,0.000474478
0.00990521,0.00053197
0.0123815,0.000603571
0.0148578,0.000675173
0.0173341,0.000792041
0.0198104,0.000908909
0.0222867,0.00108667
0.024763,0.00126443
0.0272393,0.00154708
0.0297156,0.00182973
0.0321919,0.00238421
0.0346683,0.00293868
0.0371446,0.00442552
0.0396209,0.00591235
0.0420972,0.00982042
0.0445735,0.0137285
0.0470498,0.0095606
0.0495261,0.00539271
0.0520024,0.00481939
0.0544787,0.00424606
0.056955,0.00447861
0.0594313,0.00471115
0.0619076,0.00354471
0.0643839,0.00237828
0.0668602,0.00195326
0.0693365,0.00152824
0.0718128,0.00127705
0.0742891,0.00102587
0.0767654,0.000875108
0.0792417,0.000724345
0.081718,0.000626795
0.0841943,0.000529244
0.0866706,0.000463194
0.0891469,0.000397145
0.0916232,0.000353866
0.0940995,0.000310588
0.0965758,0.000282078
0.0990521,0.000253568
0.101528,0.000233267
0.104005,0.000212966
0.106481,0.000197806
0.108957,0.000182647
0.111434,0.000170899
0.11391,0.00015915
0.116386,0.000149778
0.118863,0.000140406
0.121339,0.000132745
0.123815,0.000125084
0.126291,0.000118695
0.128768,0.000112306
0.131244,0.00010689
0.13372,0.000101474
0.136197,9.68221e-05
0.138673,9.21701e-05
0.141149,8.81307e-05
0.143626,8.40913e-05
0.146102,8.05523e-05
0.148578,7.70133e-05
0.151055,7.38931e-05
0.153531,7.07729e-05
0.156007,6.80078e-05
0.158483,6.52427e-05
0.16096,6.27626e-05
0.163436,6.02826e-05
0.165912,5.80377e-05
0.168389,5.57928e-05
0.170865,5.3746e-05
0.173341,5.16991e-05
0.175818,4.98287e-05
0.178294,4.79582e-05
0.18077,4.62481e-05
0.183246,4.4538e-05
0.185723,4.29758e-05
0.188199,4.14136e-05
0.190675,3.99864e-05
0.193152,3.85592e-05
0.195628,3.72547e-05
0.198104,3.59502e-05
0.200581,3.47569e-05
0.203057,3.35637e-05
0.205533,3.24713e-05
0.20801,3.13789e-05
0.210486,3.03779e-05
0.212962,2.93769e-05
0.215438,2.84589e-05
0.217915,2.7541e-05
0.220391,2.66985e-05
0.222867,2.5856e-05
0.225344,2.50823e-05
0.22782,2.43085e-05
0.230296,2.35974e-05
0.232773,2.28863e-05
0.235249,2.22324e-05
0.237725,2.15785e-05
0.240201,2.0977e-05
0.242678,2.03756e-05
0.245154,1.98223e-05
0.24763,1.92691e-05
0.250107,1.87603e-05
0.252583,1.82516e-05
0.255059,1.77841e-05
0.257536,1.73166e-05
0.260012,1.68875e-05
0.262488,1.64583e-05
0.264964,1.60651e-05
0.267441,1.56719e-05
0.269917,1.53125e-05
0.272393,1.49531e-05
0.27487,1.46257e-05
0.277346,1.42984e-05
0.279822,1.40016e-05
0.282299,1.37048e-05
0.284775,1.34377e-05
0.287251,1.31705e-05
0.289728,1.29322e-05
0.292204,1.26939e-05
0.29468,1.24842e-05
0.297156,1.22745e-05
0.299633,1.20934e-05
0.302109,1.19122e-05
0.304585,1.17602e-05
0.307062,1.16081e-05
0.309538,1.14865e-05
0.312014,1.13649e-05
0.314491,1.12746e-05
0.316967,1.11844e-05
0.319443,1.11235e-05
0.321919,1.10625e-05
0.324396,1.10342e-05
0.326872,1.10058e-05
0.329348,1.10147e-05
0.331825,1.10236e-05
0.334301,1.10757e-05
0.336777,1.11277e-05
0.339254,1.12317e-05
0.34173,1.13356e-05
0.344206,1.15048e-05
0.346683,1.16739e-05
0.349159,1.19282e-05
0.351635,1.21824e-05
0.354111,1.25523e-05
0.356588,1.29222e-05
0.359064,1.34563e-05
0.36154,1.39904e-05
0.364017,1.47672e-05
0.366493,1.5544e-05
0.368969,1.66998e-05
0.371446,1.78555e-05
0.373922,1.97189e-05
0.376398,2.15822e-05
0.378874,2.46528e-05
0.381351,2.77233e-05
0.383827,3.63543e-05
0.386303,4.49852e-05
0.38878,5.15166e-05
0.391256,5.8048e-05
0.393732,0.0489062
0.396209,0.0977544
time,/hp
0,0.0018239
0.0024763,0.00118842
0.00495261,0.000552939
0.00742891,0.000448263
0.00990521,0.000343588
0.0123815,0.00032766
0.0148578,0.000311732
0.0173341,0.000213544
0.0198104,0.000115357
0.0222867,0.000200163
0.024763,0.00028497
0.0272393,0.000251909
0.0297156,0.000218849
0.0321919,0.000213274
0.0346683,0.000207699
0.0371446,0.000203983
0.0396209,0.000200266
0.0420972,0.000220597
0.0445735,0.000240927
0.0470498,0.000222249
0.0495261,0.000203572
0.0520024,0.000152331
0.0544787,0.00010109
0.056955,0.000131193
0.0594313,0.000161296
0.0619076,0.000149309
0.0643839,0.000137321
0.0668602,0.000134215
0.0693365,0.000131109
0.0718128,0.000128935
0.0742891,0.000126762
0.0767654,0.00012712
0.0792417,0.000127479
0.081718,0.00013074
0.0841943,0.000134001
0.0866706,0.000144408
0.0891469,0.000154815
0.0916232,0.000158001
0.0940995,0.000161187
0.0965758,0.000125545
0.0990521,8.99041e-05
0.101528,0.000106313
0.104005,0.000122723
0.106481,0.00015237
0.108957,0.000182017
0.111434,0.000159678
0.11391,0.000137338
0.116386,0.000136857
0.118863,0.000136375
0.121339,0.000149916
0.123815,0.000163456
0.126291,0.000177663
0.128768,0.00019187
0.131244,0.000200603
0.13372,0.000209336
0.136197,0.000231631
0.138673,0.000253925
0.141149,0.000290538
0.143626,0.000327151
0.146102,0.000398595
0.148578,0.000470039
0.151055,0.000526125
0.153531,0.000582211
0.156007,0.423343
0.158483,0.846104
0.16096,0.9228
0.163436,0.999496
0.165912,0.999583
0.168389,0.999671
0.170865,0.999721
0.173341,0.999771
0.175818,0.999795
0.178294,0.999819
0.18077,0.999834
0.183246,0.99985
0.185723,0.999861
0.188199,0.999871
0.190675,0.99988
0.193152,0.999888
0.195628,0.999894
0.198104,0.999901
0.200581,0.999906
0.203057,0.999911
0.205533,0.999915
0.20801,0.999919
0.210486,0.999922
0.212962,0.999926
0.215438,0.999928
0.217915,0.999931
0.220391,0.999933
0.222867,0.999935
0.225344,0.999937
0.22782,0.999938
0.230296,0.99994
0.232773,0.999941
0.235249,0.999942
0.237725,0.999943
0.240201,0.999943
0.242678,0.999944
0.245154,0.999945
0.24763,0.999945
0.250107,0.999946
0.252583,0.999947
0.255059,0.999948
0.257536,0.99995
0.260012,0.999952
0.262488,0.999954
0.264964,0.999957
0.267441,0.999961
0.269917,0.999965
0.272393,0.999969
0.27487,0.999973
0.277346,0.999978
0.279822,0.99998
0.282299,0.999981
0.284775,0.999938
0.287251,0.999894
0.289728,0.999906
0.292204,0.999917
0.29468,0.999916
0.297156,0.999915
0.299633,0.999915
0.302109,0.999915
0.304585,0.999914
0.307062,0.999913
0.309538,0.999912
0.312014,0.999911
0.314491,0.999909
0.316967,0.999907
0.319443,0.999905
0.321919,0.999903
0.324396,0.999899
0.326872,0.999896
0.329348,0.999892
0.331825,0.999888
0.334301,0.999882
0.336777,0.999877
0.339254,0.99987
0.34173,0.999862
0.344206,0.999853
0.346683,0.999843
0.349159,0.999829
0.351635,0.999816
0.354111,0.999797
0.356588,0.999778
0.359064,0.999751
0.36154,0.999723
0.364017,0.999682
0.366493,0.99964
0.368969,0.999576
0.371446,0.999511
0.373922,0.999404
0.376398,0.999297
0.378874,0.999105
0.381351,0.998912
0.383827,0.998509
0.386303,0.998105
0.38878,0.99688
0.391256,0.995654
0.393732,0.677619
0.396209,0.359584
time,/am
0,-0.999901
0.0024763,-0.999921
0.00495261,-0.999942
0.00742891,-0.999937
0.00990521,-0.999931
0.0123815,-0.99993
0.0148578,-0.999928
0.0173341,-0.999926
0.0198104,-0.999923
0.0222867,-0.999921
0.024763,-0.999918
0.0272393,-0.999916
0.0297156,-0.999913
0.0321919,-0.99991
0.0346683,-0.999907
0.0371446,-0.999904
0.0396209,-0.999901
0.0420972,-0.999897
0.0445735,-0.999893
0.0470498,-0.999889
0.0495261,-0.999884
0.0520024,-0.999878
0.0544787,-0.999871
0.056955,-0.999861
0.0594313,-0.99985
0.0619076,-0.999832
0.0643839,-0.999813
0.0668602,-0.999774
0.0693365,-0.999736
0.0718128,-0.999524
0.0742891,-0.999311
0.0767654,-0.501771
0.0792417,-0.00423144
0.081718,-0.00286542
0.0841943,-0.00149941
0.0866706,-0.00127139
0.0891469,-0.00104336
0.0916232,-0.00092906
0.0940995,-0.000814759
0.0965758,-0.000742962
0.0990521,-0.000671165
0.101528,-0.000621254
0.104005,-0.000571343
0.106481,-0.000534446
0.108957,-0.000497549
0.111434,-0.000468972
0.11391,-0.000440395
0.116386,-0.000417483
0.118863,-0.000394571
0.121339,-0.000375714
0.123815,-0.000356857
0.126291,-0.000341007
0.128768,-0.000325156
0.131244,-0.000311581
0.13372,-0.000298006
0.136197,-0.000286184
0.138673,-0.000274362
0.141149,-0.000263906
0.143626,-0.00025345
0.146102,-0.000244072
0.148578,-0.000234694
