t,ang,vel,E,tou,act,fac,opt,power,coord,spT,spP
0,-0.349066,0,0.0451738,0,0,1,394.349,0,q3,0,0
0.0005,-0.349073,-0.0257717,0.0408523,0.754944,0.00191064,1.00197,394.35,-0.0194562,q3,0,0
0.001,-0.349088,-0.0327508,0.0365307,1.40122,0.00354434,1.0025,394.353,-0.045891,q3,0,0
0.0015,-0.349103,-0.0233034,0.0322092,1.94108,0.00491341,1.00178,394.356,-0.0452337,q3,0,0
0.002,-0.349109,0.000214057,0.0278876,2.37778,0.00602961,0.999984,394.357,0.000508981,q3,0,-0
0.0025,-0.349101,0.0354673,0.0235661,2.71533,0.00690417,0.997293,394.355,0.0963052,q3,0,-0
0.003,-0.349072,0.0801577,0.0192445,2.95828,0.00754783,0.993883,394.35,0.237129,q3,0,-0
0.0035,-0.34902,0.132035,0.014923,3.11156,0.00797085,0.989924,394.341,0.410835,q3,0,-0
0.004,-0.34894,0.18891,0.0106015,3.18027,0.00818303,0.985585,394.326,0.600785,q3,0,-0
0.0045,-0.34883,0.248667,0.00627992,3.17496,0.00820776,0.981026,394.306,0.789507,q3,0,-0
0.005,-0.348691,0.309361,0.00608829,3.15355,0.00819159,0.976396,394.281,0.975584,q3,0,-0
0.0055,-0.348521,0.369471,0.00624156,3.13281,0.00817674,0.971812,394.25,1.15748,q3,0,-0
0.006,-0.348322,0.427689,0.00639484,3.11302,0.00816312,0.967373,394.213,1.3314,q3,0,-0
0.0065,-0.348094,0.482832,0.00654811,3.09446,0.00815073,0.96317,394.171,1.4941,q3,0,-0
0.007,-0.347839,0.533844,0.00670139,3.07738,0.00813955,0.959282,394.125,1.64284,q3,0,-0
0.0075,-0.347561,0.579793,0.00685466,3.062,0.00812958,0.955782,394.074,1.77532,q3,0,-0
0.008,-0.347261,0.619862,0.00700794,3.0485,0.0081208,0.95273,394.019,1.88965,q3,0,-0
0.0085,-0.346942,0.653345,0.00716122,3.03705,0.00811321,0.950181,393.961,1.98424,q3,0,-0
0.009,-0.346608,0.679636,0.00731449,3.02779,0.0081068,0.94818,393.899,2.05779,q3,0,-0
0.0095,-0.346264,0.698254,0.0072409,3.02056,0.00810085,0.946763,393.836,2.10912,q3,0,-0
0.01,-0.345911,0.70918,0.00712596,3.01491,0.00809413,0.945931,393.772,2.13811,q3,0,-0
0.0105,-0.345556,0.712746,0.00701102,3.01075,0.00808662,0.94566,393.706,2.1459,q3,0,-0
0.011,-0.3452,0.709285,0.00689608,3.008,0.00807832,0.945923,393.641,2.13352,q3,0,-0
0.0115,-0.344848,0.699119,0.00678114,3.00658,0.00806923,0.946697,393.576,2.10195,q3,0,-0
0.012,-0.344502,0.682562,0.0066662,3.00641,0.00805937,0.947957,393.513,2.05207,q3,0,-0
0.0125,-0.344166,0.659918,0.00655126,3.00744,0.00804875,0.949681,393.451,1.98466,q3,0,-0
0.013,-0.343843,0.631478,0.00643632,3.00957,0.00803735,0.951846,393.392,1.90048,q3,0,-0
0.0135,-0.343535,0.597524,0.00632138,3.01275,0.0080252,0.954432,393.335,1.80019,q3,0,-0
0.014,-0.343246,0.558335,0.00629855,3.01701,0.00801256,0.957417,393.282,1.6845,q3,0,-0
0.0145,-0.342978,0.514247,0.00630341,3.02247,0.00800002,0.960776,393.232,1.5543,q3,0,-0
0.015,-0.342733,0.465617,0.00630828,3.02908,0.00798761,0.964482,393.187,1.41039,q3,0,-0
0.0155,-0.342513,0.412783,0.00631315,3.03673,0.00797532,0.968509,393.147,1.25351,q3,0,-0
0.016,-0.342321,0.356069,0.00631802,3.04537,0.00796317,0.972834,393.111,1.08436,q3,0,-0
0.0165,-0.342158,0.29578,0.00632288,3.0549,0.00795113,0.977432,393.081,0.903581,q3,0,-0
0.017,-0.342025,0.232209,0.00632775,3.06527,0.00793922,0.982281,393.057,0.711785,q3,0,-0
0.0175,-0.341926,0.165632,0.00633262,3.07641,0.00792743,0.987361,393.038,0.509551,q3,0,-0
0.018,-0.34186,0.0963089,0.00633749,3.08824,0.00791577,0.99265,393.026,0.297425,q3,0,-0
0.0185,-0.34183,0.0244875,0.00639993,3.10078,0.00790437,0.998131,393.021,0.0759304,q3,0,-0
0.019,-0.341836,-0.0495984,0.00648804,3.11413,0.00789367,1.00378,393.022,-0.154456,q3,0,0
0.0195,-0.34188,-0.125728,0.00657615,3.12826,0.0078837,1.00959,393.03,-0.39331,q3,0,0
0.02,-0.341962,-0.203693,0.00666426,3.14312,0.00787444,1.01554,393.045,-0.640232,q3,0,0
0.0205,-0.342084,-0.283298,0.00675237,3.15866,0.0078659,1.02162,393.068,-0.894844,q3,0,0
0.021,-0.342246,-0.364359,0.00684048,3.17485,0.00785806,1.0278,393.097,-1.15679,q3,0,0
0.0215,-0.342448,-0.446703,0.00692859,3.19165,0.00785093,1.03408,393.135,-1.42572,q3,0,0
0.022,-0.342693,-0.530167,0.0070167,3.20902,0.0078445,1.04044,393.18,-1.70132,q3,0,0
0.0225,-0.342979,-0.6146,0.00710482,3.22693,0.00783876,1.04687,393.233,-1.98327,q3,0,0
0.023,-0.343307,-0.699861,0.00719991,3.24535,0.00783372,1.05336,393.293,-2.27129,q3,0,0
0.0235,-0.343679,-0.785815,0.00729939,3.26428,0.00782944,1.0599,393.361,-2.56512,q3,0,0
0.024,-0.344093,-0.872339,0.00739887,3.28369,0.00782592,1.06648,393.438,-2.86449,q3,0,0
0.0245,-0.344551,-0.959315,0.00749835,3.30357,0.00782316,1.07308,393.522,-3.16917,q3,0,0
0.025,-0.345053,-1.04664,0.00759783,3.3239,0.00782114,1.07971,393.614,-3.47891,q3,0,0
0.0255,-0.345598,-1.1342,0.00769731,3.34464,0.00781987,1.08635,393.714,-3.7935,q3,0,0
0.026,-0.346187,-1.22192,0.00779678,3.36577,0.0078193,1.09299,393.822,-4.1127,q3,0,0
0.0265,-0.34682,-1.3097,0.00789626,3.38776,0.00782057,1.09963,393.938,-4.43696,q3,0,0
0.027,-0.347497,-1.39747,0.00799574,3.41169,0.00782616,1.10626,394.062,-4.76774,q3,0,0
0.0275,-0.348217,-1.48515,0.00798261,3.43692,0.00783456,1.11287,394.194,-5.10433,q3,0,0
0.028,-0.348982,-1.57267,0.00787258,3.46032,0.00783867,1.11946,394.334,-5.44193,q3,0,0
0.0285,-0.34979,-1.65997,0.00776256,3.48194,0.00783873,1.12603,394.481,-5.77992,q3,0,0
0.029,-0.350642,-1.747,0.00765254,3.5031,0.00783777,1.13256,394.637,-6.11992,q3,0,0
0.0295,-0.351537,-1.83371,0.00754252,3.52387,0.00783601,1.13906,394.8,-6.46175,q3,0,0
0.03,-0.352475,-1.92005,0.0074325,3.54423,0.00783345,1.14552,394.97,-6.80509,q3,0,0
0.0305,-0.353457,-2.00597,0.00732248,3.56417,0.00783011,1.15194,395.148,-7.14964,q3,0,0
0.031,-0.354481,-2.09145,0.00721245,3.58369,0.00782599,1.15831,395.334,-7.4951,q3,0,0
0.0315,-0.355548,-2.17644,0.00710243,3.60276,0.00782109,1.16464,395.527,-7.84117,q3,0,0
0.032,-0.356657,-2.26091,0.0070594,3.62142,0.00781554,1.17091,395.728,-8.18769,q3,0,0
0.0325,-0.357809,-2.34483,0.00709486,3.64005,0.00781013,1.17713,395.935,-8.53528,q3,0,0
0.033,-0.359002,-2.42818,0.00713032,3.65869,0.00780502,1.18329,396.15,-8.88397,q3,0,0
0.0335,-0.360237,-2.51093,0.00716578,3.67737,0.0078002,1.1894,396.372,-9.23362,q3,0,0
0.034,-0.361513,-2.59307,0.00720125,3.69605,0.00779569,1.19545,396.601,-9.58414,q3,0,0
0.0345,-0.36283,-2.67458,0.00723671,3.71475,0.00779146,1.20143,396.837,-9.93541,q3,0,0
0.035,-0.364188,-2.75544,0.00727217,3.73347,0.00778753,1.20736,397.079,-10.2873,q3,0,0
0.0355,-0.365585,-2.83563,0.00730763,3.75219,0.00778388,1.21322,397.328,-10.6398,q3,0,0
0.036,-0.367023,-2.91514,0.00734309,3.77092,0.00778052,1.21902,397.584,-10.9928,q3,0,0
0.0365,-0.3685,-2.99397,0.00741266,3.78969,0.0077775,1.22475,397.847,-11.3462,q3,0,0
0.037,-0.370017,-3.07211,0.00753709,3.80872,0.00777528,1.23042,398.115,-11.7008,q3,0,0
0.0375,-0.371572,-3.14954,0.00766153,3.82807,0.00777399,1.23602,398.391,-12.0567,q3,0,0
0.038,-0.373166,-3.22625,0.00778596,3.84775,0.00777361,1.24156,398.672,-12.4138,q3,0,0
0.0385,-0.374798,-3.30225,0.00791039,3.86916,0.00777695,1.24703,398.96,-12.7769,q3,0,0
0.039,-0.376468,-3.37753,0.00803482,3.89315,0.00778566,1.25244,399.253,-13.1492,q3,0,0
0.0395,-0.378176,-3.45207,0.00815926,3.91964,0.00779952,1.25778,399.553,-13.5309,q3,0,0
0.04,-0.37992,-3.52587,0.00828369,3.94856,0.00781829,1.26305,399.859,-13.9221,q3,0,0
0.0405,-0.381702,-3.59894,0.00840812,3.97982,0.00784176,1.26825,400.17,-14.3231,q3,0,0
0.041,-0.383519,-3.67126,0.00845746,4.0131,0.00786919,1.27339,400.487,-14.7331,q3,0,0
0.0415,-0.385373,-3.74283,0.00833675,4.04434,0.00789263,1.27846,400.81,-15.1373,q3,0,0
0.042,-0.387262,-3.81367,0.00821604,4.07226,0.00790966,1.28346,401.138,-15.5302,q3,0,0
0.0425,-0.389186,-3.88377,0.00809533,4.09697,0.00792057,1.2884,401.471,-15.9117,q3,0,0
0.043,-0.391146,-3.95313,0.00797462,4.11857,0.00792564,1.29328,401.81,-16.2812,q3,0,0
0.0435,-0.393139,-4.02178,0.00785391,4.1376,0.00792598,1.29808,402.154,-16.6405,q3,0,0
0.044,-0.395167,-4.0897,0.00773319,4.15581,0.00792501,1.30283,402.503,-16.996,q3,0,0
0.0445,-0.397229,-4.1569,0.00761248,4.17344,0.00792316,1.30751,402.857,-17.3486,q3,0,0
0.045,-0.399324,-4.22339,0.00749177,4.19048,0.00792044,1.31213,403.217,-17.698,q3,0,0
0.0455,-0.401452,-4.28916,0.00742401,4.20694,0.0079169,1.31668,403.581,-18.0442,q3,0,0
0.046,-0.403613,-4.35423,0.00753429,4.22344,0.00791369,1.32117,403.949,-18.3898,q3,0,0
0.0465,-0.405806,-4.41859,0.00764458,4.24026,0.00791132,1.32561,404.323,-18.7359,q3,0,0
0.047,-0.408032,-4.48224,0.00775486,4.25738,0.00790977,1.32998,404.701,-19.0826,q3,0,0
0.0475,-0.410288,-4.54519,0.00786515,4.27482,0.00790904,1.33429,405.084,-19.4299,q3,0,0
0.048,-0.412577,-4.60744,0.00797543,4.29302,0.00790992,1.33854,405.471,-19.7798,q3,0,0
0.0485,-0.414896,-4.66899,0.00808572,4.31354,0.0079153,1.34273,405.863,-20.1399,q3,0,0
0.049,-0.417245,-4.72985,0.008196,4.33653,0.00792534,1.34686,406.259,-20.5111,q3,0,0
0.0495,-0.419625,-4.79,0.00830629,4.36189,0.00793983,1.35093,406.659,-20.8934,q3,0,0
0.05,-0.422035,-4.84945,0.00839848,4.3895,0.00795852,1.35494,407.063,-21.2867,q3,0,0
