t,ang,vel,E,tou,act,fac,opt,power,coord
0,0.349066,0,-0.997608,0,0,1,427.309,0,q2
0.0005,0.349069,0.00933009,-0.996405,-18.9464,-0.0443037,1.00079,427.31,-0.176772,q2
0.001,0.349071,-0.00442843,-0.995203,-36.985,-0.0865853,0.999625,427.311,0.163785,q2
0.0015,0.349061,-0.0388922,-0.994,-54.0613,-0.126935,0.996702,427.308,2.10256,q2
0.002,0.349029,-0.0916667,-0.992798,-70.1415,-0.165437,0.992228,427.297,6.42964,q2
0.0025,0.348967,-0.160367,-0.991596,-85.2103,-0.202176,0.986403,427.276,13.6649,q2
0.003,0.348867,-0.242635,-0.990393,-99.2689,-0.237228,0.979429,427.242,24.0861,q2
0.0035,0.348722,-0.336162,-0.989191,-112.333,-0.27067,0.971503,427.193,37.7622,q2
0.004,0.348529,-0.438699,-0.987988,-124.431,-0.302572,0.962818,427.127,54.5879,q2
0.0045,0.348283,-0.548074,-0.986786,-135.602,-0.333003,0.95356,427.043,74.3202,q2
0.005,0.34798,-0.662225,-0.935022,-145.473,-0.360982,0.943905,426.94,96.3356,q2
0.0055,0.34762,-0.779191,-0.879036,-153.578,-0.385237,0.934023,426.818,119.666,q2
0.006,0.347201,-0.897154,-0.823049,-160.048,-0.405927,0.92407,426.675,143.587,q2
0.0065,0.346723,-1.01446,-0.767063,-165.014,-0.423209,0.914186,426.512,167.4,q2
0.007,0.346187,-1.12962,-0.711076,-168.604,-0.437236,0.904498,426.329,190.458,q2
0.0075,0.345594,-1.24129,-0.65509,-170.94,-0.448151,0.895121,426.127,212.186,q2
0.008,0.344946,-1.34828,-0.599103,-172.138,-0.456093,0.886154,425.905,232.09,q2
0.0085,0.344247,-1.44954,-0.543117,-172.302,-0.461195,0.877683,425.666,249.759,q2
0.009,0.343498,-1.54414,-0.48713,-171.532,-0.463582,0.869784,425.41,264.869,q2
0.0095,0.342704,-1.63131,-0.438833,-170.06,-0.46377,0.862521,425.137,277.42,q2
0.01,0.341868,-1.71087,-0.391938,-168.512,-0.463415,0.855902,424.85,288.302,q2
0.0105,0.340994,-1.78312,-0.345042,-166.961,-0.462719,0.849903,424.55,297.712,q2
0.011,0.340086,-1.84834,-0.298146,-165.406,-0.461685,0.844497,424.237,305.727,q2
0.0115,0.339147,-1.90681,-0.25125,-163.845,-0.460315,0.839657,423.913,312.422,q2
0.012,0.33818,-1.95881,-0.204355,-162.276,-0.458611,0.83536,423.579,317.866,q2
0.0125,0.337189,-2.00457,-0.157459,-160.695,-0.456577,0.831583,423.236,322.124,q2
0.013,0.336177,-2.04436,-0.110563,-159.1,-0.454213,0.828302,422.885,325.259,q2
0.0135,0.335146,-2.07841,-0.0636674,-157.489,-0.451524,0.825498,422.527,327.328,q2
0.014,0.334099,-2.10695,-0.0512688,-155.893,-0.448608,0.823149,422.163,328.458,q2
0.0145,0.33304,-2.1303,-0.0492462,-154.382,-0.445689,0.82123,421.794,328.88,q2
0.015,0.33197,-2.1488,-0.0472237,-152.954,-0.442778,0.819709,421.421,328.668,q2
0.0155,0.330891,-2.16278,-0.0452011,-151.602,-0.439872,0.818561,421.044,327.882,q2
0.016,0.329807,-2.17256,-0.0431786,-150.32,-0.436974,0.817758,420.664,326.578,q2
0.0165,0.32872,-2.17842,-0.0411561,-149.101,-0.434081,0.817277,420.282,324.805,q2
0.017,0.32763,-2.18066,-0.0391335,-147.942,-0.431195,0.817093,419.899,322.61,q2
0.0175,0.326539,-2.17953,-0.037111,-146.836,-0.428316,0.817185,419.515,320.034,q2
0.018,0.325451,-2.1753,-0.0350885,-145.779,-0.425442,0.817533,419.131,317.114,q2
0.0185,0.324365,-2.1682,-0.0336203,-144.768,-0.422577,0.818116,418.747,313.885,q2
0.019,0.323283,-2.15845,-0.0323993,-143.799,-0.419723,0.818917,418.364,310.383,q2
0.0195,0.322207,-2.14627,-0.0311783,-142.87,-0.416881,0.819917,417.983,306.636,q2
0.02,0.321137,-2.13186,-0.0299573,-141.975,-0.41405,0.821101,417.603,302.672,q2
0.0205,0.320075,-2.11541,-0.0287363,-141.113,-0.411232,0.822453,417.225,298.513,q2
0.021,0.319022,-2.09711,-0.0275153,-140.28,-0.408425,0.823959,416.849,294.184,q2
0.0215,0.317978,-2.07712,-0.0262943,-139.474,-0.40563,0.825605,416.476,289.703,q2
0.022,0.316945,-2.05559,-0.0250733,-138.691,-0.402847,0.827377,416.106,285.092,q2
0.0225,0.315923,-2.03268,-0.0238523,-137.929,-0.400075,0.829265,415.74,280.366,q2
0.023,0.314913,-2.00853,-0.0230016,-137.187,-0.397315,0.831256,415.377,275.544,q2
0.0235,0.313915,-1.98327,-0.0223832,-136.463,-0.394571,0.833341,415.018,270.642,q2
0.024,0.312929,-1.95701,-0.0217648,-135.755,-0.391842,0.835508,414.663,265.675,q2
0.0245,0.311958,-1.92989,-0.0211464,-135.063,-0.389128,0.83775,414.313,260.656,q2
0.025,0.311,-1.902,-0.020528,-134.383,-0.38643,0.840056,413.966,255.596,q2
0.0255,0.310056,-1.87344,-0.0199096,-133.715,-0.383747,0.842419,413.625,250.507,q2
0.026,0.309126,-1.84431,-0.0192912,-133.057,-0.38108,0.844831,413.288,245.398,q2
0.0265,0.308212,-1.81469,-0.0186728,-132.408,-0.378427,0.847285,412.955,240.28,q2
0.027,0.307312,-1.78467,-0.0180544,-131.767,-0.375789,0.849775,412.628,235.16,q2
0.0275,0.306427,-1.75432,-0.0175584,-131.133,-0.373166,0.852294,412.306,230.049,q2
0.028,0.305557,-1.72371,-0.0171677,-130.505,-0.37056,0.854836,411.989,224.952,q2
0.0285,0.304703,-1.6929,-0.016777,-129.882,-0.367969,0.857396,411.676,219.877,q2
0.029,0.303865,-1.66194,-0.0163862,-129.264,-0.365395,0.859971,411.37,214.83,q2
0.0295,0.303041,-1.6309,-0.0159955,-128.651,-0.362837,0.862554,411.068,209.816,q2
0.03,0.302234,-1.59981,-0.0156048,-128.04,-0.360294,0.865143,410.772,204.84,q2
0.0305,0.301442,-1.56873,-0.0152141,-127.433,-0.357768,0.867734,410.481,199.907,q2
0.031,0.300665,-1.53769,-0.0148233,-126.827,-0.355257,0.870323,410.195,195.021,q2
0.0315,0.299904,-1.50673,-0.0144326,-126.224,-0.352761,0.872906,409.915,190.185,q2
0.032,0.299158,-1.47588,-0.0141005,-125.622,-0.350281,0.875482,409.64,185.403,q2
0.0325,0.298428,-1.44518,-0.0138372,-125.022,-0.347818,0.878048,409.37,180.678,q2
0.033,0.297713,-1.41464,-0.0135739,-124.422,-0.34537,0.8806,409.105,176.013,q2
0.0335,0.297013,-1.38431,-0.0133105,-123.824,-0.342938,0.883138,408.846,171.411,q2
0.034,0.296329,-1.35419,-0.0130472,-123.226,-0.340522,0.885659,408.593,166.872,q2
0.0345,0.295659,-1.32431,-0.0127839,-122.629,-0.338122,0.888161,408.344,162.399,q2
0.035,0.295004,-1.29469,-0.0125205,-122.032,-0.335738,0.890643,408.101,157.993,q2
0.0355,0.294364,-1.26534,-0.0122572,-121.434,-0.333369,0.893104,407.863,153.656,q2
0.036,0.293739,-1.23627,-0.0119939,-120.837,-0.331016,0.895542,407.63,149.388,q2
0.0365,0.293128,-1.2075,-0.0117599,-120.24,-0.328678,0.897957,407.402,145.19,q2
0.037,0.292531,-1.17904,-0.0115733,-119.643,-0.326355,0.900346,407.18,141.064,q2
0.0375,0.291949,-1.1509,-0.0113867,-119.045,-0.324048,0.90271,406.962,137.009,q2
0.038,0.29138,-1.12309,-0.0112,-118.448,-0.321757,0.905048,406.75,133.027,q2
0.0385,0.290826,-1.09561,-0.0110134,-117.85,-0.319481,0.907358,406.542,129.117,q2
0.039,0.290285,-1.06847,-0.0108268,-117.252,-0.317221,0.90964,406.34,125.28,q2
0.0395,0.289757,-1.04168,-0.0106401,-116.654,-0.314976,0.911894,406.142,121.516,q2
0.04,0.289243,-1.01525,-0.0104535,-116.055,-0.312745,0.914119,405.949,117.826,q2
0.0405,0.288742,-0.989185,-0.0102669,-115.456,-0.31053,0.916314,405.761,114.208,q2
0.041,0.288254,-0.963482,-0.0100953,-114.857,-0.30833,0.918479,405.577,110.663,q2
0.0415,0.287778,-0.938145,-0.009958,-114.258,-0.306144,0.920614,405.398,107.19,q2
0.042,0.287316,-0.913172,-0.00982066,-113.658,-0.303974,0.922719,405.224,103.79,q2
0.0425,0.286865,-0.888561,-0.00968332,-113.059,-0.301819,0.924794,405.055,100.46,q2
0.043,0.286427,-0.864307,-0.00954598,-112.459,-0.299678,0.92684,404.889,97.1994,q2
0.0435,0.286001,-0.840408,-0.00940864,-111.86,-0.297552,0.928856,404.729,94.008,q2
0.044,0.285586,-0.816861,-0.00927129,-111.261,-0.29544,0.930843,404.572,90.8846,q2
0.0445,0.285184,-0.793663,-0.00913395,-110.662,-0.293343,0.932801,404.42,87.8282,q2
0.045,0.284793,-0.770812,-0.00899661,-110.063,-0.291261,0.934731,404.272,84.8381,q2
0.0455,0.284413,-0.748306,-0.00886558,-109.465,-0.289192,0.936631,404.128,81.9133,q2
0.046,0.284044,-0.726141,-0.00875576,-108.867,-0.287138,0.938504,403.989,79.0529,q2
0.0465,0.283687,-0.704316,-0.00864594,-108.27,-0.285099,0.940348,403.853,76.2561,q2
0.047,0.28334,-0.682827,-0.00853611,-107.673,-0.283073,0.942164,403.722,73.5221,q2
0.0475,0.283004,-0.661671,-0.00842629,-107.077,-0.281061,0.943952,403.594,70.8498,q2
0.048,0.282678,-0.640846,-0.00831647,-106.482,-0.279063,0.945713,403.471,68.2383,q2
0.0485,0.282363,-0.620348,-0.00820665,-105.887,-0.27708,0.947446,403.351,65.6868,q2
0.049,0.282058,-0.600177,-0.00809682,-105.293,-0.275109,0.949152,403.235,63.1945,q2
0.0495,0.281763,-0.580329,-0.007987,-104.7,-0.273153,0.950831,403.123,60.7605,q2
0.05,0.281477,-0.560803,-0.00788028,-104.108,-0.27121,0.952483,403.015,58.384,q2
0.0505,0.281202,-0.541605,-0.00779086,-103.517,-0.26928,0.954107,402.91,56.0651,q2
0.051,0.280936,-0.522748,-0.00770143,-102.926,-0.267364,0.955703,402.808,53.8044,q2
0.0515,0.280679,-0.504239,-0.00761201,-102.336,-0.265462,0.95727,402.711,51.6019,q2
0.052,0.280432,-0.486082,-0.00752259,-101.747,-0.263573,0.958806,402.616,49.4575,q2
0.0525,0.280193,-0.468285,-0.00743316,-101.159,-0.261696,0.960313,402.525,47.3712,q2
0.053,0.279963,-0.450851,-0.00734374,-100.571,-0.259833,0.961789,402.438,45.3426,q2
0.0535,0.279742,-0.433785,-0.00725431,-99.9841,-0.257983,0.963234,402.353,43.3716,q2
0.054,0.279529,-0.417091,-0.00716489,-99.3978,-0.256146,0.964648,402.272,41.4579,q2
0.0545,0.279325,-0.400772,-0.0070767,-98.8121,-0.254322,0.96603,402.194,39.6011,q2
0.055,0.279129,-0.384831,-0.00700372,-98.227,-0.25251,0.96738,402.119,37.8008,q2
0.0555,0.27894,-0.369277,-0.00693074,-97.6426,-0.250711,0.968698,402.047,36.0571,q2
0.056,0.278759,-0.354115,-0.00685777,-97.0588,-0.248925,0.969982,401.978,34.37,q2
0.0565,0.278586,-0.339353,-0.00678479,-96.4756,-0.247151,0.971233,401.912,32.7393,q2
0.057,0.27842,-0.324996,-0.00671181,-95.8929,-0.24539,0.97245,401.848,31.1648,q2
0.0575,0.278261,-0.311048,-0.00663884,-95.3108,-0.243641,0.973631,401.787,29.6462,q2
0.058,0.278109,-0.297514,-0.00656586,-94.7292,-0.241905,0.974778,401.729,28.1833,q2
0.0585,0.277963,-0.284399,-0.00649288,-94.1482,-0.240181,0.97589,401.674,26.7756,q2
0.059,0.277824,-0.271702,-0.00641991,-93.5676,-0.238468,0.976966,401.62,25.4225,q2
0.0595,0.277691,-0.259425,-0.00635807,-92.9877,-0.236768,0.978006,401.57,24.1233,q2
0.06,0.277565,-0.247565,-0.00629626,-92.4084,-0.23508,0.979011,401.521,22.8771,q2
0.0605,0.277444,-0.236122,-0.00623445,-91.8298,-0.233404,0.979981,401.475,21.683,q2
0.061,0.277328,-0.225091,-0.00617264,-91.2519,-0.231739,0.980916,401.431,20.5399,q2
0.0615,0.277219,-0.21447,-0.00611083,-90.6747,-0.230086,0.981817,401.388,19.447,q2
0.062,0.277114,-0.204257,-0.00604902,-90.0984,-0.228445,0.982682,401.348,18.4033,q2
0.0625,0.277014,-0.194449,-0.00598721,-89.5229,-0.226816,0.983514,401.31,17.4076,q2
0.063,0.276919,-0.185042,-0.0059254,-88.9482,-0.225198,0.984311,401.274,16.4591,q2
0.0635,0.276829,-0.176032,-0.00586358,-88.3746,-0.223591,0.985075,401.239,15.5568,q2
0.064,0.276743,-0.167412,-0.00580879,-87.8019,-0.221996,0.985806,401.206,14.6991,q2
0.0645,0.276662,-0.159146,-0.0057546,-87.2306,-0.220412,0.986506,401.175,13.8824,q2
0.065,0.276584,-0.151196,-0.00570041,-86.6609,-0.218839,0.98718,401.145,13.1028,q2
0.0655,0.27651,-0.143523,-0.00564622,-86.0931,-0.217278,0.987831,401.117,12.3563,q2
0.066,0.276441,-0.136092,-0.00559203,-85.5275,-0.215727,0.988461,401.09,11.6396,q2
0.0665,0.276374,-0.12887,-0.00553784,-84.9643,-0.214187,0.989073,401.065,10.9493,q2
0.067,0.276312,-0.121823,-0.00548365,-84.4038,-0.212659,0.989671,401.041,10.2824,q2
0.0675,0.276252,-0.114923,-0.00542946,-83.8461,-0.211141,0.990256,401.018,9.63585,q2
0.068,0.276197,-0.10814,-0.00537526,-83.2915,-0.209633,0.990831,400.996,9.00715,q2
0.0685,0.276144,-0.101444,-0.00532684,-82.7401,-0.208137,0.991399,400.976,8.39346,q2
0.069,0.276095,-0.0947832,-0.00527947,-82.1923,-0.206651,0.991963,400.958,7.79045,q2
0.0695,0.27605,-0.0881018,-0.00523211,-81.6485,-0.205175,0.99253,400.94,7.19338,q2
0.07,0.276007,-0.0813467,-0.00518475,-81.109,-0.20371,0.993103,400.924,6.59795,q2
0.0705,0.275968,-0.074468,-0.00513738,-80.5742,-0.202256,0.993686,400.909,6.0002,q2
0.071,0.275933,-0.0674192,-0.00509002,-80.0442,-0.200812,0.994283,400.895,5.39652,q2
0.0715,0.275901,-0.0601564,-0.00504266,-79.5194,-0.199378,0.994899,400.883,4.7836,q2
0.072,0.275873,-0.0526388,-0.0049953,-78.9999,-0.197954,0.995537,400.872,4.15846,q2
0.0725,0.275848,-0.044828,-0.00494793,-78.4861,-0.19654,0.996199,400.863,3.51837,q2
0.073,0.275828,-0.0366406,-0.00490517,-77.9783,-0.195136,0.996893,400.855,2.85717,q2
0.0735,0.275812,-0.0276158,-0.00486381,-77.4795,-0.193742,0.997658,400.849,2.13966,q2
0.074,0.2758,-0.017139,-0.00482244,-76.9938,-0.192359,0.998547,400.844,1.3196,q2
0.0745,0.275795,-0.00463868,-0.00478108,-76.5245,-0.190985,0.999607,400.842,0.354973,q2
0.075,0.275796,0.0104149,-0.00473972,-76.075,-0.18962,1.00088,400.843,-0.792313,q2
0.0755,0.275806,0.0285105,-0.00469836,-75.648,-0.188266,1.00242,400.846,-2.15676,q2
0.076,0.275825,0.0500972,-0.00465699,-75.2462,-0.186921,1.00425,400.854,-3.76962,q2
0.0765,0.275857,0.075585,-0.00461563,-74.8716,-0.185585,1.00641,400.866,-5.65917,q2
0.077,0.275902,0.105346,-0.00457427,-74.5263,-0.184259,1.00893,400.883,-7.85104,q2
0.0775,0.275963,0.139717,-0.00453648,-74.2119,-0.182943,1.01185,400.907,-10.3686,q2
