t,ang,vel,E,tou,act,fac,opt,power,coord
0,-0.872665,0,-0.999905,0,0,1,105.615,0,q1
0.0005,-0.872664,0.00221567,-0.999909,-4.69378,-0.0444328,1.00021,105.615,-0.0103999,q1
0.001,-0.872662,0.00452475,-0.999913,-9.18102,-0.0868914,1.00043,105.615,-0.0415419,q1
0.0015,-0.87266,0.00694917,-0.999916,-13.471,-0.127463,1.00066,105.615,-0.0936123,q1
0.002,-0.872655,0.00951506,-0.99992,-17.5726,-0.166233,1.00091,105.615,-0.167205,q1
0.0025,-0.87265,0.0122513,-0.999924,-21.4944,-0.203279,1.00117,105.615,-0.263335,q1
0.003,-0.872643,0.015188,-0.999928,-25.2447,-0.23868,1.00145,105.615,-0.383415,q1
0.0035,-0.872635,0.0183547,-0.999932,-28.8312,-0.272507,1.00175,105.615,-0.529188,q1
0.004,-0.872625,0.0217792,-0.999936,-32.2616,-0.304832,1.00208,105.615,-0.70263,q1
0.0045,-0.872613,0.0254857,-0.999939,-35.5431,-0.33572,1.00243,105.614,-0.905842,q1
0.005,-0.872599,0.0294943,-0.999943,-38.6826,-0.365236,1.00281,105.614,-1.14092,q1
0.0055,-0.872583,0.0338193,-0.999946,-41.6868,-0.393441,1.00323,105.614,-1.40982,q1
0.006,-0.872565,0.038467,-0.999946,-44.5619,-0.420392,1.00367,105.613,-1.71416,q1
0.0065,-0.872545,0.0434325,-0.999945,-47.314,-0.446146,1.00414,105.613,-2.05496,q1
0.007,-0.872522,0.0487054,-0.999944,-49.9486,-0.470755,1.00465,105.612,-2.43276,q1
0.0075,-0.872496,0.0542699,-0.999944,-52.4711,-0.49427,1.00518,105.612,-2.8476,q1
0.008,-0.872468,0.0600978,-0.999943,-54.8866,-0.516741,1.00573,105.611,-3.29856,q1
0.0085,-0.872436,0.0661513,-0.999943,-57.1997,-0.538213,1.00631,105.611,-3.78384,q1
0.009,-0.872401,0.0723929,-0.999942,-59.4151,-0.558731,1.00691,105.61,-4.30123,q1
0.0095,-0.872364,0.078786,-0.999941,-61.5367,-0.578337,1.00752,105.609,-4.84824,q1
0.01,-0.872323,0.0852953,-0.999941,-63.5688,-0.597072,1.00814,105.608,-5.42212,q1
0.0105,-0.872278,0.0918871,-0.99994,-65.5151,-0.614974,1.00877,105.607,-6.02,q1
0.011,-0.872231,0.0985296,-0.99994,-67.3792,-0.632081,1.0094,105.607,-6.63885,q1
0.0115,-0.87218,0.105192,-0.99994,-69.1646,-0.648427,1.01003,105.605,-7.27553,q1
0.012,-0.872125,0.111843,-0.99994,-70.8744,-0.664047,1.01067,105.604,-7.92679,q1
0.0125,-0.872068,0.118455,-0.99994,-72.5119,-0.678973,1.0113,105.603,-8.58943,q1
0.013,-0.872007,0.125005,-0.99994,-74.08,-0.693236,1.01192,105.602,-9.26033,q1
0.0135,-0.871943,0.131468,-0.99994,-75.5815,-0.706865,1.01254,105.601,-9.93656,q1
0.014,-0.871876,0.137827,-0.99994,-77.0191,-0.719889,1.01315,105.599,-10.6153,q1
0.0145,-0.871805,0.144064,-0.99994,-78.3954,-0.732333,1.01374,105.598,-11.294,q1
0.015,-0.871732,0.150166,-0.99994,-79.713,-0.744225,1.01432,105.596,-11.9702,q1
0.0155,-0.871655,0.15612,-0.99994,-80.9742,-0.755588,1.01489,105.595,-12.6417,q1
0.016,-0.871575,0.161917,-0.99994,-82.1813,-0.766446,1.01544,105.593,-13.3066,q1
0.0165,-0.871493,0.167551,-0.99994,-83.3366,-0.776822,1.01598,105.591,-13.9631,q1
0.017,-0.871408,0.173014,-0.99994,-84.4421,-0.786737,1.0165,105.59,-14.6097,q1
0.0175,-0.87132,0.178305,-0.99994,-85.5,-0.796211,1.01701,105.588,-15.2451,q1
0.018,-0.87123,0.183421,-0.99994,-86.5121,-0.805264,1.0175,105.586,-15.8681,q1
0.0185,-0.871137,0.188362,-0.99994,-87.4804,-0.813915,1.01797,105.584,-16.4779,q1
0.019,-0.871041,0.193129,-0.99994,-88.4067,-0.822181,1.01842,105.582,-17.0739,q1
0.0195,-0.870944,0.197724,-0.99994,-89.2927,-0.83008,1.01886,105.58,-17.6553,q1
0.02,-0.870844,0.202151,-0.99994,-90.1403,-0.837628,1.01928,105.578,-18.2219,q1
0.0205,-0.870741,0.206415,-0.99994,-90.9509,-0.844841,1.01969,105.576,-18.7736,q1
0.021,-0.870637,0.21052,-0.99994,-91.7262,-0.851733,1.02008,105.574,-19.3102,q1
0.0215,-0.870531,0.214472,-0.999939,-92.4677,-0.858319,1.02046,105.572,-19.8318,q1
0.022,-0.870423,0.218279,-0.999939,-93.1768,-0.864612,1.02082,105.569,-20.3386,q1
0.0225,-0.870313,0.221948,-0.999939,-93.855,-0.870626,1.02117,105.567,-20.8309,q1
0.023,-0.870201,0.225486,-0.999939,-94.5037,-0.876372,1.02151,105.565,-21.3092,q1
0.0235,-0.870087,0.2289,-0.999939,-95.124,-0.881863,1.02183,105.562,-21.7739,q1
0.024,-0.869972,0.2322,-0.999939,-95.7173,-0.88711,1.02215,105.56,-22.2256,q1
0.0245,-0.869855,0.235394,-0.999939,-96.2847,-0.892124,1.02245,105.558,-22.6649,q1
0.025,-0.869737,0.23849,-0.999939,-96.8275,-0.896915,1.02275,105.555,-23.0924,q1
0.0255,-0.869617,0.241496,-0.999939,-97.3468,-0.901493,1.02303,105.553,-23.5089,q1
0.026,-0.869495,0.244422,-0.999939,-97.8435,-0.905867,1.02331,105.55,-23.9151,q1
