t,ang,vel,E,tou,act,fac,opt,power,coord
0,-0.349066,0,-0.999821,0,0,1,236.087,0,q3
0.0005,-0.349072,-0.024125,-0.999828,-10.4699,-0.0444292,0.998159,236.088,0.252585,q3
0.001,-0.349089,-0.0413609,-0.999835,-20.4476,-0.0868844,0.996844,236.088,0.845734,q3
0.0015,-0.349113,-0.0530125,-0.999841,-29.9687,-0.127453,0.995954,236.09,1.58872,q3
0.002,-0.349141,-0.0603757,-0.999848,-39.0622,-0.16622,0.995393,236.091,2.35841,q3
0.0025,-0.349172,-0.0647172,-0.999854,-47.7521,-0.203264,0.995061,236.093,3.09038,q3
0.003,-0.349206,-0.0672585,-0.999861,-56.0576,-0.238662,0.994867,236.095,3.77035,q3
0.0035,-0.34924,-0.0691632,-0.999868,-63.9937,-0.272487,0.994722,236.096,4.42601,q3
0.004,-0.349275,-0.0715286,-0.999874,-71.5723,-0.30481,0.994541,236.098,5.11947,q3
0.0045,-0.349311,-0.0753793,-0.999881,-78.8021,-0.335697,0.994248,236.1,5.94005,q3
0.005,-0.349351,-0.0816648,-0.999887,-85.6898,-0.365211,0.993768,236.102,6.99784,q3
0.0055,-0.349394,-0.0912607,-0.999892,-92.24,-0.393415,0.993036,236.104,8.41788,q3
0.006,-0.349443,-0.104897,-0.99989,-98.4565,-0.420365,0.991995,236.107,10.3278,q3
0.0065,-0.349499,-0.123065,-0.999887,-104.343,-0.446117,0.990609,236.11,12.8411,q3
0.007,-0.349566,-0.146189,-0.999884,-109.904,-0.470725,0.988844,236.113,16.0668,q3
0.0075,-0.349646,-0.174629,-0.999882,-115.143,-0.494239,0.986674,236.118,20.1074,q3
0.008,-0.349742,-0.208418,-0.999879,-120.066,-0.516708,0.984096,236.123,25.0239,q3
0.0085,-0.349856,-0.247306,-0.999876,-124.681,-0.538179,0.981129,236.129,30.8344,q3
0.009,-0.34999,-0.291036,-0.999874,-128.998,-0.558695,0.977794,236.136,37.5431,q3
0.0095,-0.350147,-0.339362,-0.999871,-133.026,-0.578299,0.974108,236.144,45.1439,q3
0.01,-0.35033,-0.392048,-0.999868,-136.774,-0.597033,0.97009,236.153,53.6221,q3
0.0105,-0.35054,-0.44887,-0.999866,-140.253,-0.614934,0.965758,236.164,62.9552,q3
0.011,-0.35078,-0.509614,-0.999863,-143.47,-0.632039,0.961129,236.177,73.1145,q3
0.0115,-0.35105,-0.574031,-0.999862,-146.438,-0.648384,0.956221,236.191,84.0599,q3
0.012,-0.351354,-0.641822,-0.99986,-149.166,-0.664002,0.951058,236.207,95.7377,q3
0.0125,-0.351693,-0.712694,-0.999858,-151.665,-0.678927,0.945664,236.224,108.09,q3
0.013,-0.352067,-0.786371,-0.999856,-153.945,-0.693188,0.940059,236.244,121.058,q3
0.0135,-0.35248,-0.862591,-0.999855,-156.018,-0.706815,0.934265,236.265,134.58,q3
0.014,-0.35293,-0.941104,-0.999853,-157.894,-0.719837,0.9283,236.288,148.594,q3
0.0145,-0.353421,-1.02167,-0.999851,-159.582,-0.73228,0.922185,236.314,163.041,q3
0.015,-0.353952,-1.10408,-0.99985,-161.093,-0.74417,0.915936,236.341,177.859,q3
0.0155,-0.354525,-1.18811,-0.999848,-162.436,-0.755532,0.909571,236.37,192.992,q3
0.016,-0.355141,-1.27356,-0.999846,-163.621,-0.766388,0.903104,236.402,208.381,q3
0.0165,-0.355799,-1.36026,-0.999844,-164.656,-0.776762,0.896552,236.436,223.974,q3
0.017,-0.356501,-1.44802,-0.999841,-165.55,-0.786675,0.889929,236.472,239.72,q3
0.0175,-0.357247,-1.53668,-0.999839,-166.312,-0.796148,0.883247,236.509,255.568,q3
0.018,-0.358038,-1.62608,-0.999836,-166.95,-0.805199,0.876518,236.55,271.475,q3
0.0185,-0.358873,-1.71609,-0.999834,-167.471,-0.813848,0.869756,236.592,287.396,q3
