time,/ap
0,0.00923351
0.00226927,0.00934711
0.00453854,0.00946071
0.00680781,0.00833516
0.00907708,0.00720961
0.0113463,0.0072423
0.0136156,0.00727499
0.0158849,0.00731646
0.0181542,0.00735793
0.0204234,0.00746977
0.0226927,0.00758162
0.024962,0.00770304
0.0272312,0.00782447
0.0295005,0.0079418
0.0317698,0.00805913
0.034039,0.00817942
0.0363083,0.00829971
0.0385776,0.0082005
0.0408468,0.00810129
0.0431161,0.00875677
0.0453854,0.00941224
0.0476547,0.00931321
0.0499239,0.00921419
0.0521932,0.0092001
0.0544625,0.00918601
0.0567317,0.00926557
0.059001,0.00934513
0.0612703,0.00922687
0.0635395,0.0091086
0.0658088,0.00937416
0.0680781,0.00963973
0.0703473,0.00918176
0.0726166,0.0087238
0.0748859,0.00887172
0.0771552,0.00901964
0.0794244,0.00935037
0.0816937,0.0096811
0.083963,0.00900368
0.0862322,0.00832625
0.0885015,0.00835793
0.0907708,0.00838961
0.09304,0.00798767
0.0953093,0.00758572
0.0975786,0.00759872
0.0998478,0.00761172
0.102117,0.0078143
0.104386,0.00801687
0.106656,0.00859289
0.108925,0.00916891
0.111194,0.00816481
0.113463,0.0071607
0.115733,0.00788667
0.118002,0.00861265
0.120271,0.00869859
0.122541,0.00878452
0.12481,0.00838467
0.127079,0.00798482
0.129348,0.00755756
0.131618,0.00713031
0.133887,0.00747414
0.136156,0.00781798
0.138425,0.00723631
0.140695,0.00665464
0.142964,0.00740486
0.145233,0.00815508
0.147503,0.00819697
0.149772,0.00823886
0.152041,0.00787914
0.15431,0.00751943
0.15658,0.00760478
0.158849,0.00769012
0.161118,0.00791402
0.163387,0.00813792
0.165657,0.00830149
0.167926,0.00846505
0.170195,0.00848094
0.172464,0.00849684
0.174734,0.00847297
0.177003,0.00844911
0.179272,0.00887204
0.181542,0.00929498
0.183811,0.00916333
0.18608,0.00903168
0.188349,0.00939923
0.190619,0.00976678
0.192888,0.00951356
0.195157,0.00926035
0.197426,0.00936311
0.199696,0.00946587
0.201965,0.00961694
0.204234,0.00976802
0.206504,0.00982417
0.208773,0.00988032
0.211042,0.010354
0.213311,0.0108276
0.215581,0.0115116
0.21785,0.0121955
0.220119,0.0133981
0.222388,0.0146006
0.224658,0.0167289
0.226927,0.0188573
0.229196,0.0235604
0.231465,0.0282635
0.233735,0.0360886
0.236004,0.0439138
0.238273,0.234439
0.240543,0.424965
0.242812,0.688975
0.245081,0.952984
0.24735,0.961378
0.24962,0.969773
0.251889,0.974058
0.254158,0.978344
0.256427,0.98012
0.258697,0.981895
0.260966,0.983238
0.263235,0.984581
0.265505,0.985667
0.267774,0.986754
0.270043,0.987481
0.272312,0.988209
0.274582,0.988692
0.276851,0.989174
0.27912,0.989494
0.281389,0.989814
0.283659,0.99003
0.285928,0.990245
0.288197,0.990401
0.290466,0.990557
0.292736,0.99069
0.295005,0.990824
0.297274,0.990962
0.299544,0.991101
0.301813,0.991258
0.304082,0.991416
0.306351,0.991597
0.308621,0.991778
0.31089,0.991981
0.313159,0.992184
0.315428,0.992406
0.317698,0.992628
0.319967,0.992866
0.322236,0.993105
0.324506,0.993361
0.326775,0.993617
0.329044,0.993894
0.331313,0.99417
0.333583,0.99447
0.335852,0.99477
0.338121,0.995096
0.34039,0.995423
0.34266,0.995775
0.344929,0.996126
0.347198,0.996494
0.349467,0.996861
0.351737,0.997211
0.354006,0.997561
0.356275,0.997917
0.358545,0.998273
0.360814,0.99839
0.363083,0.998507
0.365352,0.99496
0.367622,0.991414
0.369891,0.992216
0.37216,0.993017
0.374429,0.992877
0.376699,0.992736
0.378968,0.991388
0.381237,0.99004
0.383507,0.994179
0.385776,0.998317
0.388045,0.998615
0.390314,0.998912
0.392584,0.998942
0.394853,0.998971
0.397122,0.996346
0.399391,0.993721
0.401661,0.994171
0.40393,0.994621
0.406199,0.994229
0.408468,0.993837
0.410738,0.993403
0.413007,0.992969
0.415276,0.99224
0.417546,0.991511
0.419815,0.990307
0.422084,0.989103
0.424353,0.986928
0.426623,0.984753
0.428892,0.98024
0.431161,0.975728
0.43343,0.964017
0.4357,0.952305
0.437969,0.897718
0.440238,0.84313
0.442508,0.611467
0.444777,0.379805
0.447046,0.381753
0.449315,0.383701
0.451585,0.434911
0.453854,0.48612
time,/kp
0,0.0042069
0.00226927,0.0133552
0.00453854,0.0225034
0.00680781,0.0169926
0.00907708,0.0114818
0.0113463,0.011795
0.0136156,0.0121081
0.0158849,0.0124819
0.0181542,0.0128557
0.0204234,0.013652
0.0226927,0.0144483
0.024962,0.0154808
0.0272312,0.0165134
0.0295005,0.0179564
0.0317698,0.0193994
0.034039,0.0212713
0.0363083,0.0231432
0.0385776,0.0251098
0.0408468,0.0270764
0.0431161,0.0290339
0.0453854,0.0309914
0.0476547,0.0336613
0.0499239,0.0363312
0.0521932,0.0397256
0.0544625,0.04312
0.0567317,0.0474419
0.059001,0.0517639
0.0612703,0.0580307
0.0635395,0.0642975
0.0658088,0.0757948
0.0680781,0.0872921
0.0703473,0.106765
0.0726166,0.126238
0.0748859,0.305292
0.0771552,0.484346
0.0794244,0.679285
0.0816937,0.874225
0.083963,0.897098
0.0862322,0.919971
0.0885015,0.931672
0.0907708,0.943373
0.09304,0.949718
0.0953093,0.956062
0.0975786,0.960252
0.0998478,0.964441
0.102117,0.967524
0.104386,0.970606
0.106656,0.972743
0.108925,0.97488
0.111194,0.976236
0.113463,0.977592
0.115733,0.978373
0.118002,0.979154
0.120271,0.979982
0.122541,0.98081
0.12481,0.979697
0.127079,0.978585
0.129348,0.921418
0.131618,0.864251
0.133887,0.766158
0.136156,0.668064
0.138425,0.440387
0.140695,0.21271
0.142964,0.154986
0.145233,0.0972628
0.147503,0.0775515
0.149772,0.0578402
0.152041,0.0484524
0.15431,0.0390647
0.15658,0.0340496
0.158849,0.0290345
0.161118,0.0258874
0.163387,0.0227404
0.165657,0.0205817
0.167926,0.0184231
0.170195,0.0168639
0.172464,0.0153047
0.174734,0.0141355
0.177003,0.0129663
0.179272,0.0120587
0.181542,0.0111511
0.183811,0.0104281
0.18608,0.00970523
0.188349,0.0091201
0.190619,0.00853497
0.192888,0.00805292
0.195157,0.00757087
0.197426,0.00716669
0.199696,0.0067625
0.201965,0.00641959
0.204234,0.00607668
0.206504,0.00578275
0.208773,0.00548882
0.211042,0.00523453
0.213311,0.00498023
0.215581,0.00475862
0.21785,0.00453701
0.220119,0.00434226
0.222388,0.00414752
0.224658,0.00397503
0.226927,0.00380255
0.229196,0.0036486
0.231465,0.00349466
0.233735,0.00335417
0.236004,0.00321367
0.238273,0.00308348
0.240543,0.00295329
0.242812,0.00283707
0.245081,0.00272084
0.24735,0.00262072
0.24962,0.00252059
0.251889,0.00243233
0.254158,0.00234407
0.256427,0.00226464
0.258697,0.0021852
0.260966,0.00211292
0.263235,0.00204065
0.265505,0.00197424
0.267774,0.00190784
0.270043,0.00184652
0.272312,0.00178521
0.274582,0.00172861
0.276851,0.00167202
0.27912,0.00161985
0.281389,0.00156767
0.283659,0.00151962
0.285928,0.00147157
0.288197,0.00142736
0.290466,0.00138315
0.292736,0.0013425
0.295005,0.00130185
0.297274,0.0012645
0.299544,0.00122715
0.301813,0.00119284
0.304082,0.00115853
0.306351,0.00112704
0.308621,0.00109555
0.31089,0.00106666
0.313159,0.00103777
0.315428,0.00101129
0.317698,0.00098481
0.319967,0.000960576
0.322236,0.000936342
0.324506,0.000914204
0.326775,0.000892065
0.329044,0.000871893
0.331313,0.00085172
0.333583,0.000833402
0.335852,0.000815085
0.338121,0.000798531
0.34039,0.000781977
0.34266,0.000767114
0.344929,0.000752252
0.347198,0.00073903
0.349467,0.000725807
0.351737,0.000714193
0.354006,0.000702579
0.356275,0.000692568
0.358545,0.000682556
0.360814,0.000674162
0.363083,0.000665768
