t,ang1,ang2,ang3,ang4,v1,v2,v3,v4,TA,TK,TH,TspA,TspK,TspH,PA,PK,PH,spPA,spPK,spPH,spEA,spEK,spEH,y,vx,vy,Fy,totE
0,0.523599,-0.872665,0.349066,-0.349066,0,0,0,0,0,0,0,72.8831,0,0,0,0,0,0,0,0,31.8013,0,0,1.10019,0,0,641.922,863.458
0.0005,0.523598,-0.872664,0.34907,-0.349072,-0.00408409,0.00221567,0.0139252,-0.024125,-4.69245,-18.4837,-10.465,72.883,0,0,-0.0103969,-0.257388,0.252468,-0.161485,0,0,31.8012,0,0,1.10019,0.000134288,-0.000821095,664.179,863.458
0.001,0.523596,-0.872662,0.349078,-0.349089,-0.00303272,0.00452475,0.0151925,-0.0413609,-9.17849,-35.1376,-20.4384,72.8828,0,0,-0.0415304,-0.533829,0.845352,-0.329777,0,0,31.8011,0,0,1.10019,3.14973e-05,-0.00151806,681.642,863.459
0.0015,0.523595,-0.87266,0.349083,-0.349113,0.00243168,0.00694917,0.00567516,-0.0530125,-13.4674,-49.997,-29.9555,72.8824,0,0,-0.0935872,-0.283741,1.58802,-0.506473,0,0,31.8009,0,0,1.10018,-0.0002832,-0.00212083,694.337,863.459
0.002,0.523599,-0.872655,0.349082,-0.349141,0.0115946,0.00951506,-0.012779,-0.0603757,-17.5681,-63.1123,-39.0455,72.882,0,0,-0.167161,0.806512,2.3574,-0.693477,-0,0,31.8006,0,0,1.10018,-0.000785188,-0.00265892,702.358,863.46
0.0025,0.523607,-0.87265,0.349069,-0.349172,0.0237588,0.0122513,-0.038371,-0.0647172,-21.489,-74.5465,-47.7323,72.8815,0,0,-0.263269,2.86042,3.0891,-0.892893,-0,0,31.8002,0,0,1.10018,-0.00145062,-0.00316111,705.852,863.463
0.003,0.523623,-0.872643,0.349043,-0.349206,0.0382517,0.015188,-0.0693694,-0.0672585,-25.2385,-84.3713,-56.035,72.8808,0,0,-0.383322,5.85279,3.76883,-1.10691,-0,0,31.7997,0,0,1.10018,-0.00225659,-0.00365514,705.004,863.467
0.0035,0.523646,-0.872635,0.348999,-0.34924,0.0544314,0.0183547,-0.104124,-0.0691632,-28.8244,-92.665,-63.9689,72.88,0,0,-0.529063,9.64868,4.42429,-1.33769,-0,0,31.7991,0,0,1.10018,-0.00318124,-0.00416748,700.032,863.473
0.004,0.523677,-0.872625,0.348938,-0.349275,0.0716913,0.0217792,-0.141076,-0.0715286,-32.2542,-99.5093,-71.5454,72.879,0,0,-0.70247,14.0384,5.11754,-1.58724,-0,0,31.7984,0,0,1.10018,-0.00420384,-0.00472317,691.173,863.482
0.0045,0.523718,-0.872613,0.348858,-0.349311,0.0894624,0.0254857,-0.178764,-0.0753793,-35.5353,-104.987,-78.7736,72.8779,0,0,-0.905643,18.7679,5.9379,-1.85735,-0,0,31.7975,0,0,1.10017,-0.00530487,-0.00534574,678.671,863.494
