t,ang,vel,E,tou,act,fac,opt,power,coord,spT,spP
0,-0.872665,0,2.27831e-05,0,0,1,118.892,0,q1,0,0
0.0005,-0.872679,-0.0570001,2.14119e-05,0.000117358,9.81716e-07,1.00544,118.897,-6.68942e-06,q1,0,0
0.001,-0.872722,-0.113844,2.00406e-05,0.000223447,1.85887e-06,1.01086,118.915,-2.54381e-05,q1,0,0
0.0015,-0.872793,-0.170444,1.86693e-05,0.000318645,2.63612e-06,1.01626,118.943,-5.43113e-05,q1,0,0
0.002,-0.872892,-0.226705,1.72981e-05,0.000403309,3.31789e-06,1.02162,118.983,-9.14319e-05,q1,0,0
0.0025,-0.873019,-0.282521,1.59268e-05,0.000477773,3.90842e-06,1.02694,119.035,-0.000134981,q1,0,0
0.003,-0.873174,-0.337785,1.45556e-05,0.000542356,4.41179e-06,1.03221,119.097,-0.000183199,q1,0,0
0.0035,-0.873357,-0.39238,1.31843e-05,0.000597358,4.83185e-06,1.03741,119.171,-0.000234391,q1,0,0
0.004,-0.873567,-0.44619,1.1813e-05,0.000643064,5.17231e-06,1.04254,119.255,-0.000286928,q1,0,0
0.0045,-0.873803,-0.499095,1.04418e-05,0.000679745,5.4367e-06,1.04757,119.351,-0.000339257,q1,0,0
0.005,-0.874066,-0.550977,9.73126e-06,0.000708611,5.63599e-06,1.05251,119.457,-0.000390429,q1,0,0
0.0055,-0.874354,-0.601697,9.65985e-06,0.000735359,5.81637e-06,1.05734,119.573,-0.000442464,q1,0,0
0.006,-0.874667,-0.651111,9.58845e-06,0.000760917,5.98556e-06,1.06203,119.7,-0.000495442,q1,0,0
0.0065,-0.875005,-0.699101,9.51704e-06,0.000785315,6.14407e-06,1.06659,119.837,-0.000549015,q1,0,0
0.007,-0.875366,-0.745582,9.44564e-06,0.000808582,6.29235e-06,1.07101,119.983,-0.000602864,q1,0,0
0.0075,-0.87575,-0.7905,9.37423e-06,0.000830748,6.43088e-06,1.07527,120.138,-0.000656706,q1,0,0
0.008,-0.876156,-0.833841,9.30283e-06,0.000851842,6.56007e-06,1.07938,120.303,-0.000710301,q1,0,0
0.0085,-0.876584,-0.875634,9.23142e-06,0.000871899,6.68035e-06,1.08334,120.476,-0.000763464,q1,0,0
0.009,-0.877032,-0.915929,9.16002e-06,0.000890952,6.79212e-06,1.08716,120.658,-0.000816049,q1,0,0
0.0095,-0.877499,-0.954788,9.08894e-06,0.000909034,6.89574e-06,1.09084,120.848,-0.000867935,q1,0,0
0.01,-0.877986,-0.992281,9.03712e-06,0.00092624,6.99204e-06,1.09438,121.046,-0.00091909,q1,0,0
0.0105,-0.878491,-1.02849,8.9853e-06,0.000942657,7.08176e-06,1.09781,121.251,-0.000969511,q1,0,0
0.011,-0.879014,-1.06349,8.93347e-06,0.000958315,7.16518e-06,1.10111,121.464,-0.00101916,q1,0,0
0.0115,-0.879555,-1.09738,8.88165e-06,0.000973244,7.2426e-06,1.10431,121.684,-0.00106802,q1,0,0
0.012,-0.880112,-1.13023,8.82983e-06,0.000987474,7.31427e-06,1.10741,121.912,-0.00111607,q1,0,0
0.0125,-0.880685,-1.16213,8.77801e-06,0.00100103,7.38046e-06,1.11042,122.146,-0.00116333,q1,0,0
0.013,-0.881274,-1.19316,8.72619e-06,0.00101396,7.4414e-06,1.11335,122.387,-0.00120981,q1,0,0
0.0135,-0.881878,-1.2234,8.67437e-06,0.00102627,7.49734e-06,1.11619,122.636,-0.00125554,q1,0,0
0.014,-0.882497,-1.25294,8.62255e-06,0.00103801,7.54848e-06,1.11897,122.891,-0.00130056,q1,0,0
0.0145,-0.883131,-1.28184,8.56437e-06,0.00104918,7.59497e-06,1.12169,123.154,-0.00134488,q1,0,0
0.015,-0.883779,-1.31018,8.50044e-06,0.00105975,7.63662e-06,1.12436,123.424,-0.00138847,q1,0,0
0.0155,-0.884441,-1.33804,8.4365e-06,0.00106975,7.67357e-06,1.12697,123.701,-0.00143137,q1,0,0
0.016,-0.885117,-1.36546,8.37257e-06,0.0010792,7.70604e-06,1.12955,123.984,-0.00147361,q1,0,0
0.0165,-0.885806,-1.39252,8.30863e-06,0.00108813,7.73423e-06,1.13209,124.275,-0.00151524,q1,0,0
0.017,-0.886509,-1.41927,8.2447e-06,0.00109655,7.75832e-06,1.1346,124.572,-0.0015563,q1,0,0
