t,ang1,ang2,ang3,ang4,v1,v2,v3,v4,TA,TK,TH,TspA,TspK,TspH,PA,PK,PH,spPA,spPK,spPH,spEA,spEK,spEH,y,vx,vy,Fy,totE
0,0.523599,-0.872665,0.349066,-0.349066,0,0,0,0,0,0,0,0,0,50.4772,0,0,0,0,0,0,0,0,8.80993,1.10019,0,0,82.3629,863.458
0.0005,0.523612,-0.872679,0.349057,-0.349051,0.0555901,-0.0570001,-0.0385047,0.0590721,-4.66756,-18.9243,-10.5376,0,0,50.4736,0.266051,0.728674,-0.622478,0,-0,-2.98158,0,0,8.8092,1.10018,-0.000448229,-0.0043144,106.422,863.459
0.001,0.523655,-0.872722,0.349025,-0.349006,0.116629,-0.113844,-0.0906389,0.125702,-9.07803,-36.8426,-20.7111,0,0,50.4653,1.03348,3.33937,-2.60343,0,-0,-6.3436,0,0,8.80688,1.10018,-0.00114492,-0.00848267,129.092,863.462
0.0015,0.52373,-0.872793,0.348964,-0.348925,0.182684,-0.170444,-0.155448,0.199219,-13.2443,-53.7436,-30.5499,0,0,50.4517,2.25741,8.35432,-6.08612,0,-0,-10.0509,0,0,8.80279,1.10018,-0.00207555,-0.0125141,150.191,863.468
0.002,0.523839,-0.872892,0.348868,-0.348805,0.253308,-0.226705,-0.231946,0.278918,-17.1788,-69.6242,-40.0795,0,0,50.4324,3.89451,16.1491,-11.1789,0,-0,-14.0665,0,0,8.79678,1.10017,-0.00322546,-0.0164189,169.579,863.477
0.0025,0.523984,-0.873019,0.34873,-0.348645,0.328043,-0.282521,-0.319133,0.364074,-20.8935,-84.4897,-49.3216,0,0,50.4071,5.90286,26.9635,-17.9567,0,-0,-18.3519,0,0,8.78868,1.10016,-0.00457998,-0.0202082,187.152,863.491
0.003,0.524167,-0.873174,0.348547,-0.34844,0.406425,-0.337785,-0.416002,0.453956,-24.4,-98.3523,-58.2944,0,0,50.3753,8.24193,40.9148,-26.4631,0,-0,-22.8681,0,0,8.77838,1.10015,-0.00612456,-0.0238935,202.841,863.51
0.0035,0.524391,-0.873357,0.348313,-0.34819,0.487991,-0.39238,-0.521558,0.54783,-27.7093,-111.231,-67.0128,0,0,50.3367,10.8726,58.0132,-36.7116,0,-0,-27.576,0,0,8.76578,1.10014,-0.00784485,-0.0274868,216.607,863.537
0.004,0.524656,-0.873567,0.348024,-0.347892,0.572285,-0.44619,-0.634822,0.644977,-30.8324,-123.149,-75.4892,0,0,50.2912,13.7571,78.1777,-48.6888,0,-0,-32.4367,0,0,8.75077,1.10012,-0.00972684,-0.0310001,228.44,863.571
0.0045,0.524964,-0.873803,0.347677,-0.347545,0.658855,-0.499095,-0.754842,0.744693,-33.7795,-134.137,-83.7333,0,0,50.2385,16.8592,101.252,-62.3556,0,-0,-37.4122,0,0,8.73331,1.10011,-0.0117569,-0.0344454,238.353,863.613
0.005,0.525315,-0.874066,0.347268,-0.347147,0.747248,-0.550977,-0.880649,0.84626,-36.5606,-143.992,-91.7526,0,0,50.1784,20.1441,126.806,-77.6466,0,-0,-42.464,0,0,8.71333,1.10009,-0.0139213,-0.0378357,245.496,863.664
