t,ang,vel,E,tou,act,fac,opt,power,coord
0,-0.349066,0,-0.999986,0,0,1,236.087,0,q3
0.0005,-0.349051,0.0590721,-0.999987,-10.5381,-0.0444364,1.00451,236.086,-0.622509,q3
0.001,-0.349006,0.125702,-0.999987,-20.7121,-0.0868981,1.00959,236.084,-2.60355,q3
0.0015,-0.348925,0.199219,-0.999988,-30.5513,-0.127473,1.0152,236.08,-6.08639,q3
0.002,-0.348805,0.278918,-0.999989,-40.0813,-0.166245,1.02128,236.074,-11.1794,q3
0.0025,-0.348645,0.364074,-0.999989,-49.3237,-0.203294,1.02778,236.065,-17.9575,q3
0.003,-0.34844,0.453956,-0.99999,-58.2966,-0.238697,1.03463,236.054,-26.4641,q3
0.0035,-0.34819,0.54783,-0.999991,-67.0153,-0.272526,1.04178,236.041,-36.713,q3
0.004,-0.347892,0.644977,-0.999991,-75.4918,-0.304853,1.04918,236.026,-48.6905,q3
0.0045,-0.347545,0.744693,-0.999992,-83.7361,-0.335742,1.05677,236.007,-62.3577,q3
0.005,-0.347147,0.84626,-0.999992,-91.7555,-0.36526,1.06449,235.986,-77.649,q3
0.0055,-0.346698,0.948142,-0.999992,-99.5496,-0.393465,1.07223,235.963,-94.3872,q3
0.006,-0.346199,1.04812,-0.999992,-107.109,-0.420417,1.07982,235.936,-112.263,q3
0.0065,-0.345651,1.14415,-0.999992,-114.423,-0.446172,1.0871,235.907,-130.917,q3
0.007,-0.345056,1.23443,-0.999992,-121.477,-0.470782,1.09394,235.876,-149.955,q3
0.0075,-0.344418,1.31733,-0.999991,-128.258,-0.494299,1.1002,235.842,-168.958,q3
0.008,-0.34374,1.39166,-0.999991,-134.752,-0.51677,1.10582,235.806,-187.529,q3
0.0085,-0.343028,1.4572,-0.999991,-140.956,-0.538243,1.11076,235.768,-205.402,q3
0.009,-0.342284,1.51411,-0.999991,-146.87,-0.558762,1.11505,235.728,-222.378,q3
0.0095,-0.341515,1.56254,-0.999991,-152.495,-0.578368,1.1187,235.687,-238.28,q3
0.01,-0.340723,1.6027,-0.999991,-157.831,-0.597104,1.12172,235.645,-252.956,q3
0.0105,-0.339913,1.63494,-0.999991,-162.885,-0.615007,1.12415,235.601,-266.307,q3
0.011,-0.33909,1.65968,-0.999991,-167.661,-0.632115,1.12601,235.557,-278.263,q3
0.0115,-0.338255,1.67729,-0.999991,-172.166,-0.648462,1.12733,235.512,-288.774,q3
0.012,-0.337413,1.68817,-0.999991,-176.407,-0.664083,1.12815,235.466,-297.805,q3
0.0125,-0.336568,1.69266,-0.999991,-180.391,-0.67901,1.12848,235.421,-305.341,q3
0.013,-0.335722,1.69112,-0.999991,-184.126,-0.693273,1.12837,235.375,-311.378,q3
0.0135,-0.334878,1.68388,-0.999991,-187.619,-0.706903,1.12783,235.329,-315.928,q3
0.014,-0.334039,1.67128,-0.999991,-190.878,-0.719927,1.12688,235.283,-319.01,q3
0.0145,-0.333207,1.65362,-0.999991,-193.912,-0.732372,1.12555,235.238,-320.656,q3
0.015,-0.332386,1.63121,-0.999991,-196.728,-0.744264,1.12387,235.193,-320.904,q3
0.0155,-0.331577,1.60434,-0.999991,-199.335,-0.755628,1.12185,235.149,-319.801,q3
0.016,-0.330782,1.57331,-0.99999,-201.741,-0.766486,1.11951,235.105,-317.401,q3
0.0165,-0.330004,1.53837,-0.99999,-203.955,-0.776863,1.11688,235.063,-313.759,q3
0.017,-0.329244,1.49981,-0.99999,-205.984,-0.786778,1.11398,235.021,-308.937,q3
0.0175,-0.328505,1.45785,-0.99999,-207.837,-0.796252,1.11081,234.98,-302.996,q3
0.018,-0.327787,1.41276,-0.99999,-209.521,-0.805306,1.10741,234.941,-296.002,q3
0.0185,-0.327093,1.36474,-0.99999,-211.045,-0.813957,1.10379,234.903,-288.021,q3
0.019,-0.326423,1.31403,-0.99999,-212.415,-0.822224,1.09995,234.866,-279.119,q3
0.0195,-0.325779,1.26083,-0.99999,-213.639,-0.830123,1.09593,234.83,-269.361,q3
0.02,-0.325162,1.20533,-0.99999,-214.724,-0.837671,1.09173,234.796,-258.814,q3
0.0205,-0.324574,1.14774,-0.99999,-215.678,-0.844884,1.08737,234.764,-247.542,q3
0.021,-0.324015,1.08822,-0.99999,-216.507,-0.851777,1.08286,234.733,-235.607,q3
0.0215,-0.323486,1.02695,-0.99999,-217.218,-0.858363,1.07822,234.704,-223.072,q3
0.022,-0.322988,0.964094,-0.99999,-217.817,-0.864656,1.07345,234.676,-209.996,q3
0.0225,-0.322522,0.899804,-0.99999,-218.311,-0.87067,1.06856,234.65,-196.437,q3
0.023,-0.322089,0.834226,-0.99999,-218.704,-0.876417,1.06358,234.626,-182.449,q3
0.0235,-0.321688,0.7675,-0.99999,-219.004,-0.881908,1.05851,234.604,-168.086,q3
0.024,-0.321321,0.699756,-0.99999,-219.215,-0.887155,1.05335,234.584,-153.397,q3
0.0245,-0.320989,0.631118,-0.99999,-219.344,-0.892169,1.04813,234.565,-138.432,q3
0.025,-0.32069,0.561704,-0.999989,-219.394,-0.89696,1.04284,234.549,-123.234,q3
0.0255,-0.320427,0.491623,-0.999989,-219.371,-0.901539,1.0375,234.534,-107.848,q3
0.026,-0.320199,0.42098,-0.999989,-219.28,-0.905914,1.03212,234.522,-92.3123,q3
0.0265,-0.320006,0.349873,-0.999989,-219.124,-0.910094,1.02669,234.511,-76.6657,q3
0.027,-0.319849,0.278394,-0.999989,-218.909,-0.914089,1.02124,234.502,-60.943,q3
0.0275,-0.319728,0.206629,-0.999989,-218.639,-0.917906,1.01577,234.496,-45.1771,q3
0.028,-0.319642,0.13466,-0.999989,-218.316,-0.921553,1.01028,234.491,-29.3985,q3
0.0285,-0.319593,0.0625628,-0.999989,-217.946,-0.925039,1.00477,234.488,-13.6353,q3
0.029,-0.31958,-0.00959163,-0.999989,-217.532,-0.928369,0.999268,234.487,2.08648,q3
0.0295,-0.319603,-0.0817367,-0.999989,-217.076,-0.931552,0.993763,234.489,17.7431,q3
0.03,-0.319662,-0.15381,-0.999989,-216.582,-0.934593,0.988263,234.492,33.3126,q3
0.0305,-0.319757,-0.225754,-0.999989,-216.054,-0.937499,0.982774,234.497,48.7751,q3
0.031,-0.319887,-0.297515,-0.999989,-215.493,-0.940276,0.977299,234.504,64.1126,q3
0.0315,-0.320054,-0.369043,-0.999989,-214.904,-0.942929,0.971844,234.514,79.3087,q3
0.032,-0.320256,-0.440291,-0.999989,-214.287,-0.945465,0.966412,234.525,94.3488,q3
0.0325,-0.320494,-0.511216,-0.999989,-213.647,-0.947888,0.961007,234.538,109.22,q3
0.033,-0.320767,-0.581779,-0.999989,-212.984,-0.950203,0.955631,234.553,123.91,q3
0.0335,-0.321076,-0.651943,-0.999989,-212.302,-0.952415,0.950288,234.57,138.409,q3
0.034,-0.321419,-0.721675,-0.999989,-211.602,-0.954529,0.94498,234.589,152.708,q3
0.0345,-0.321798,-0.790942,-0.999989,-210.887,-0.956549,0.939711,234.61,166.799,q3
0.035,-0.32221,-0.859717,-0.999989,-210.157,-0.95848,0.934483,234.633,180.676,q3
0.0355,-0.322657,-0.927975,-0.999989,-209.415,-0.960324,0.929297,234.658,194.332,q3
0.036,-0.323138,-0.99569,-0.999989,-208.662,-0.962087,0.924157,234.684,207.763,q3
0.0365,-0.323653,-1.06284,-0.999989,-207.901,-0.963771,0.919062,234.713,220.966,q3
0.037,-0.324201,-1.12941,-0.999989,-207.131,-0.965381,0.914016,234.743,233.936,q3
0.0375,-0.324782,-1.19538,-0.999989,-206.355,-0.966918,0.90902,234.775,246.673,q3
0.038,-0.325396,-1.26074,-0.999989,-205.574,-0.968388,0.904075,234.809,259.175,q3
0.0385,-0.326043,-1.32546,-0.999989,-204.789,-0.969792,0.899181,234.845,271.44,q3
0.039,-0.326721,-1.38954,-0.999989,-204.001,-0.971134,0.894341,234.882,283.468,q3
0.0395,-0.327432,-1.45297,-0.999989,-203.211,-0.972416,0.889555,234.921,295.259,q3
0.04,-0.328174,-1.51573,-0.999989,-202.42,-0.973641,0.884824,234.962,306.815,q3
0.0405,-0.328948,-1.57783,-0.999989,-201.629,-0.974812,0.880148,235.005,318.136,q3
