t,ang,vel,E,tou,act,fac,opt,power,coord
0,-0.872665,0,-0.99999,0,0,1,105.615,0,q1
0.0005,-0.872679,-0.0570001,-0.999991,-4.66768,-0.0444365,0.994563,105.616,0.266058,q1
0.001,-0.872722,-0.113844,-0.999991,-9.07825,-0.0868985,0.989141,105.617,1.0335,q1
0.0015,-0.872793,-0.170444,-0.999991,-13.2446,-0.127474,0.983742,105.618,2.25747,q1
0.002,-0.872892,-0.226705,-0.999992,-17.1792,-0.166246,0.978378,105.62,3.8946,q1
0.0025,-0.873019,-0.282521,-0.999992,-20.894,-0.203295,0.973056,105.623,5.903,q1
0.003,-0.873174,-0.337785,-0.999993,-24.4005,-0.238698,0.967789,105.626,8.24212,q1
0.0035,-0.873357,-0.39238,-0.999993,-27.7099,-0.272527,0.962587,105.63,10.8728,q1
0.004,-0.873567,-0.44619,-0.999994,-30.833,-0.304854,0.957462,105.634,13.7574,q1
0.0045,-0.873803,-0.499095,-0.999994,-33.7802,-0.335744,0.952425,105.639,16.8595,q1
0.005,-0.874066,-0.550977,-0.999994,-36.5613,-0.365261,0.947488,105.644,20.1445,q1
0.0055,-0.874354,-0.601697,-0.999994,-39.1863,-0.393466,0.942664,105.65,23.5783,q1
0.006,-0.874667,-0.651111,-0.999994,-41.6644,-0.420419,0.937967,105.656,27.1282,q1
0.0065,-0.875005,-0.699101,-0.999994,-44.0047,-0.446173,0.933407,105.663,30.7637,q1
0.007,-0.875366,-0.745582,-0.999994,-46.2155,-0.470783,0.928993,105.671,34.4575,q1
0.0075,-0.87575,-0.7905,-0.999994,-48.305,-0.4943,0.924731,105.678,38.1851,q1
0.008,-0.876156,-0.833841,-0.999993,-50.2805,-0.516771,0.92062,105.687,41.9259,q1
0.0085,-0.876584,-0.875634,-0.999993,-52.1487,-0.538244,0.916659,105.695,45.6632,q1
0.009,-0.877032,-0.915929,-0.999993,-53.9159,-0.558763,0.912842,105.705,49.3832,q1
0.0095,-0.877499,-0.954788,-0.999993,-55.588,-0.57837,0.909164,105.714,53.0747,q1
0.01,-0.877986,-0.992281,-0.999993,-57.1701,-0.597106,0.905617,105.724,56.7289,q1
0.0105,-0.878491,-1.02849,-0.999993,-58.6674,-0.615009,0.902193,105.734,60.3387,q1
0.011,-0.879014,-1.06349,-0.999993,-60.0843,-0.632116,0.898886,105.745,63.8992,q1
0.0115,-0.879555,-1.09738,-0.999993,-61.4252,-0.648464,0.895687,105.756,67.4065,q1
0.012,-0.880112,-1.13023,-0.999993,-62.6938,-0.664084,0.892587,105.767,70.8582,q1
0.0125,-0.880685,-1.16213,-0.999993,-63.894,-0.679011,0.889579,105.779,74.2528,q1
0.013,-0.881274,-1.19316,-0.999993,-65.029,-0.693275,0.886654,105.791,77.5899,q1
0.0135,-0.881878,-1.2234,-0.999993,-66.1021,-0.706904,0.883806,105.803,80.8694,q1
0.014,-0.882497,-1.25294,-0.999993,-67.1162,-0.719928,0.881026,105.815,84.0924,q1
0.0145,-0.883131,-1.28184,-0.999993,-68.0739,-0.732373,0.878307,105.828,87.26,q1
0.015,-0.883779,-1.31018,-0.999993,-68.978,-0.744266,0.875643,105.841,90.3739,q1
0.0155,-0.884441,-1.33804,-0.999993,-69.8307,-0.755629,0.873026,105.855,93.436,q1
0.016,-0.885117,-1.36546,-0.999993,-70.6344,-0.766488,0.870452,105.868,96.4484,q1
0.0165,-0.885806,-1.39252,-0.999993,-71.3911,-0.776864,0.867913,105.882,99.4134,q1
0.017,-0.886509,-1.41927,-0.999993,-72.103,-0.78678,0.865405,105.896,102.333,q1
0.0175,-0.887225,-1.44576,-0.999993,-72.7718,-0.796254,0.862923,105.911,105.21,q1
0.018,-0.887955,-1.47204,-0.999993,-73.3995,-0.805308,0.860461,105.925,108.047,q1
0.0185,-0.888697,-1.49817,-0.999992,-73.9876,-0.813959,0.858017,105.94,110.846,q1
0.019,-0.889453,-1.52417,-0.999992,-74.5379,-0.822226,0.855585,105.955,113.608,q1
0.0195,-0.890221,-1.55009,-0.999992,-75.0518,-0.830125,0.853163,105.971,116.337,q1
0.02,-0.891003,-1.57595,-0.999992,-75.531,-0.837673,0.850748,105.986,119.033,q1
0.0205,-0.891797,-1.6018,-0.999992,-75.9767,-0.844886,0.848335,106.002,121.7,q1
0.021,-0.892605,-1.62766,-0.999992,-76.3904,-0.851779,0.845924,106.018,124.337,q1
0.0215,-0.893425,-1.65354,-0.999992,-76.7734,-0.858365,0.843512,106.035,126.948,q1
0.022,-0.894258,-1.67948,-0.999992,-77.1269,-0.864658,0.841097,106.051,129.533,q1
0.0225,-0.895105,-1.70548,-0.999992,-77.4521,-0.870672,0.838677,106.068,132.093,q1
0.023,-0.895964,-1.73157,-0.999992,-77.7503,-0.876419,0.836251,106.085,134.63,q1
0.0235,-0.896836,-1.75776,-0.999992,-78.0226,-0.88191,0.833818,106.102,137.145,q1
0.024,-0.897722,-1.78405,-0.999992,-78.2699,-0.887157,0.831377,106.12,139.638,q1
0.0245,-0.89862,-1.81046,-0.999992,-78.4935,-0.892171,0.828928,106.137,142.11,q1
0.025,-0.899532,-1.83699,-0.999992,-78.6943,-0.896962,0.826469,106.155,144.561,q1
0.0255,-0.900457,-1.86365,-0.999992,-78.8732,-0.901541,0.824001,106.174,146.992,q1
0.026,-0.901396,-1.89043,-0.999992,-79.0314,-0.905916,0.821523,106.192,149.403,q1
