t,ang,vel,E,tou,act,fac,opt,power,coord,spT,spP
0,-0.349066,0,3.0409e-05,0,0,1,394.349,0,q3,50.4772,0
0.0005,-0.349051,0.0590721,2.87006e-05,0.000515457,1.31304e-06,0.995492,394.346,3.04491e-05,q3,50.4736,-2.98158
0.001,-0.349006,0.125702,2.69921e-05,0.000973189,2.49181e-06,0.990408,394.338,0.000122332,q3,50.4653,-6.3436
0.0015,-0.348925,0.199219,2.52837e-05,0.00137557,3.54228e-06,0.984798,394.323,0.00027404,q3,50.4517,-10.0509
0.002,-0.348805,0.278918,2.35753e-05,0.00172508,4.47016e-06,0.978718,394.301,0.000481155,q3,50.4324,-14.0665
0.0025,-0.348645,0.364074,2.18669e-05,0.00202427,5.28089e-06,0.972223,394.272,0.000736986,q3,50.4071,-18.3519
0.003,-0.34844,0.453956,2.01585e-05,0.00227576,5.97967e-06,0.965371,394.235,0.00103309,q3,50.3753,-22.8681
0.0035,-0.34819,0.54783,1.845e-05,0.00248217,6.57149e-06,0.958217,394.189,0.00135981,q3,50.3367,-27.576
0.004,-0.347892,0.644977,1.67416e-05,0.00264615,7.06109e-06,0.950818,394.135,0.0017067,q3,50.2912,-32.4367
0.0045,-0.347545,0.744693,1.50332e-05,0.00277028,7.45302e-06,0.943229,394.071,0.00206301,q3,50.2385,-37.4122
0.005,-0.347147,0.84626,1.41881e-05,0.0028608,7.76151e-06,0.935506,393.998,0.00242098,q3,50.1784,-42.464
0.0055,-0.346698,0.948142,1.41779e-05,0.00294082,8.04686e-06,0.927766,393.916,0.00278832,q3,50.111,-47.5124
0.006,-0.346199,1.04812,1.41678e-05,0.00301474,8.31908e-06,0.920179,393.824,0.00315981,q3,50.0364,-52.444
0.0065,-0.345651,1.14415,1.41576e-05,0.00308346,8.57875e-06,0.9129,393.724,0.00352795,q3,49.9547,-57.1558
0.007,-0.345056,1.23443,1.41474e-05,0.00314786,8.82643e-06,0.906065,393.615,0.00388581,q3,49.8665,-61.5567
0.0075,-0.344418,1.31733,1.41373e-05,0.00320879,9.06265e-06,0.899795,393.497,0.00422704,q3,49.7722,-65.5666
0.008,-0.34374,1.39166,1.41271e-05,0.003267,9.28792e-06,0.894182,393.373,0.00454653,q3,49.6724,-69.1269
0.0085,-0.343028,1.4572,1.4117e-05,0.00332296,9.50274e-06,0.889236,393.242,0.00484222,q3,49.5678,-72.2303
0.009,-0.342284,1.51411,1.41068e-05,0.00337703,9.70755e-06,0.884946,393.105,0.0051132,q3,49.459,-74.8866
0.0095,-0.341515,1.56254,1.40949e-05,0.00342952,9.90281e-06,0.881299,392.963,0.00535878,q3,49.3466,-77.1064
0.01,-0.340723,1.6027,1.39817e-05,0.00347988,1.00866e-05,0.878277,392.816,0.0055772,q3,49.2313,-78.9028
0.0105,-0.339913,1.63494,1.38684e-05,0.00352761,1.02571e-05,0.875852,392.667,0.00576743,q3,49.1135,-80.2977
0.011,-0.33909,1.65968,1.37551e-05,0.00357293,1.04151e-05,0.873993,392.514,0.00592992,q3,48.9938,-81.3139
0.0115,-0.338255,1.67729,1.36419e-05,0.00361607,1.05609e-05,0.872669,392.36,0.00606521,q3,48.8728,-81.9741
0.012,-0.337413,1.68817,1.35286e-05,0.00365719,1.06953e-05,0.871853,392.204,0.00617395,q3,48.7509,-82.2997
0.0125,-0.336568,1.69266,1.34153e-05,0.00369647,1.08187e-05,0.871515,392.047,0.00625685,q3,48.6287,-82.3116
0.013,-0.335722,1.69112,1.33021e-05,0.00373402,1.09315e-05,0.871631,391.889,0.00631467,q3,48.5065,-82.03
