t,ang,vel,E,tou,act,fac,opt,power,coord
0,0.349066,0,-0.999954,0,0,1,427.309,0,q2
0.0005,0.349057,-0.0385047,-0.999954,-18.9253,-0.0444349,0.996735,427.306,0.728715,q2
0.001,0.349025,-0.0906389,-0.999955,-36.8446,-0.0868953,0.992315,427.295,3.33956,q2
0.0015,0.348964,-0.155448,-0.999956,-53.7464,-0.127469,0.98682,427.275,8.35477,q2
0.002,0.348868,-0.231946,-0.999956,-69.6279,-0.16624,0.980335,427.242,16.1499,q2
0.0025,0.34873,-0.319133,-0.999957,-84.494,-0.203287,0.972946,427.195,26.9648,q2
0.003,0.348547,-0.416002,-0.999957,-98.3572,-0.238689,0.96474,427.133,40.9168,q2
0.0035,0.348313,-0.521558,-0.999958,-111.236,-0.272518,0.955804,427.053,58.016,q2
0.004,0.348024,-0.634822,-0.999959,-123.155,-0.304843,0.946222,426.955,78.1814,q2
0.0045,0.347677,-0.754842,-0.999959,-134.143,-0.335732,0.936079,426.837,101.257,q2
0.005,0.347268,-0.880649,-0.948016,-143.998,-0.364652,0.925461,426.698,126.812,q2
0.0055,0.346796,-1.01021,-0.845832,-151.466,-0.388288,0.914544,426.537,153.012,q2
0.006,0.346258,-1.14058,-0.743648,-156.537,-0.406332,0.903578,426.353,178.542,q2
0.0065,0.345655,-1.26906,-0.641464,-159.426,-0.419034,0.892792,426.148,202.321,q2
0.007,0.34499,-1.39321,-0.53928,-160.34,-0.42663,0.882393,425.92,223.387,q2
0.0075,0.344263,-1.51084,-0.437096,-159.474,-0.429358,0.872563,425.672,240.941,q2
0.008,0.34348,-1.62029,-0.334912,-157.607,-0.429086,0.863438,425.403,255.369,q2
0.0085,0.342644,-1.72118,-0.232728,-155.583,-0.428021,0.855046,425.117,267.787,q2
0.009,0.34176,-1.81359,-0.130545,-153.428,-0.426215,0.847376,424.813,278.255,q2
0.0095,0.340832,-1.8976,-0.0300121,-151.147,-0.423675,0.84042,424.494,286.817,q2
0.01,0.339864,-1.97334,-0.0268569,-148.879,-0.420779,0.83416,424.16,293.789,q2
0.0105,0.33886,-2.04118,-0.0237017,-146.742,-0.417882,0.828565,423.814,299.527,q2
0.011,0.337824,-2.1015,-0.0205465,-144.728,-0.414982,0.823598,423.456,304.147,q2
0.0115,0.33676,-2.1547,-0.0173913,-142.829,-0.412081,0.819224,423.087,307.753,q2
