time,/ap
0,2.27831e-05
0.00237292,1.62753e-05
0.00474583,9.76755e-06
0.00711875,9.42868e-06
0.00949166,9.0898e-06
0.0118646,8.84387e-06
0.0142375,8.59794e-06
0.0166104,8.29452e-06
0.0189833,7.9911e-06
0.0213562,8.04147e-06
0.0237292,8.09185e-06
0.0261021,7.848e-06
0.028475,7.60415e-06
0.0308479,7.52217e-06
0.0332208,7.44019e-06
0.0355937,7.48941e-06
0.0379666,7.53863e-06
0.0403396,6.86196e-06
0.0427125,6.18529e-06
0.0450854,7.43314e-06
0.0474583,8.68098e-06
0.0498312,7.72555e-06
0.0522041,6.77013e-06
0.0545771,6.60473e-06
0.05695,6.43933e-06
0.0593229,6.26176e-06
0.0616958,6.08419e-06
0.0640687,6.22955e-06
0.0664416,6.3749e-06
0.0688145,6.47599e-06
0.0711875,6.57707e-06
0.0735604,6.63533e-06
0.0759333,6.69359e-06
0.0783062,6.59157e-06
0.0806791,6.48955e-06
0.083052,6.32822e-06
0.085425,6.1669e-06
0.0877979,6.9186e-06
0.0901708,7.6703e-06
0.0925437,7.08147e-06
0.0949166,6.49265e-06
0.0972895,6.87138e-06
0.0996624,7.25011e-06
0.102035,7.40574e-06
0.104408,7.56137e-06
0.106781,7.82015e-06
0.109154,8.07894e-06
0.111527,8.3933e-06
0.1139,8.70767e-06
0.116273,9.16337e-06
0.118646,9.61908e-06
0.121019,1.02438e-05
0.123392,1.08684e-05
0.125765,1.1742e-05
0.128137,1.26156e-05
0.13051,1.38589e-05
0.132883,1.51021e-05
0.135256,1.69574e-05
0.137629,1.88126e-05
0.140002,2.17755e-05
0.142375,2.47384e-05
0.144748,2.96398e-05
0.147121,3.45413e-05
0.149494,4.4742e-05
0.151867,5.49428e-05
0.15424,6.59056e-05
0.156612,7.68684e-05
0.158985,0.26069
0.161358,0.521304
0.163731,0.760609
0.166104,0.999914
0.168477,0.999924
0.17085,0.999934
0.173223,0.999941
0.175596,0.999948
0.177969,0.999951
0.180342,0.999953
0.182714,0.999955
0.185087,0.999956
0.18746,0.999957
0.189833,0.999958
0.192206,0.999959
0.194579,0.999959
0.196952,0.99996
0.199325,0.99996
0.201698,0.999961
0.204071,0.999962
0.206444,0.999963
0.208817,0.999964
0.211189,0.999966
0.213562,0.999967
0.215935,0.999969
0.218308,0.999971
0.220681,0.999974
0.223054,0.999976
0.225427,0.999979
0.2278,0.999981
0.230173,0.999983
0.232546,0.999986
0.234919,0.999987
0.237292,0.999989
0.239664,0.999991
0.242037,0.999992
0.24441,0.999993
0.246783,0.999994
0.249156,0.999995
0.251529,0.999995
0.253902,0.999996
0.256275,0.999996
0.258648,0.999996
0.261021,0.999997
0.263394,0.999997
0.265767,0.999997
0.268139,0.999997
0.270512,0.999997
0.272885,0.999997
0.275258,0.999997
0.277631,0.999997
0.280004,0.999997
0.282377,0.999997
0.28475,0.999997
0.287123,0.999997
0.289496,0.999997
0.291869,0.999997
0.294242,0.999997
0.296614,0.999997
0.298987,0.999997
0.30136,0.999997
0.303733,0.999997
0.306106,0.999997
0.308479,0.999997
0.310852,0.999997
0.313225,0.999997
0.315598,0.999997
0.317971,0.999997
0.320344,0.999997
0.322716,0.999997
0.325089,0.999997
0.327462,0.999997
0.329835,0.999997
0.332208,0.999997
0.334581,0.999998
0.336954,0.999998
0.339327,0.999998
0.3417,0.999999
0.344073,0.999999
0.346446,0.999999
0.348819,0.999996
0.351191,0.999993
0.353564,0.999994
0.355937,0.999995
0.35831,0.999994
0.360683,0.999994
0.363056,0.999994
0.365429,0.999994
0.367802,0.999994
0.370175,0.999994
0.372548,0.999994
0.374921,0.999994
0.377294,0.999994
0.379666,0.999994
0.382039,0.999994
0.384412,0.999993
0.386785,0.999992
0.389158,0.999991
0.391531,0.999995
0.393904,0.999998
0.396277,0.999999
0.39865,0.999999
0.401023,0.999996
0.403396,0.999992
0.405769,0.999992
0.408141,0.999991
0.410514,0.999995
0.412887,0.999998
0.41526,0.999999
0.417633,0.999999
0.420006,0.999999
0.422379,0.999999
0.424752,0.999997
0.427125,0.999995
0.429498,0.999995
0.431871,0.999996
0.434244,0.999995
0.436616,0.999995
0.438989,0.999995
0.441362,0.999995
0.443735,0.999994
0.446108,0.999994
0.448481,0.999993
0.450854,0.999993
0.453227,0.999992
0.4556,0.999991
0.457973,0.999989
0.460346,0.999986
0.462719,0.999982
0.465091,0.999977
0.467464,0.999963
0.469837,0.99995
0.47221,0.997431
0.474583,0.994913
time,/kp
0,7.6562e-05
0.00237292,5.35503e-05
0.00474583,3.05386e-05
0.00711875,2.75062e-05
0.00949166,2.44738e-05
0.0118646,2.56995e-05
0.0142375,2.69253e-05
0.0166104,2.19452e-05
