t,ang,vel,E,tou,act,fac,opt,power,coord,spT,spP
0,0.349066,0,3.2615e-08,0,0,1,320.345,0,q2,65.0046,0
0.0005,0.349036,-0.122783,3.06499e-08,4.54865e-07,1.40532e-09,1.01041,320.339,-5.58495e-08,q2,64.995,-7.98024
0.001,0.348942,-0.254875,2.86848e-08,8.70751e-07,2.66086e-09,1.02161,320.322,-2.21933e-07,q2,64.9732,-16.56
0.0015,0.34878,-0.393211,2.67197e-08,1.24884e-06,3.7733e-09,1.03333,320.292,-4.91056e-07,q2,64.9385,-25.5345
0.002,0.348548,-0.534927,2.47546e-08,1.58979e-06,4.74897e-09,1.04533,320.249,-8.50423e-07,q2,64.8907,-34.7118
0.0025,0.348245,-0.677377,2.27895e-08,1.89392e-06,5.59397e-09,1.05738,320.193,-1.2829e-06,q2,64.8297,-43.9141
0.003,0.347871,-0.818136,2.08244e-08,2.1613e-06,6.3141e-09,1.06926,320.124,-1.76824e-06,q2,64.7555,-52.9788
0.0035,0.347427,-0.954996,1.88594e-08,2.39189e-06,6.9149e-09,1.08081,320.042,-2.28424e-06,q2,64.6685,-61.7582
0.004,0.346917,-1.08596,1.68943e-08,2.58562e-06,7.40169e-09,1.09183,319.948,-2.80788e-06,q2,64.5693,-70.1196
0.0045,0.346342,-1.20925,1.49292e-08,2.74248e-06,7.77952e-09,1.10219,319.841,-3.31633e-06,q2,64.4584,-77.9461
0.005,0.345709,-1.32387,1.29641e-08,2.86268e-06,8.05323e-09,1.1118,319.724,-3.78983e-06,q2,64.3368,-85.1738
0.0055,0.34502,-1.4298,1.19076e-08,2.94978e-06,8.2359e-09,1.12067,319.596,-4.2176e-06,q2,64.2052,-91.8009
0.006,0.34428,-1.52724,1.21523e-08,3.03073e-06,8.40454e-09,1.12881,319.458,-4.62866e-06,q2,64.0645,-97.8419
0.0065,0.343494,-1.61655,1.2397e-08,3.11173e-06,8.57656e-09,1.13625,319.312,-5.03028e-06,q2,63.9153,-103.322
0.007,0.342665,-1.6981,1.26417e-08,3.19273e-06,8.75181e-09,1.14304,319.158,-5.42158e-06,q2,63.7585,-108.268
0.0075,0.341797,-1.77224,1.28864e-08,3.27368e-06,8.93014e-09,1.14919,318.996,-5.80175e-06,q2,63.5946,-112.705
0.008,0.340894,-1.83932,1.31311e-08,3.35453e-06,9.11142e-09,1.15476,318.827,-6.17005e-06,q2,63.4244,-116.658
0.0085,0.339959,-1.89968,1.33758e-08,3.43523e-06,9.29552e-09,1.15975,318.652,-6.52584e-06,q2,63.2486,-120.152
0.009,0.338996,-1.95364,1.36204e-08,3.51575e-06,9.48231e-09,1.16421,318.472,-6.86852e-06,q2,63.0676,-123.212
0.0095,0.338006,-2.00154,1.38651e-08,3.59604e-06,9.67167e-09,1.16817,318.287,-7.19761e-06,q2,62.8821,-125.861
0.01,0.336995,-2.04367,1.41098e-08,3.67607e-06,9.86349e-09,1.17164,318.097,-7.51266e-06,q2,62.6926,-128.123
0.0105,0.335964,-2.08033,1.43545e-08,3.75581e-06,1.00577e-08,1.17466,317.903,-7.81333e-06,q2,62.4996,-130.02
0.011,0.334915,-2.11183,1.45978e-08,3.83521e-06,1.02541e-08,1.17725,317.705,-8.0993e-06,q2,62.3036,-131.574
0.0115,0.333853,-2.13843,1.48408e-08,3.91423e-06,1.04525e-08,1.17944,317.505,-8.37032e-06,q2,62.1051,-132.807
0.012,0.332778,-2.16042,1.50837e-08,3.99285e-06,1.0653e-08,1.18125,317.302,-8.62623e-06,q2,61.9044,-133.74
0.0125,0.331693,-2.17806,1.53267e-08,4.07103e-06,1.08553e-08,1.18269,317.096,-8.86694e-06,q2,61.7021,-134.391
0.013,0.3306,-2.19159,1.55697e-08,4.14878e-06,1.10594e-08,1.1838,316.889,-9.09244e-06,q2,61.4984,-134.78
0.0135,0.329502,-2.20128,1.58126e-08,4.22606e-06,1.12653e-08,1.1846,316.681,-9.30273e-06,q2,61.2938,-134.925
0.014,0.3284,-2.20735,1.60556e-08,4.30286e-06,1.14728e-08,1.1851,316.471,-9.49791e-06,q2,61.0886,-134.844
0.0145,0.327295,-2.21003,1.62986e-08,4.37918e-06,1.16819e-08,1.18532,316.261,-9.67812e-06,q2,60.883,-134.553
0.015,0.32619,-2.20954,1.65416e-08,4.455e-06,1.18925e-08,1.18528,316.05,-9.84352e-06,q2,60.6775,-134.07
0.0155,0.325086,-2.2061,1.67845e-08,4.53032e-06,1.21045e-08,1.18499,315.839,-9.99434e-06,q2,60.4722,-133.408
0.016,0.323985,-2.1999,1.706e-08,4.6052e-06,1.23181e-08,1.18449,315.628,-1.0131e-05,q2,60.2675,-132.583
0.0165,0.322887,-2.19114,1.74421e-08,4.6812e-06,1.25374e-08,1.18377,315.417,-1.02572e-05,q2,60.0635,-131.608
0.017,0.321794,-2.18001,1.78242e-08,4.75893e-06,1.27639e-08,1.18285,315.207,-1.03745e-05,q2,59.8606,-130.497
0.0175,0.320707,-2.16668,1.82064e-08,4.83826e-06,1.29973e-08,1.18176,314.998,-1.0483e-05,q2,59.6588,-129.262
0.018,0.319628,-2.15133,1.85885e-08,4.9191e-06,1.32373e-08,1.1805,314.79,-1.05826e-05,q2,59.4584,-127.915
0.0185,0.318556,-2.13411,1.89706e-08,5.00135e-06,1.34837e-08,1.17908,314.583,-1.06735e-05,q2,59.2596,-126.467
0.019,0.317494,-2.1152,1.93527e-08,5.08492e-06,1.3736e-08,1.17753,314.378,-1.07556e-05,q2,59.0626,-124.929
0.0195,0.316441,-2.09472,1.97348e-08,5.16972e-06,1.39942e-08,1.17584,314.174,-1.08291e-05,q2,58.8674,-123.311
0.02,0.315399,-2.07284,2.0117e-08,5.25566e-06,1.42578e-08,1.17404,313.971,-1.08941e-05,q2,58.6742,-121.622
0.0205,0.314369,-2.04967,2.04991e-08,5.34268e-06,1.45267e-08,1.17214,313.771,-1.09507e-05,q2,58.4831,-119.871
0.021,0.31335,-2.02536,2.08812e-08,5.43069e-06,1.48007e-08,1.17013,313.573,-1.09991e-05,q2,58.2943,-118.067
0.0215,0.312343,-2.00002,2.13027e-08,5.51984e-06,1.508e-08,1.16804,313.376,-1.10398e-05,q2,58.1078,-116.217
0.022,0.31135,-1.97377,2.1746e-08,5.61078e-06,1.53665e-08,1.16588,313.182,-1.10744e-05,q2,57.9237,-114.328
0.0225,0.31037,-1.94673,2.21892e-08,5.70346e-06,1.56599e-08,1.16364,312.99,-1.11031e-05,q2,57.7422,-112.408
0.023,0.309403,-1.91898,2.26324e-08,5.79778e-06,1.59599e-08,1.16135,312.801,-1.11258e-05,q2,57.5632,-110.463
0.0235,0.308451,-1.89064,2.30757e-08,5.89365e-06,1.62664e-08,1.159,312.614,-1.11428e-05,q2,57.3868,-108.498
0.024,0.307513,-1.8618,2.35189e-08,5.99097e-06,1.65789e-08,1.15662,312.43,-1.1154e-05,q2,57.2131,-106.519
0.0245,0.306589,-1.83255,2.39621e-08,6.08966e-06,1.68972e-08,1.15419,312.248,-1.11596e-05,q2,57.0421,-104.532
0.025,0.30568,-1.80297,2.44054e-08,6.18963e-06,1.72211e-08,1.15174,312.068,-1.11597e-05,q2,56.8738,-102.542
0.0255,0.304786,-1.77313,2.48486e-08,6.29083e-06,1.75502e-08,1.14927,311.892,-1.11545e-05,q2,56.7083,-100.551
0.026,0.303907,-1.74312,2.52918e-08,6.39318e-06,1.78845e-08,1.14678,311.718,-1.11441e-05,q2,56.5456,-98.5658
0.0265,0.303043,-1.713,2.57455e-08,6.49661e-06,1.82236e-08,1.14427,311.547,-1.11287e-05,q2,56.3857,-96.5888
0.027,0.302194,-1.68284,2.63759e-08,6.60273e-06,1.85719e-08,1.14177,311.378,-1.11114e-05,q2,56.2286,-94.6239
0.0275,0.30136,-1.6527,2.70062e-08,6.71268e-06,1.89328e-08,1.13926,311.213,-1.10941e-05,q2,56.0743,-92.6741
0.028,0.300541,-1.62264,2.76366e-08,6.82627e-06,1.93057e-08,1.13676,311.05,-1.10766e-05,q2,55.9227,-90.7425
0.0285,0.299738,-1.59271,2.8267e-08,6.94332e-06,1.969e-08,1.13426,310.89,-1.10587e-05,q2,55.774,-88.8318
0.029,0.298949,-1.56296,2.88973e-08,7.06363e-06,2.00853e-08,1.13179,310.733,-1.10402e-05,q2,55.628,-86.9444
0.0295,0.298175,-1.53344,2.95277e-08,7.18705e-06,2.04909e-08,1.12932,310.578,-1.10209e-05,q2,55.4848,-85.0826
0.03,0.297415,-1.50419,3.0158e-08,7.31342e-06,2.09066e-08,1.12688,310.426,-1.10008e-05,q2,55.3443,-83.2483
0.0305,0.29667,-1.47525,3.07884e-08,7.44259e-06,2.13318e-08,1.12447,310.277,-1.09797e-05,q2,55.2065,-81.4435
0.031,0.29594,-1.44666,3.14187e-08,7.57442e-06,2.17662e-08,1.12208,310.131,-1.09576e-05,q2,55.0714,-79.6698
0.0315,0.295224,-1.41846,3.20491e-08,7.70878e-06,2.22092e-08,1.11972,309.987,-1.09346e-05,q2,54.9388,-77.9287
0.032,0.294521,-1.39068,3.27789e-08,7.84591e-06,2.26616e-08,1.1174,309.846,-1.09111e-05,q2,54.8089,-76.2215
0.0325,0.293833,-1.36334,3.36223e-08,7.98813e-06,2.31301e-08,1.11511,309.707,-1.08905e-05,q2,54.6815,-74.5494
0.033,0.293158,-1.33647,3.44657e-08,8.13564e-06,2.36152e-08,1.11286,309.571,-1.08731e-05,q2,54.5567,-72.9135
0.0335,0.292496,-1.31011,3.53091e-08,8.2882e-06,2.41163e-08,1.11065,309.438,-1.08584e-05,q2,54.4343,-71.3147
0.034,0.291848,-1.28426,3.61525e-08,8.44554e-06,2.46325e-08,1.10848,309.307,-1.08463e-05,q2,54.3143,-69.7537
0.0345,0.291212,-1.25896,3.69959e-08,8.60743e-06,2.51633e-08,1.10636,309.178,-1.08364e-05,q2,54.1966,-68.2313
0.035,0.290589,-1.23422,3.78393e-08,8.77367e-06,2.5708e-08,1.10429,309.052,-1.08286e-05,q2,54.0813,-66.748
0.0355,0.289978,-1.21005,3.86828e-08,8.94405e-06,2.6266e-08,1.10226,308.928,-1.08228e-05,q2,53.9682,-65.3044
0.036,0.289378,-1.18648,3.95262e-08,9.11838e-06,2.68366e-08,1.10028,308.807,-1.08188e-05,q2,53.8574,-63.9009
0.0365,0.288791,-1.16352,4.03696e-08,9.29646e-06,2.74194e-08,1.09835,308.688,-1.08166e-05,q2,53.7487,-62.5376
0.037,0.288215,-1.14118,4.1213e-08,9.47815e-06,2.80137e-08,1.09647,308.571,-1.08162e-05,q2,53.642,-61.215
0.0375,0.28765,-1.11946,4.24302e-08,9.66575e-06,2.86265e-08,1.09465,308.456,-1.08205e-05,q2,53.5374,-59.9332
0.038,0.287095,-1.09839,4.36993e-08,9.86285e-06,2.92683e-08,1.09288,308.343,-1.08333e-05,q2,53.4348,-58.6922
0.0385,0.286551,-1.07796,4.49684e-08,1.0069e-05,2.9938e-08,1.09116,308.232,-1.08541e-05,q2,53.3341,-57.4922
0.039,0.286017,-1.05819,4.62375e-08,1.02839e-05,3.06343e-08,1.0895,308.123,-1.08823e-05,q2,53.2352,-56.3331
