t,ang,vel,E,tou,act,fac,opt,power,coord
0,0.349066,0,-0.920229,0,0,1,427.309,0,q2
0.0005,0.349036,-0.122783,-0.833324,-16.4686,-0.0389467,0.989589,427.299,2.02206,q2
0.001,0.348942,-0.254875,-0.746418,-30.2242,-0.0723008,0.978392,427.267,7.7034,q2
0.0015,0.34878,-0.393211,-0.659512,-41.4258,-0.100311,0.966671,427.212,16.2891,q2
0.002,0.348548,-0.534927,-0.572607,-50.2435,-0.123215,0.954672,427.133,26.8766,q2
0.0025,0.348245,-0.677377,-0.485701,-56.8527,-0.141239,0.942625,427.03,38.5107,q2
0.003,0.347871,-0.818136,-0.398795,-61.4278,-0.1546,0.930736,426.903,50.2563,q2
0.0035,0.347427,-0.954996,-0.31189,-64.1381,-0.163506,0.919194,426.752,61.2516,q2
0.004,0.346917,-1.08596,-0.224984,-65.1437,-0.168154,0.908169,426.578,70.7434,q2
0.0045,0.346342,-1.20925,-0.138078,-64.7022,-0.169019,0.89781,426.382,78.2409,q2
0.005,0.345709,-1.32387,-0.0511728,-63.761,-0.168448,0.888198,426.166,84.4115,q2
0.0055,0.34502,-1.4298,-9.1551e-08,-62.6688,-0.167324,0.879333,425.931,89.604,q2
0.006,0.34428,-1.52724,-8.95182e-08,-61.5973,-0.166099,0.871194,425.678,94.0739,q2
0.0065,0.343494,-1.61655,-8.74853e-08,-60.5851,-0.164882,0.863749,425.408,97.939,q2
0.007,0.342665,-1.6981,-8.54524e-08,-59.629,-0.163674,0.856964,425.124,101.256,q2
0.0075,0.341797,-1.77224,-8.34195e-08,-58.7256,-0.162475,0.850806,424.826,104.076,q2
0.008,0.340894,-1.83932,-8.13867e-08,-57.8719,-0.161284,0.845244,424.515,106.445,q2
0.0085,0.339959,-1.89968,-7.93538e-08,-57.065,-0.160103,0.840248,424.193,108.405,q2
0.009,0.338996,-1.95364,-7.73209e-08,-56.3021,-0.15893,0.835787,423.861,109.994,q2
0.0095,0.338006,-2.00154,-7.52881e-08,-55.5804,-0.157766,0.831833,423.519,111.246,q2
0.01,0.336995,-2.04367,-7.32552e-08,-54.8974,-0.15661,0.82836,423.169,112.192,q2
0.0105,0.335964,-2.08033,-7.12223e-08,-54.2507,-0.155463,0.82534,422.811,112.859,q2
0.011,0.334915,-2.11183,-6.8287e-08,-53.6379,-0.154324,0.822748,422.447,113.274,q2
0.0115,0.333853,-2.13843,-6.51567e-08,-53.0569,-0.153193,0.820561,422.077,113.459,q2
0.012,0.332778,-2.16042,-6.20264e-08,-52.5056,-0.152071,0.818755,421.703,113.434,q2
0.0125,0.331693,-2.17806,-5.88961e-08,-51.9821,-0.150957,0.817306,421.324,113.22,q2
0.013,0.3306,-2.19159,-5.57658e-08,-51.4844,-0.149851,0.816195,420.942,112.833,q2
0.0135,0.329502,-2.20128,-5.26355e-08,-51.0107,-0.148753,0.815401,420.557,112.289,q2
0.014,0.3284,-2.20735,-4.95052e-08,-50.5596,-0.147663,0.814903,420.17,111.603,q2
0.0145,0.327295,-2.21003,-4.63749e-08,-50.1292,-0.146581,0.814683,419.782,110.787,q2
0.015,0.32619,-2.20954,-4.32446e-08,-49.7183,-0.145508,0.814723,419.392,109.855,q2
0.0155,0.325086,-2.2061,-4.01143e-08,-49.3253,-0.144442,0.815005,419.002,108.816,q2
0.016,0.323985,-2.1999,-3.74372e-08,-48.9489,-0.143383,0.815514,418.613,107.683,q2
0.0165,0.322887,-2.19114,-3.62481e-08,-48.5879,-0.142333,0.816233,418.224,106.463,q2
0.017,0.321794,-2.18001,-3.5059e-08,-48.2412,-0.14129,0.817146,417.836,105.166,q2
0.0175,0.320707,-2.16668,-3.38699e-08,-47.9075,-0.140255,0.81824,417.45,103.8,q2
0.018,0.319628,-2.15133,-3.26808e-08,-47.586,-0.139228,0.819501,417.065,102.373,q2
0.0185,0.318556,-2.13411,-3.14917e-08,-47.2755,-0.138208,0.820916,416.683,100.891,q2
0.019,0.317494,-2.1152,-3.03025e-08,-46.9752,-0.137195,0.822471,416.303,99.3619,q2
0.0195,0.316441,-2.09472,-2.91134e-08,-46.6843,-0.13619,0.824155,415.926,97.7907,q2
0.02,0.315399,-2.07284,-2.79243e-08,-46.4018,-0.135192,0.825957,415.552,96.1835,q2
0.0205,0.314369,-2.04967,-2.67352e-08,-46.1271,-0.134202,0.827865,415.182,94.5456,q2
0.021,0.31335,-2.02536,-2.55461e-08,-45.8595,-0.133219,0.829868,414.815,92.882,q2
0.0215,0.312343,-2.00002,-2.46437e-08,-45.5982,-0.132243,0.831958,414.452,91.1975,q2
