t,ang1,ang2,ang3,ang4,v1,v2,v3,v4,TA,TK,TH,TspA,TspK,TspH,PA,PK,PH,spPA,spPK,spPH,spEA,spEK,spEH,y,vx,vy,Fy,totE
0,0.523599,-0.872665,0.349066,-0.349066,0,0,0,0,0,0,0,0,70.2436,0,0,0,0,0,0,0,0,12.2598,0,1.10019,0,0,305.247,863.458
0.0005,0.523613,-0.872675,0.34905,-0.349051,0.0550262,-0.0424569,-0.0582619,0.0537177,-4.67423,14.3054,-8.7533,0,70.2384,0,0.198453,-0.833457,-0.470208,0,-4.09222,-0,0,12.2587,0,1.10019,-0.00102597,-0.00331262,205.196,863.459
0.001,0.523652,-0.872707,0.349012,-0.349016,0.100863,-0.0844732,-0.0906279,0.0855822,-9.10402,28.0508,-16.1423,0,70.2296,0,0.769046,-2.54218,-1.38149,0,-6.36476,-0,0,12.256,0,1.10018,-0.00184633,-0.00723418,110.408,863.461
0.0015,0.523712,-0.87276,0.348964,-0.348969,0.13842,-0.126372,-0.0991877,0.0976862,-13.3012,41.1769,-22.1862,0,70.2195,0,1.6809,-4.08424,-2.16729,0,-6.96491,-0,0,12.2526,0,1.10018,-0.00247319,-0.0117313,21.0115,863.462
0.002,0.523789,-0.872833,0.348916,-0.348921,0.168629,-0.168479,-0.0860686,0.0921448,-17.2767,53.6405,-26.9184,0,70.2105,0,2.91075,-4.61676,-2.48039,0,-6.04292,-0,0,12.2493,0,1.10017,-0.0029194,-0.0167702,-62.9313,863.463
0.0025,0.52388,-0.872928,0.348881,-0.34888,0.192419,-0.211118,-0.0534077,0.0710676,-21.04,65.413,-30.3834,0,70.2045,0,4.44191,-3.49356,-2.15927,0,-3.74946,-0,0,12.2468,0,1.10016,-0.00319825,-0.0223166,-141.418,863.464
0.003,0.523981,-0.873045,0.348866,-0.348852,0.210711,-0.254596,-0.0033269,0.0365349,-24.6,76.479,-32.6343,0,70.2032,0,6.26306,-0.254438,-1.19229,0,-0.233559,-0,0,12.2458,0,1.10015,-0.00332322,-0.0283366,-214.495,863.466
0.0035,0.52409,-0.873183,0.34888,-0.348845,0.2244,-0.299204,0.0620877,-0.00942197,-27.9648,86.8345,-33.7301,0,70.2084,0,8.36719,5.39136,0.317805,0,4.35908,0,0,12.2468,0,1.10013,-0.00330781,-0.0347966,-282.256,863.47
0.004,0.524205,-0.873344,0.34893,-0.348863,0.234344,-0.345208,0.140811,-0.0648462,-31.1417,96.4856,-33.7907,0,70.2212,0,10.7504,13.5863,2.1912,0,9.88795,0,0,12.2503,0,1.10011,-0.00316533,-0.0416639,-344.876,863.476
0.0045,0.524324,-0.873529,0.349023,-0.348911,0.241191,-0.392744,0.231205,-0.128235,-34.1378,105.444,-33.4797,0,70.243,0,13.4074,24.3791,4.29328,0,16.2405,0,0,12.2568,0,1.10009,-0.00290755,-0.0489081,-403.009,863.487
0.005,0.524445,-0.873737,0.349163,-0.348993,0.245297,-0.441775,0.33216,-0.198711,-36.9604,113.722,-33.0561,0,70.2748,0,16.3282,37.7739,6.56861,0,23.3425,0,0,12.2667,0,1.10006,-0.00254422,-0.0565026,-456.976,863.503
0.0055,0.524569,-0.873971,0.349356,-0.349111,0.246933,-0.492209,0.442728,-0.275581,-39.6167,121.337,-32.6194,0,70.3176,0,19.4997,53.7191,8.98928,0,31.1316,0,0,12.2802,0,1.10003,-0.00208435,-0.0644219,-506.975,863.525
0.006,0.524692,-0.87423,0.349607,-0.349269,0.246338,-0.54394,0.562016,-0.358209,-42.1138,128.307,-32.1731,0,70.3723,0,22.9074,72.1104,11.5247,0,39.5504,0,0,12.2979,0,1.1,-0.00153664,-0.0726415,-553.135,863.554
0.0065,0.524815,-0.874515,0.34992,-0.34947,0.243744,-0.59686,0.689153,-0.445975,-44.4589,134.654,-31.7191,0,70.4397,0,26.5357,92.7969,14.1459,0,48.5437,0,0,12.3199,0,1.09996,-0.000909534,-0.0811381,-595.593,863.592
0.007,0.524935,-0.874827,0.350298,-0.349716,0.239368,-0.650858,0.82329,-0.538278,-46.6586,140.402,-31.2591,0,70.5205,0,30.3681,115.592,16.8261,0,58.0588,0,0,12.3465,0,1.09992,-0.000211226,-0.0898888,-634.497,863.639
0.0075,0.525054,-0.875166,0.350744,-0.350009,0.233418,-0.705819,0.963609,-0.634537,-48.7198,145.578,-30.7948,0,70.6153,0,34.3874,140.28,19.5405,0,68.0455,0,0,12.378,0,1.09987,0.000550407,-0.0988719,-669.996,863.697
0.008,0.525169,-0.875533,0.351262,-0.350351,0.226089,-0.761631,1.10932,-0.734196,-50.6489,150.208,-30.3278,0,70.7248,0,38.5757,166.63,22.2666,0,78.4566,0,0,12.4146,0,1.09982,0.00136782,-0.108067,-702.25,863.766
0.0085,0.52528,-0.875927,0.351854,-0.350744,0.217562,-0.818177,1.25968,-0.836722,-52.4523,154.323,-29.8596,0,70.8493,0,42.9153,194.396,24.9842,0,89.2472,0,0,12.4565,0,1.09976,0.00223381,-0.117453,-731.417,863.846
0.009,0.525386,-0.876351,0.352522,-0.351188,0.208007,-0.875343,1.41395,-0.94161,-54.1363,157.95,-29.3914,0,70.9893,0,47.3878,223.333,27.6752,0,100.376,0,0,12.5038,0,1.0997,0.00314155,-0.127013,-757.66,863.939
0.0095,0.525487,-0.876803,0.353269,-0.351686,0.197579,-0.933015,1.57147,-1.04838,-55.7069,161.119,-28.9246,0,71.1452,0,51.9754,253.194,30.324,0,111.803,0,0,12.5568,0,1.09964,0.0040846,-0.136728,-781.141,864.044
0.01,0.525584,-0.877284,0.354094,-0.352237,0.186424,-0.991082,1.73158,-1.15658,-57.17,163.861,-28.4602,0,71.3172,0,56.6601,283.739,32.9166,0,123.492,0,0,12.6156,0,1.09957,0.00505688,-0.146581,-802.023,864.163
