t,ang,vel,E,tou,act,fac,opt,power,coord
0,-0.872665,0,-0.999889,0,0,1,105.615,0,q1
0.0005,-0.872675,-0.0411075,-0.999894,-4.67433,-0.0444321,0.996079,105.616,0.19215,q1
0.001,-0.872706,-0.0815158,-0.999899,-9.10565,-0.0868901,0.992224,105.616,0.742254,q1
0.0015,-0.872756,-0.121233,-0.999905,-13.3065,-0.127462,0.988436,105.617,1.61318,q1
0.002,-0.872827,-0.160276,-0.99991,-17.2886,-0.16623,0.984712,105.619,2.77095,q1
0.0025,-0.872916,-0.198667,-0.999916,-21.0634,-0.203277,0.981051,105.621,4.18461,q1
0.003,-0.873025,-0.236436,-0.999921,-24.6413,-0.238677,0.97745,105.623,5.82607,q1
0.0035,-0.873153,-0.273612,-0.999926,-28.0323,-0.272505,0.973906,105.625,7.66996,q1
0.004,-0.873299,-0.310228,-0.999932,-31.246,-0.304829,0.970415,105.628,9.69338,q1
0.0045,-0.873463,-0.346318,-0.999935,-34.2913,-0.335717,0.966976,105.632,11.8757,q1
0.005,-0.873645,-0.381915,-0.999934,-37.1766,-0.365233,0.963584,105.635,14.1983,q1
0.0055,-0.873845,-0.417051,-0.999933,-39.9099,-0.393437,0.960237,105.64,16.6445,q1
0.006,-0.874062,-0.451756,-0.999932,-42.4988,-0.420388,0.956932,105.644,19.1991,q1
0.0065,-0.874297,-0.486058,-0.99993,-44.9504,-0.446141,0.953666,105.649,21.8485,q1
0.007,-0.874548,-0.519982,-0.999929,-47.2715,-0.47075,0.950438,105.654,24.5803,q1
0.0075,-0.874816,-0.55355,-0.999928,-49.4686,-0.494265,0.947244,105.659,27.3833,q1
0.008,-0.875102,-0.58678,-0.999927,-51.5478,-0.516735,0.944083,105.665,30.2472,q1
0.0085,-0.875403,-0.61969,-0.999925,-53.5149,-0.538207,0.940953,105.671,33.1626,q1
0.009,-0.875721,-0.652291,-0.999925,-55.3754,-0.558724,0.937855,105.678,36.1209,q1
0.0095,-0.876055,-0.684592,-0.999925,-57.1346,-0.57833,0.934785,105.685,39.1139,q1
0.01,-0.876406,-0.716599,-0.999924,-58.7976,-0.597064,0.931745,105.692,42.1343,q1
0.0105,-0.876772,-0.748316,-0.999924,-60.3691,-0.614966,0.928734,105.699,45.1752,q1
0.011,-0.877154,-0.779743,-0.999924,-61.8536,-0.632072,0.925751,105.707,48.23,q1
0.0115,-0.877552,-0.810879,-0.999924,-63.2557,-0.648418,0.922798,105.715,51.2927,q1
0.012,-0.877965,-0.841718,-0.999923,-64.5793,-0.664038,0.919873,105.724,54.3576,q1
0.0125,-0.878393,-0.872256,-0.999923,-65.8285,-0.678964,0.916979,105.732,57.4193,q1
0.013,-0.878837,-0.902483,-0.999923,-67.0071,-0.693226,0.914115,105.741,60.4728,q1
0.0135,-0.879296,-0.932391,-0.999922,-68.1188,-0.706855,0.911283,105.751,63.5134,q1
0.014,-0.879769,-0.961969,-0.999922,-69.167,-0.719878,0.908484,105.76,66.5365,q1
0.0145,-0.880258,-0.991206,-0.999922,-70.155,-0.732322,0.905718,105.77,69.5381,q1
0.015,-0.88076,-1.02009,-0.999921,-71.086,-0.744214,0.902987,105.78,72.5141,q1
0.0155,-0.881278,-1.04861,-0.999921,-71.9631,-0.755577,0.900292,105.791,75.461,q1
0.016,-0.881809,-1.07675,-0.99992,-72.7892,-0.766434,0.897635,105.802,78.3754,q1
0.0165,-0.882354,-1.10449,-0.99992,-73.5669,-0.77681,0.895015,105.813,81.2541,q1
0.017,-0.882913,-1.13184,-0.999919,-74.299,-0.786724,0.892435,105.824,84.0943,q1
0.0175,-0.883486,-1.15876,-0.999919,-74.9879,-0.796198,0.889896,105.835,86.8932,q1
0.018,-0.884072,-1.18526,-0.999919,-75.6361,-0.805251,0.887398,105.847,89.6485,q1
0.0185,-0.884671,-1.21132,-0.999918,-76.2459,-0.813901,0.884943,105.859,92.3582,q1
0.019,-0.885283,-1.23693,-0.999918,-76.8193,-0.822167,0.882532,105.872,95.0204,q1
0.0195,-0.885908,-1.26209,-0.999917,-77.3584,-0.830066,0.880165,105.884,97.6335,q1
0.02,-0.886545,-1.28679,-0.999917,-77.8653,-0.837613,0.877842,105.897,100.196,q1
0.0205,-0.887195,-1.31102,-0.999917,-78.3416,-0.844826,0.875565,105.91,102.707,q1
0.021,-0.887856,-1.33477,-0.999916,-78.7893,-0.851718,0.873333,105.923,105.166,q1
