t,ang,vel,E,tou,act,fac,opt,power,coord
0,-0.349066,0,-0.879464,0,0,1,236.087,0,q3
0.0005,-0.349051,0.0537177,-0.783185,-8.75331,-0.0369253,1.0041,236.086,-0.470208,q3
0.001,-0.349016,0.0855822,-0.686905,-16.1423,-0.0679314,1.00653,236.085,-1.38149,q3
0.0015,-0.348969,0.0976862,-0.590626,-22.1862,-0.0932814,1.00745,236.082,-2.16729,q3
0.002,-0.348921,0.0921448,-0.494346,-26.9184,-0.113226,1.00703,236.08,-2.48039,q3
0.0025,-0.34888,0.0710676,-0.398067,-30.3834,-0.128007,1.00542,236.077,-2.15928,q3
0.003,-0.348852,0.0365349,-0.301788,-32.6343,-0.137852,1.00279,236.076,-1.19229,q3
0.0035,-0.348845,-0.00942197,-0.205508,-33.7302,-0.142982,0.999281,236.076,0.317805,q3
0.004,-0.348863,-0.0648462,-0.109229,-33.7907,-0.143846,0.995051,236.077,2.1912,q3
0.0045,-0.348911,-0.128235,-0.0129492,-33.4798,-0.143218,0.990214,236.079,4.29328,q3
0.005,-0.348993,-0.198711,-1.07358e-06,-33.0561,-0.142175,0.984837,236.083,6.56862,q3
0.0055,-0.349111,-0.275581,-1.09191e-06,-32.6194,-0.141133,0.978973,236.09,8.9893,q3
0.006,-0.349269,-0.358209,-1.11023e-06,-32.1731,-0.140099,0.972671,236.098,11.5247,q3
0.0065,-0.34947,-0.445975,-1.12855e-06,-31.7191,-0.139073,0.965979,236.108,14.146,q3
0.007,-0.349716,-0.538278,-1.14687e-06,-31.2592,-0.138054,0.958945,236.121,16.8261,q3
0.0075,-0.350009,-0.634537,-1.1652e-06,-30.7949,-0.137043,0.951613,236.137,19.5405,q3
0.008,-0.350351,-0.734196,-1.18352e-06,-30.328,-0.136039,0.944028,236.154,22.2667,q3
0.0085,-0.350744,-0.836722,-1.20184e-06,-29.8597,-0.135042,0.936231,236.175,24.9843,q3
0.009,-0.351188,-0.94161,-1.22017e-06,-29.3915,-0.134053,0.928262,236.198,27.6754,q3
0.0095,-0.351686,-1.04838,-1.20743e-06,-28.9247,-0.133071,0.920159,236.224,30.3241,q3
0.01,-0.352237,-1.15658,-1.18328e-06,-28.4603,-0.132096,0.911958,236.252,32.9168,q3
0.0105,-0.352842,-1.2658,-1.15912e-06,-27.9995,-0.131128,0.903692,236.284,35.4417,q3
0.011,-0.353503,-1.37563,-1.13496e-06,-27.5431,-0.130167,0.895392,236.318,37.889,q3
0.0115,-0.354218,-1.48571,-1.1108e-06,-27.0919,-0.129214,0.887087,236.355,40.2507,q3
0.012,-0.354988,-1.5957,-1.08665e-06,-26.6468,-0.128267,0.878803,236.394,42.5203,q3
0.0125,-0.355814,-1.7053,-1.06249e-06,-26.2083,-0.127328,0.870566,236.436,44.693,q3
0.013,-0.356694,-1.81421,-1.03833e-06,-25.7771,-0.126395,0.862397,236.481,46.765,q3
0.0135,-0.357628,-1.92219,-1.01417e-06,-25.3535,-0.125469,0.854316,236.529,48.7342,q3
0.014,-0.358615,-2.02898,-1.01224e-06,-24.9381,-0.12455,0.846341,236.579,50.599,q3
0.0145,-0.359656,-2.1344,-1.02534e-06,-24.5312,-0.123637,0.838488,236.631,52.3592,q3
0.015,-0.36075,-2.23824,-1.03844e-06,-24.1329,-0.122731,0.830771,236.686,54.0152,q3
0.0155,-0.361894,-2.34033,-1.05154e-06,-23.7436,-0.121832,0.823203,236.743,55.5679,q3
0.016,-0.36309,-2.44054,-1.06464e-06,-23.3634,-0.12094,0.815794,236.802,57.0193,q3
0.0165,-0.364335,-2.53872,-1.07774e-06,-22.9924,-0.120054,0.808554,236.864,58.3712,q3
0.017,-0.365628,-2.63478,-1.09084e-06,-22.6306,-0.119174,0.80149,236.927,59.6265,q3
0.0175,-0.366969,-2.7286,-1.10394e-06,-22.278,-0.118301,0.794608,236.992,60.7878,q3
0.018,-0.368356,-2.82011,-1.11704e-06,-21.9347,-0.117435,0.787914,237.059,61.8584,q3
0.0185,-0.369789,-2.90924,-1.13941e-06,-21.6006,-0.116574,0.781413,237.128,62.8414,q3
0.019,-0.371265,-2.99594,-1.17258e-06,-21.2756,-0.11572,0.775106,237.198,63.7404,q3
0.0195,-0.372784,-3.08015,-1.20575e-06,-20.9596,-0.114873,0.768996,237.27,64.5588,q3
0.02,-0.374345,-3.16185,-1.23892e-06,-20.6525,-0.114031,0.763086,237.343,65.3001,q3
0.0205,-0.375946,-3.24101,-1.27209e-06,-20.3541,-0.113196,0.757374,237.417,65.9678,q3
