t,ang,vel,E,tou,act,fac,opt,power,coord
0,0.349066,0,-0.000978624,0,0,1,427.309,0,q2
0.0005,0.349062,-0.0138166,-0.000950095,-0.018288,-4.28484e-05,0.998828,427.308,0.000252679,q2
0.001,0.349054,-0.0175698,-0.000921567,-0.0352109,-8.25251e-05,0.99851,427.305,0.000618646,q2
0.0015,0.349046,-0.0117106,-0.000893039,-0.0508715,-0.000119171,0.999007,427.303,0.000595737,q2
0.002,0.349044,0.00330742,-0.000864511,-0.0653616,-0.000152921,1.00028,427.302,-0.000216178,q2
0.0025,0.349051,0.0270307,-0.000835983,-0.0787626,-0.000183903,1.00229,427.304,-0.00212901,q2
0.003,0.349072,0.0590068,-0.000807455,-0.0911466,-0.000212241,1.005,427.311,-0.00537827,q2
0.0035,0.349111,0.0987858,-0.000778927,-0.102577,-0.000238052,1.00838,427.325,-0.0101332,q2
0.004,0.349172,0.145922,-0.000750398,-0.113111,-0.000261448,1.01237,427.345,-0.0165054,q2
0.0045,0.349258,0.199975,-0.000710906,-0.122767,-0.000282469,1.01695,427.375,-0.0245503,q2
0.005,0.349373,0.260513,-0.000642147,-0.131042,-0.000299968,1.02209,427.414,-0.0341382,q2
0.0055,0.34952,0.327117,-0.000573389,-0.137785,-0.000313634,1.02773,427.463,-0.0450718,q2
0.006,0.349701,0.399375,-0.00050463,-0.143047,-0.000323638,1.03385,427.525,-0.0571294,q2
0.0065,0.34992,0.476884,-0.000435871,-0.146873,-0.000330141,1.04041,427.599,-0.0700416,q2
0.007,0.350179,0.559252,-0.000367112,-0.149303,-0.000333299,1.04739,427.687,-0.0834978,q2
0.0075,0.35048,0.646095,-0.000298353,-0.150511,-0.000333578,1.05473,427.789,-0.0972447,q2
0.008,0.350826,0.73704,-0.000229594,-0.151418,-0.000333068,1.06242,427.906,-0.111601,q2
0.0085,0.351218,0.831724,-0.000160835,-0.152142,-0.000332058,1.07041,428.039,-0.12654,q2
0.009,0.351658,0.929797,-0.000150178,-0.152728,-0.000330668,1.07868,428.188,-0.142006,q2
